# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-3.998772e-03	-3.427769e-02	3.027892e-02	-1.232189e-02	-1.279168e-02	4.697818e-04	-6.630729e-03	-3.227830e-02	-9.195750e-02	1.783713e-01	-2.771866e-03	1.811431e-01
2             	1.070623e-02	-4.690588e-02	5.761212e-02	-1.687924e-02	-1.526616e-02	-1.613083e-03	-6.826539e-03	-5.225900e-02	-1.645471e-01	3.086095e-01	-1.024237e-02	3.188518e-01
3             	2.502152e-02	-5.748593e-02	8.250745e-02	-2.107197e-02	-1.742100e-02	-3.650966e-03	-6.885019e-03	-6.999669e-02	-2.287615e-01	4.230498e-01	-1.723662e-02	4.402865e-01
4             	3.066227e-02	-6.543229e-02	9.609456e-02	-2.370907e-02	-1.923231e-02	-4.476759e-03	-7.377777e-03	-8.076343e-02	-2.659026e-01	4.911373e-01	-2.033395e-02	5.114712e-01
5             	2.466489e-02	-7.113541e-02	9.580030e-02	-2.445124e-02	-2.078147e-02	-3.669777e-03	-8.555844e-03	-8.346785e-02	-2.717803e-01	5.064903e-01	-1.853514e-02	5.250254e-01
6             	9.486917e-03	-7.497156e-02	8.445847e-02	-2.346349e-02	-2.189451e-02	-1.568978e-03	-1.016277e-02	-7.971501e-02	-2.533669e-01	4.807948e-01	-1.296949e-02	4.937643e-01
7             	-9.430381e-03	-7.712112e-02	6.769074e-02	-2.123708e-02	-2.229880e-02	1.061725e-03	-1.168026e-02	-7.240593e-02	-2.228271e-01	4.339919e-01	-5.831127e-03	4.398230e-01
8             	-2.619988e-02	-7.759577e-02	5.139588e-02	-1.828278e-02	-2.167749e-02	3.394709e-03	-1.253610e-02	-6.449583e-02	-1.923282e-01	3.859232e-01	6.334335e-04	3.852897e-01
9             	-3.657484e-02	-7.648524e-02	3.991040e-02	-1.515555e-02	-1.998894e-02	4.833389e-03	-1.241116e-02	-5.819782e-02	-1.705335e-01	3.507338e-01	4.833428e-03	3.459003e-01
10            	-3.924214e-02	-7.419600e-02	3.495386e-02	-1.231205e-02	-1.750480e-02	5.192754e-03	-1.134878e-02	-5.457493e-02	-1.609524e-01	3.344297e-01	6.262411e-03	3.281673e-01
11            	-3.552226e-02	-7.122134e-02	3.569908e-02	-9.648871e-03	-1.430912e-02	4.660252e-03	-9.484687e-03	-5.346021e-02	-1.624556e-01	3.356149e-01	5.351838e-03	3.302631e-01
