# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.123542e-01	3.448155e-02	1.778726e-01	-2.950602e-01	-3.125128e-01	1.745259e-02	-1.649827e-01	-7.169554e-02	-2.991914e-02	3.731878e-02	-1.125975e-02	4.857853e-02
2             	2.682438e-01	6.329457e-02	2.049492e-01	-1.650701e-01	-2.283013e-01	6.323118e-02	-1.457663e-01	-7.082733e-02	-3.603690e-02	1.867191e-01	5.732263e-02	1.293964e-01
3             	3.218584e-01	9.176287e-02	2.300955e-01	-3.962354e-02	-1.517285e-01	1.121049e-01	-1.319167e-01	-6.916633e-02	-4.186169e-02	3.266184e-01	1.214475e-01	2.051709e-01
4             	3.450140e-01	1.062743e-01	2.387396e-01	4.999427e-02	-1.047336e-01	1.547278e-01	-1.297307e-01	-6.623265e-02	-4.252881e-02	4.181264e-01	1.665344e-01	2.515920e-01
5             	3.281327e-01	1.023278e-01	2.258049e-01	9.488238e-02	-9.200369e-02	1.868861e-01	-1.394449e-01	-6.173856e-02	-3.653855e-02	4.491398e-01	1.880314e-01	2.611085e-01
6             	2.791633e-01	8.396117e-02	1.952021e-01	1.031743e-01	-1.059145e-01	2.090888e-01	-1.575016e-01	-5.562047e-02	-2.556680e-02	4.288091e-01	1.888378e-01	2.399714e-01
7             	2.172097e-01	5.950746e-02	1.577023e-01	8.913715e-02	-1.339536e-01	2.230907e-01	-1.785221e-01	-4.909739e-02	-1.309833e-02	3.801667e-01	1.769850e-01	2.031817e-01
8             	1.632776e-01	3.871117e-02	1.245664e-01	7.036485e-02	-1.627775e-01	2.331423e-01	-1.979599e-01	-4.292763e-02	-2.709695e-03	3.277859e-01	1.611833e-01	1.666027e-01
9             	1.320711e-01	2.776891e-02	1.043022e-01	5.771107e-02	-1.826668e-01	2.403779e-01	-2.115223e-01	-3.826665e-02	3.116688e-03	2.900937e-01	1.481636e-01	1.419302e-01
10            	1.289640e-01	2.913951e-02	9.982450e-02	5.714057e-02	-1.876454e-01	2.447859e-01	-2.162157e-01	-3.534249e-02	3.772550e-03	2.749145e-01	1.412298e-01	1.336847e-01
11            	1.492213e-01	4.082917e-02	1.083921e-01	6.873420e-02	-1.790361e-01	2.477703e-01	-2.134032e-01	-3.378149e-02	2.652643e-04	2.805023e-01	1.405164e-01	1.399859e-01
12            	1.823214e-01	5.782827e-02	1.244931e-01	8.750293e-02	-1.613911e-01	2.488940e-01	-2.051426e-01	-3.333243e-02	-5.496755e-03	2.995183e-01	1.442624e-01	1.552559e-01
13            	2.160039e-01	7.509407e-02	1.409098e-01	1.097175e-01	-1.403330e-01	2.500505e-01	-1.951917e-01	-3.290786e-02	-1.166404e-02	3.221685e-01	1.494202e-01	1.727483e-01
14            	2.407760e-01	8.860436e-02	1.521716e-01	1.317066e-01	-1.191373e-01	2.508439e-01	-1.849906e-01	-3.178363e-02	-1.681354e-02	3.403638e-01	1.533684e-01	1.869955e-01
15            	2.520814e-01	9.636695e-02	1.557144e-01	1.508668e-01	-1.002132e-01	2.510800e-01	-1.756466e-01	-2.967374e-02	-2.022946e-02	3.497616e-01	1.546513e-01	1.951103e-01
16            	2.503124e-01	9.853826e-02	1.517741e-01	1.664662e-01	-8.440418e-02	2.508704e-01	-1.676373e-01	-2.661792e-02	-2.185850e-02	3.499759e-01	1.531295e-01	1.968464e-01
17            	2.394883e-01	9.670812e-02	1.427802e-01	1.785894e-01	-7.167798e-02	2.502674e-01	-1.609727e-01	-2.303602e-02	-2.212235e-02	3.436286e-01	1.496920e-01	1.939367e-01
18            	2.253138e-01	9.319859e-02	1.321152e-01	1.880266e-01	-6.124385e-02	2.492704e-01	-1.552571e-01	-1.945833e-02	-2.167974e-02	3.345903e-01	1.456154e-01	1.889749e-01
19            	2.128552e-01	9.013454e-02	1.227206e-01	1.959908e-01	-5.201076e-02	2.480015e-01	-1.500061e-01	-1.629305e-02	-2.116067e-02	3.265527e-01	1.421157e-01	1.844370e-01
20            	2.053995e-01	8.901249e-02	1.163870e-01	2.039119e-01	-4.276988e-02	2.466818e-01	-1.447258e-01	-1.368726e-02	-2.100414e-02	3.219505e-01	1.399711e-01	1.819794e-01
21            	2.039110e-01	9.040304e-02	1.135080e-01	2.128022e-01	-3.282620e-02	2.456284e-01	-1.392273e-01	-1.155248e-02	-2.142379e-02	3.214335e-01	1.392930e-01	1.821405e-01
22            	2.073034e-01	9.393486e-02	1.133686e-01	2.230351e-01	-2.179903e-02	2.448342e-01	-1.333166e-01	-9.716863e-03	-2.236592e-02	3.242719e-01	1.397700e-01	1.845019e-01
23            	2.134463e-01	9.887386e-02	1.145724e-01	2.348944e-01	-9.683419e-03	2.445778e-01	-1.271306e-01	-7.849291e-03	-2.367276e-02	3.288831e-01	1.407688e-01	1.881143e-01
24            	2.199210e-01	1.041186e-01	1.158024e-01	2.475825e-01	2.857373e-03	2.447252e-01	-1.209339e-01	-5.841909e-03	-2.511436e-02	3.335805e-01	1.416759e-01	1.919046e-01
25            	2.249882e-01	1.087978e-01	1.161904e-01	2.601461e-01	1.516746e-02	2.449787e-01	-1.149056e-01	-3.696261e-03	-2.650748e-02	3.371277e-01	1.420564e-01	1.950714e-01
26            	2.277826e-01	1.123249e-01	1.154577e-01	2.714206e-01	2.630786e-02	2.451128e-01	-1.094024e-01	-1.566359e-03	-2.776769e-02	3.390051e-01	1.417349e-01	1.972703e-01
27            	2.283613e-01	1.145298e-01	1.138316e-01	2.805583e-01	3.574662e-02	2.448116e-01	-1.045325e-01	3.491009e-04	-2.887378e-02	3.393412e-01	1.407968e-01	1.985444e-01
28            	2.273786e-01	1.155626e-01	1.118159e-01	2.871558e-01	4.316959e-02	2.439862e-01	-1.004083e-01	1.873339e-03	-2.984168e-02	3.387347e-01	1.395257e-01	1.992090e-01
29            	2.257941e-01	1.157277e-01	1.100664e-01	2.909487e-01	4.860684e-02	2.423419e-01	-9.686752e-02	2.830651e-03	-3.075869e-02	3.378277e-01	1.381552e-01	1.996725e-01
30            	2.244562e-01	1.155187e-01	1.089375e-01	2.926686e-01	5.237086e-02	2.402977e-01	-9.396344e-02	3.290583e-03	-3.162941e-02	3.373435e-01	1.370423e-01	2.003012e-01
31            	2.238500e-01	1.150047e-01	1.088453e-01	2.918162e-01	5.403564e-02	2.377805e-01	-9.187245e-02	3.079727e-03	-3.243841e-02	3.376405e-01	1.363818e-01	2.012587e-01
32            	2.241716e-01	1.145335e-01	1.096381e-01	2.896294e-01	5.482499e-02	2.348044e-01	-8.998972e-02	2.447721e-03	-3.322877e-02	3.388249e-01	1.361837e-01	2.026412e-01
33            	2.252149e-01	1.139980e-01	1.112169e-01	2.860415e-01	5.446344e-02	2.315780e-01	-8.855729e-02	1.390545e-03	-3.396793e-02	3.408107e-01	1.364374e-01	2.043733e-01
34            	2.266462e-01	1.134604e-01	1.131858e-01	2.819160e-01	5.361980e-02	2.282962e-01	-8.733817e-02	1.373357e-04	-3.465392e-02	3.433586e-01	1.370254e-01	2.063332e-01
35            	2.281348e-01	1.129223e-01	1.152125e-01	2.777958e-01	5.276303e-02	2.250328e-01	-8.613489e-02	-1.145094e-03	-3.527728e-02	3.462042e-01	1.378248e-01	2.083794e-01
36            	2.294260e-01	1.123913e-01	1.170347e-01	2.741228e-01	5.219954e-02	2.219232e-01	-8.486185e-02	-2.321719e-03	-3.583234e-02	3.491572e-01	1.387463e-01	2.104110e-01
37            	2.304025e-01	1.118791e-01	1.185234e-01	2.711236e-01	5.209432e-02	2.190293e-01	-8.346750e-02	-3.322111e-03	-3.633919e-02	3.521144e-01	1.397180e-01	2.123964e-01
