# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	DILUPBiCGStab	6.812220e-02	6.741630e-04	2	9.342680e-02	7.019360e-04	2	2.878390e-01	5.902950e-04	3	false	DILUPBiCGStab	1.000000e+00	3.260300e-03	2	true	DILUPBiCGStab	4.562600e-03	1.249640e-05	2	true	GAMGPCG	2.147440e-01	6.653770e-04	4	true
2             	DILUPBiCGStab	5.216410e-02	3.040830e-04	2	4.317760e-02	1.938280e-04	2	1.764190e-01	5.862470e-04	2	false	DILUPBiCGStab	1.264720e-01	4.101030e-04	2	true	DILUPBiCGStab	1.636050e-03	7.751740e-06	2	true	GAMGPCG	2.601150e-01	2.273810e-03	3	true
3             	DILUPBiCGStab	4.532670e-02	1.815010e-04	2	2.372790e-02	9.856630e-05	2	1.173180e-01	3.905770e-04	2	false	DILUPBiCGStab	5.250670e-02	1.711780e-04	2	true	DILUPBiCGStab	1.867660e-03	6.902130e-06	2	true	GAMGPCG	2.550010e-01	1.062720e-03	4	true
4             	DILUPBiCGStab	4.356780e-02	1.541920e-04	2	1.766810e-02	8.574950e-05	2	8.231330e-02	3.367820e-04	2	false	DILUPBiCGStab	3.100820e-02	8.754740e-05	2	true	DILUPBiCGStab	2.034310e-03	6.345000e-06	2	true	GAMGPCG	1.860280e-01	1.344070e-03	3	true
5             	DILUPBiCGStab	4.169930e-02	1.635500e-04	2	1.854240e-02	9.403050e-05	2	6.607150e-02	2.596060e-04	2	false	DILUPBiCGStab	2.135350e-02	5.957960e-05	2	true	DILUPBiCGStab	2.111070e-03	5.676390e-06	2	true	GAMGPCG	1.564820e-01	5.584180e-04	4	true
6             	DILUPBiCGStab	3.655220e-02	1.529210e-04	2	1.746400e-02	7.773120e-05	2	5.679830e-02	2.182660e-04	2	false	DILUPBiCGStab	1.615810e-02	3.664670e-05	2	true	DILUPBiCGStab	2.211810e-03	5.454850e-06	2	true	GAMGPCG	1.551540e-01	8.995540e-04	3	true
7             	DILUPBiCGStab	2.989290e-02	1.214000e-04	2	1.458610e-02	6.605080e-05	2	4.817520e-02	1.988620e-04	2	false	DILUPBiCGStab	1.285430e-02	1.086440e-04	2	true	DILUPBiCGStab	2.256390e-03	5.426410e-06	2	true	GAMGPCG	1.635150e-01	5.963100e-04	4	true
8             	DILUPBiCGStab	2.488400e-02	1.226110e-04	3	1.154590e-02	5.168800e-05	2	3.997470e-02	1.753440e-04	2	false	DILUPBiCGStab	1.051620e-02	8.467950e-05	2	true	DILUPBiCGStab	2.189270e-03	2.162930e-05	2	true	GAMGPCG	1.736570e-01	1.166740e-03	3	true
9             	DILUPBiCGStab	2.392670e-02	1.076090e-04	2	1.008140e-02	4.693870e-05	2	3.300210e-02	1.322120e-04	2	false	DILUPBiCGStab	8.821540e-03	7.295270e-05	2	true	DILUPBiCGStab	2.069020e-03	1.969670e-05	2	true	GAMGPCG	1.831860e-01	6.822020e-04	4	true
10            	DILUPBiCGStab	2.438720e-02	1.017020e-04	2	1.057000e-02	5.102460e-05	2	2.851640e-02	1.167830e-04	2	false	DILUPBiCGStab	7.517630e-03	6.080730e-05	2	true	DILUPBiCGStab	1.920580e-03	1.764520e-05	2	true	GAMGPCG	1.924990e-01	9.153470e-04	3	true
11            	DILUPBiCGStab	2.394630e-02	9.964690e-05	2	1.107850e-02	5.013390e-05	2	2.542810e-02	1.009400e-04	2	false	DILUPBiCGStab	6.590040e-03	5.497130e-05	2	true	DILUPBiCGStab	1.778110e-03	1.607580e-05	2	true	GAMGPCG	1.982560e-01	1.655340e-03	3	true
