# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.456887e-01	-1.322122e-01	3.779009e-01	-6.639598e-01	-5.541481e-01	-1.098118e-01	-2.221682e-01	-2.550566e-01	4.073289e-02	5.000523e-01	2.907591e-01	2.092933e-01
2             	3.854018e-01	-2.237029e-01	6.091047e-01	-4.425614e-01	-4.263423e-01	-1.621912e-02	-2.050616e-01	-4.164038e-01	6.962308e-02	1.195059e+00	6.671528e-01	5.279067e-01
3             	5.219092e-01	-3.010887e-01	8.229979e-01	-2.213662e-01	-3.111064e-01	8.974016e-02	-2.004233e-01	-5.620433e-01	9.523308e-02	1.830358e+00	1.010412e+00	8.199458e-01
4             	5.877850e-01	-3.573564e-01	9.451414e-01	-5.040645e-02	-2.416168e-01	1.912103e-01	-2.164136e-01	-6.512489e-01	1.190082e-01	2.234509e+00	1.236263e+00	9.982465e-01
5             	5.576505e-01	-3.936090e-01	9.512595e-01	5.275033e-02	-2.262910e-01	2.790414e-01	-2.526662e-01	-6.724343e-01	1.413341e-01	2.358452e+00	1.320560e+00	1.037892e+00
6             	4.489013e-01	-4.123174e-01	8.612188e-01	1.016228e-01	-2.513473e-01	3.529701e-01	-3.021587e-01	-6.367681e-01	1.607651e-01	2.251510e+00	1.286520e+00	9.649898e-01
7             	3.059775e-01	-4.168859e-01	7.228634e-01	1.136262e-01	-2.976552e-01	4.112814e-01	-3.544683e-01	-5.698747e-01	1.747708e-01	2.015353e+00	1.182447e+00	8.329055e-01
8             	1.778783e-01	-4.088406e-01	5.867188e-01	1.196868e-01	-3.438879e-01	4.635747e-01	-4.037313e-01	-4.977797e-01	1.816730e-01	1.759734e+00	1.061540e+00	6.981939e-01
9             	1.007250e-01	-3.910205e-01	4.917455e-01	1.342282e-01	-3.737988e-01	5.080270e-01	-4.409129e-01	-4.413830e-01	1.812532e-01	1.566531e+00	9.645185e-01	6.020121e-01
10            	8.825728e-02	-3.670947e-01	4.553520e-01	1.588673e-01	-3.790090e-01	5.378763e-01	-4.584427e-01	-4.112234e-01	1.747339e-01	1.473754e+00	9.116107e-01	5.621428e-01
11            	1.302981e-01	-3.407944e-01	4.710924e-01	1.958679e-01	-3.609272e-01	5.567951e-01	-4.588611e-01	-4.059434e-01	1.648961e-01	1.477808e+00	9.038003e-01	5.740081e-01
12            	2.030486e-01	-3.168176e-01	5.198662e-01	2.378469e-01	-3.277206e-01	5.655676e-01	-4.466441e-01	-4.183419e-01	1.537443e-01	1.547775e+00	9.276319e-01	6.201433e-01
13            	2.786342e-01	-2.979438e-01	5.765780e-01	2.830379e-01	-2.881050e-01	5.711429e-01	-4.296239e-01	-4.372609e-01	1.434838e-01	1.642755e+00	9.648615e-01	6.778939e-01
14            	3.357200e-01	-2.862516e-01	6.219716e-01	3.228355e-01	-2.508409e-01	5.736764e-01	-4.122586e-01	-4.541116e-01	1.349432e-01	1.726519e+00	9.982024e-01	7.283161e-01
15            	3.635544e-01	-2.813688e-01	6.449232e-01	3.554970e-01	-2.187935e-01	5.742905e-01	-3.965420e-01	-4.631460e-01	1.282577e-01	1.777969e+00	1.017242e+00	7.607266e-01
16            	3.625935e-01	-2.813981e-01	6.439915e-01	3.816902e-01	-1.929380e-01	5.746281e-01	-3.837831e-01	-4.626948e-01	1.230880e-01	1.791722e+00	1.018949e+00	7.727729e-01
17            	3.414871e-01	-2.839613e-01	6.254483e-01	4.020554e-01	-1.728334e-01	5.748888e-01	-3.738611e-01	-4.547048e-01	1.189480e-01	1.775393e+00	1.006644e+00	7.687482e-01
18            	3.125105e-01	-2.865086e-01	5.990191e-01	4.180148e-01	-1.569206e-01	5.749354e-01	-3.659280e-01	-4.427638e-01	1.153889e-01	1.742899e+00	9.868382e-01	7.560604e-01
19            	2.867980e-01	-2.872845e-01	5.740826e-01	4.305276e-01	-1.438605e-01	5.743881e-01	-3.591243e-01	-4.306835e-01	1.121377e-01	1.708290e+00	9.662825e-01	7.420071e-01
