# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (1.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.456887e-01	-1.322122e-01	3.779009e-01	-6.639598e-01	-9.122710e-01	2.483111e-01	-5.802911e-01	-2.550566e-01	-2.289825e-01	5.000523e-01	2.104367e-02	4.790087e-01
2             	3.854018e-01	-2.237029e-01	6.091047e-01	-4.425614e-01	-6.650485e-01	2.224871e-01	-4.437678e-01	-4.164038e-01	-5.749613e-01	1.195059e+00	2.256842e-02	1.172491e+00
3             	5.219092e-01	-3.010887e-01	8.229979e-01	-2.213662e-01	-4.305057e-01	2.091394e-01	-3.198225e-01	-5.620433e-01	-8.920149e-01	1.830358e+00	2.316398e-02	1.807194e+00
4             	5.877850e-01	-3.573564e-01	9.451414e-01	-5.040645e-02	-2.688047e-01	2.183983e-01	-2.436015e-01	-6.512489e-01	-1.086229e+00	2.234509e+00	3.102590e-02	2.203484e+00
5             	5.576505e-01	-3.936090e-01	9.512595e-01	5.275033e-02	-1.978389e-01	2.505892e-01	-2.242140e-01	-6.724343e-01	-1.130754e+00	2.358452e+00	4.847167e-02	2.309980e+00
6             	4.489013e-01	-4.123174e-01	8.612188e-01	1.016228e-01	-1.965346e-01	2.981574e-01	-2.473460e-01	-6.367681e-01	-1.053641e+00	2.251510e+00	7.211339e-02	2.179396e+00
7             	3.059775e-01	-4.168859e-01	7.228634e-01	1.136262e-01	-2.363681e-01	3.499943e-01	-2.931812e-01	-5.698747e-01	-9.122587e-01	2.015353e+00	9.541766e-02	1.919935e+00
8             	1.778783e-01	-4.088406e-01	5.867188e-01	1.196868e-01	-2.793319e-01	3.990187e-01	-3.391753e-01	-4.977797e-01	-7.674822e-01	1.759734e+00	1.123847e-01	1.647349e+00
9             	1.007250e-01	-3.910205e-01	4.917455e-01	1.342282e-01	-3.013996e-01	4.356278e-01	-3.685137e-01	-4.413830e-01	-6.636932e-01	1.566531e+00	1.195721e-01	1.446959e+00
10            	8.825728e-02	-3.670947e-01	4.553520e-01	1.588673e-01	-2.933200e-01	4.521874e-01	-3.727537e-01	-4.112234e-01	-6.201709e-01	1.473754e+00	1.167059e-01	1.357048e+00
