# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 1.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.456887e-01	1.375032e-01	1.081856e-01	-6.639598e-01	-6.866663e-01	2.270643e-02	-3.546864e-01	1.465880e-02	4.073289e-02	5.000523e-01	2.907591e-01	2.092933e-01
2             	3.854018e-01	4.208815e-01	-3.547968e-02	-4.425614e-01	-6.342181e-01	1.916567e-01	-4.129374e-01	2.281806e-01	6.962308e-02	1.195059e+00	6.671528e-01	5.279067e-01
3             	5.219092e-01	6.861593e-01	-1.642501e-01	-2.213662e-01	-5.926108e-01	3.712446e-01	-4.819277e-01	4.252047e-01	9.523308e-02	1.830358e+00	1.010412e+00	8.199458e-01
4             	5.877850e-01	8.478806e-01	-2.600957e-01	-5.040645e-02	-5.586529e-01	5.082465e-01	-5.334497e-01	5.539881e-01	1.190082e-01	2.234509e+00	1.236263e+00	9.982465e-01
5             	5.576505e-01	8.784795e-01	-3.208290e-01	5.275033e-02	-5.270734e-01	5.798237e-01	-5.534486e-01	5.996543e-01	1.413341e-01	2.358452e+00	1.320560e+00	1.037892e+00
6             	4.489013e-01	8.020891e-01	-3.531877e-01	1.016228e-01	-4.934731e-01	5.950959e-01	-5.442845e-01	5.776384e-01	1.607651e-01	2.251510e+00	1.286520e+00	9.649898e-01
7             	3.059775e-01	6.701435e-01	-3.641661e-01	1.136262e-01	-4.626916e-01	5.763178e-01	-5.195047e-01	5.171548e-01	1.747708e-01	2.015353e+00	1.182447e+00	8.329055e-01
8             	1.778783e-01	5.403147e-01	-3.624364e-01	1.196868e-01	-4.398309e-01	5.595177e-01	-4.996743e-01	4.513755e-01	1.816730e-01	1.759734e+00	1.061540e+00	6.981939e-01
9             	1.007250e-01	4.539259e-01	-3.532009e-01	1.342282e-01	-4.281273e-01	5.623554e-01	-4.952414e-01	4.035634e-01	1.812532e-01	1.566531e+00	9.645185e-01	6.020121e-01
10            	8.825728e-02	4.278101e-01	-3.395528e-01	1.588673e-01	-4.266127e-01	5.854800e-01	-5.060464e-01	3.836815e-01	1.747339e-01	1.473754e+00	9.116107e-01	5.621428e-01
11            	1.302981e-01	4.562975e-01	-3.259995e-01	1.958679e-01	-4.312066e-01	6.270745e-01	-5.291406e-01	3.911485e-01	1.648961e-01	1.477808e+00	9.038003e-01	5.740081e-01
12            	2.030486e-01	5.180126e-01	-3.149640e-01	2.378469e-01	-4.372398e-01	6.750868e-01	-5.561633e-01	4.164883e-01	1.537443e-01	1.547775e+00	9.276319e-01	6.201433e-01
13            	2.786342e-01	5.881163e-01	-3.094821e-01	2.830379e-01	-4.383931e-01	7.214310e-01	-5.799121e-01	4.487992e-01	1.434838e-01	1.642755e+00	9.648615e-01	6.778939e-01
14            	3.357200e-01	6.449882e-01	-3.092682e-01	3.228355e-01	-4.319196e-01	7.547551e-01	-5.933374e-01	4.771282e-01	1.349432e-01	1.726519e+00	9.982024e-01	7.283161e-01
15            	3.635544e-01	6.776218e-01	-3.140674e-01	3.554970e-01	-4.148854e-01	7.703824e-01	-5.926339e-01	4.958446e-01	1.282577e-01	1.777969e+00	1.017242e+00	7.607266e-01
16            	3.625935e-01	6.850106e-01	-3.224172e-01	3.816902e-01	-3.885116e-01	7.702018e-01	-5.793567e-01	5.037139e-01	1.230880e-01	1.791722e+00	1.018949e+00	7.727729e-01
