# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-7.727003e-03	-3.729526e-02	2.956826e-02	-1.877227e-02	-1.977620e-02	1.003934e-03	-1.039007e-02	-3.343176e-02	-8.794493e-02	1.727050e-01	-1.592417e-03	1.742975e-01
2             	4.178475e-03	-5.157356e-02	5.575203e-02	-2.628759e-02	-2.558934e-02	-6.982546e-04	-1.244554e-02	-5.366280e-02	-1.563781e-01	2.967733e-01	-7.991475e-03	3.047647e-01
3             	1.617718e-02	-6.359312e-02	7.977030e-02	-3.314720e-02	-3.072165e-02	-2.425551e-03	-1.414805e-02	-7.168171e-02	-2.172019e-01	4.062386e-01	-1.408263e-02	4.203212e-01
4             	2.074455e-02	-7.233250e-02	9.307705e-02	-3.765661e-02	-3.454946e-02	-3.107150e-03	-1.572115e-02	-8.270477e-02	-2.524904e-01	4.714295e-01	-1.677561e-02	4.882052e-01
5             	1.504794e-02	-7.805288e-02	9.310081e-02	-3.925337e-02	-3.691645e-02	-2.336921e-03	-1.728976e-02	-8.557684e-02	-2.581850e-01	4.860696e-01	-1.515026e-02	5.012198e-01
6             	1.220522e-03	-8.126823e-02	8.248875e-02	-3.821028e-02	-3.779786e-02	-4.124234e-04	-1.869272e-02	-8.187849e-02	-2.408483e-01	4.612897e-01	-1.020340e-02	4.714931e-01
7             	-1.579584e-02	-8.250690e-02	6.671106e-02	-3.554349e-02	-3.751196e-02	1.968463e-03	-1.974021e-02	-7.460898e-02	-2.120129e-01	4.162003e-01	-3.912780e-03	4.201130e-01
8             	-3.081624e-02	-8.207400e-02	5.125776e-02	-3.180944e-02	-3.588112e-02	4.071678e-03	-1.997640e-02	-6.666588e-02	-1.832275e-01	3.699940e-01	1.769503e-03	3.682245e-01
9             	-4.000125e-02	-8.032262e-02	4.032138e-02	-2.793414e-02	-3.328734e-02	5.353194e-03	-1.932026e-02	-6.032200e-02	-1.626736e-01	3.362332e-01	5.442969e-03	3.307903e-01
10            	-4.203993e-02	-7.773564e-02	3.569571e-02	-2.458290e-02	-3.020907e-02	5.626170e-03	-1.791762e-02	-5.671568e-02	-1.538468e-01	3.209330e-01	6.619668e-03	3.143133e-01
11            	-3.821655e-02	-7.475838e-02	3.654184e-02	-2.156367e-02	-2.663777e-02	5.074101e-03	-1.585594e-02	-5.565011e-02	-1.557049e-01	3.228125e-01	5.701296e-03	3.171112e-01
12            	-3.079644e-02	-7.182710e-02	4.103065e-02	-1.905613e-02	-2.307519e-02	4.019058e-03	-1.354712e-02	-5.642887e-02	-1.647518e-01	3.363408e-01	3.418588e-03	3.329222e-01
13            	-2.277160e-02	-6.927974e-02	4.650813e-02	-1.659593e-02	-1.947863e-02	2.882697e-03	-1.118066e-02	-5.789393e-02	-1.763943e-01	3.543061e-01	7.587093e-04	3.535474e-01
14            	-1.631706e-02	-6.737622e-02	5.105916e-02	-1.426796e-02	-1.623987e-02	1.971911e-03	-9.105891e-03	-5.921769e-02	-1.868321e-01	3.705604e-01	-1.551887e-03	3.721123e-01
15            	-1.258176e-02	-6.609149e-02	5.350973e-02	-1.181696e-02	-1.326464e-02	1.447686e-03	-7.356164e-03	-5.980061e-02	-1.939043e-01	3.816295e-01	-3.089548e-03	3.847191e-01
16            	-1.163452e-02	-6.531233e-02	5.367781e-02	-9.254717e-03	-1.057274e-02	1.318027e-03	-5.945385e-03	-5.949507e-02	-1.970542e-01	3.865619e-01	-3.773249e-03	3.903351e-01
17            	-1.269902e-02	-6.479775e-02	5.209874e-02	-6.643680e-03	-8.115774e-03	1.472094e-03	-4.793934e-03	-5.844825e-02	-1.969475e-01	3.863044e-01	-3.795269e-03	3.900997e-01
18            	-1.466903e-02	-6.429044e-02	4.962141e-02	-4.046924e-03	-5.800025e-03	1.753101e-03	-3.776563e-03	-5.695592e-02	-1.948661e-01	3.828131e-01	-3.459598e-03	3.862727e-01
19            	-1.650325e-02	-6.364155e-02	4.713829e-02	-1.702554e-03	-3.715962e-03	2.013408e-03	-2.864685e-03	-5.538992e-02	-1.921173e-01	3.780983e-01	-3.068193e-03	3.811665e-01
20            	-1.750996e-02	-6.276325e-02	4.525329e-02	3.239759e-04	-1.831301e-03	2.155277e-03	-1.993289e-03	-5.400827e-02	-1.897212e-01	3.737768e-01	-2.832799e-03	3.766096e-01
21            	-1.742867e-02	-6.166059e-02	4.423192e-02	2.004301e-03	-1.379722e-04	2.142273e-03	-1.140123e-03	-5.294626e-02	-1.882092e-01	3.707149e-01	-2.851728e-03	3.735666e-01
22            	-1.636405e-02	-6.044430e-02	4.408024e-02	3.280933e-03	1.291404e-03	1.989529e-03	-3.490628e-04	-5.226227e-02	-1.877172e-01	3.691883e-01	-3.122998e-03	3.723113e-01
23            	-1.469003e-02	-5.922306e-02	4.453303e-02	4.272650e-03	2.522445e-03	1.750205e-03	3.861202e-04	-5.187804e-02	-1.880463e-01	3.689666e-01	-3.563038e-03	3.725296e-01
24            	-1.287527e-02	-5.812695e-02	4.525168e-02	5.074213e-03	3.583381e-03	1.490833e-03	1.046274e-03	-5.168931e-02	-1.888433e-01	3.695775e-01	-4.054572e-03	3.736321e-01
25            	-1.130193e-02	-5.721776e-02	4.591583e-02	5.812807e-03	4.547019e-03	1.265788e-03	1.640616e-03	-5.156680e-02	-1.897204e-01	3.704406e-01	-4.500131e-03	3.749407e-01
26            	-1.017712e-02	-5.651156e-02	4.633444e-02	6.533948e-03	5.429441e-03	1.104507e-03	2.162467e-03	-5.142300e-02	-1.903740e-01	3.710538e-01	-4.847075e-03	3.759009e-01
27            	-9.529221e-03	-5.597435e-02	4.644512e-02	7.243336e-03	6.231990e-03	1.011345e-03	2.610322e-03	-5.120974e-02	-1.906275e-01	3.710783e-01	-5.088329e-03	3.761666e-01
28            	-9.214540e-03	-5.554068e-02	4.632614e-02	7.886198e-03	6.920510e-03	9.656883e-04	2.977411e-03	-5.093341e-02	-1.904695e-01	3.704125e-01	-5.263298e-03	3.756758e-01
29            	-9.067790e-03	-5.513092e-02	4.606313e-02	8.469113e-03	7.525204e-03	9.439095e-04	3.290647e-03	-5.059702e-02	-1.899572e-01	3.690930e-01	-5.410660e-03	3.745037e-01
30            	-8.944820e-03	-5.468422e-02	4.573940e-02	9.020152e-03	8.094780e-03	9.253713e-04	3.584705e-03	-5.021181e-02	-1.891946e-01	3.672679e-01	-5.560696e-03	3.728285e-01
31            	-8.742615e-03	-5.417458e-02	4.543197e-02	9.520652e-03	8.625311e-03	8.953410e-04	3.864985e-03	-4.980328e-02	-1.882549e-01	3.650400e-01	-5.734872e-03	3.707748e-01
32            	-8.373731e-03	-5.359438e-02	4.522065e-02	9.977942e-03	9.136196e-03	8.417459e-04	4.147225e-03	-4.940752e-02	-1.873343e-01	3.627688e-01	-5.949911e-03	3.687187e-01
33            	-7.827332e-03	-5.296753e-02	4.514020e-02	1.034184e-02	9.579236e-03	7.626006e-04	4.408318e-03	-4.905386e-02	-1.864584e-01	3.605027e-01	-6.207021e-03	3.667097e-01
34            	-7.115523e-03	-5.230765e-02	4.519213e-02	1.064464e-02	9.984809e-03	6.598351e-04	4.662487e-03	-4.874989e-02	-1.857156e-01	3.584283e-01	-6.501504e-03	3.649298e-01
35            	-6.278197e-03	-5.163246e-02	4.535427e-02	1.088982e-02	1.035066e-02	5.391537e-04	4.905754e-03	-4.849337e-02	-1.850888e-01	3.565305e-01	-6.823520e-03	3.633541e-01
36            	-5.338151e-03	-5.096463e-02	4.562648e-02	1.105174e-02	1.064798e-02	4.037633e-04	5.122107e-03	-4.829556e-02	-1.846023e-01	3.548646e-01	-7.169992e-03	3.620346e-01
37            	-4.324287e-03	-5.032072e-02	4.599643e-02	1.110990e-02	1.085190e-02	2.580049e-04	5.296947e-03	-4.815857e-02	-1.842397e-01	3.534086e-01	-7.535414e-03	3.609441e-01
38            	-3.260367e-03	-4.970180e-02	4.644143e-02	1.107400e-02	1.096898e-02	1.050259e-04	5.431976e-03	-4.807162e-02	-1.839818e-01	3.521345e-01	-7.914537e-03	3.600490e-01
39            	-2.158169e-03	-4.910630e-02	4.694813e-02	1.094387e-02	1.099752e-02	-5.364359e-05	5.525581e-03	-4.802721e-02	-1.837917e-01	3.509755e-01	-8.303977e-03	3.592795e-01
40            	-1.042027e-03	-4.852670e-02	4.748467e-02	1.075926e-02	1.097381e-02	-2.145518e-04	5.594180e-03	-4.800569e-02	-1.836423e-01	3.498969e-01	-8.693828e-03	3.585908e-01
41            	6.542166e-05	-4.795789e-02	4.802331e-02	1.056545e-02	1.093953e-02	-3.740849e-04	5.656810e-03	-4.799060e-02	-1.835218e-01	3.488964e-01	-9.073532e-03	3.579700e-01
42            	1.136522e-03	-4.738968e-02	4.852620e-02	1.043443e-02	1.096272e-02	-5.282856e-04	5.745503e-03	-4.795794e-02	-1.834320e-01	3.480035e-01	-9.430261e-03	3.574338e-01
43            	2.140217e-03	-4.681751e-02	4.895773e-02	1.043477e-02	1.110757e-02	-6.728077e-04	5.890190e-03	-4.788762e-02	-1.833775e-01	3.472541e-01	-9.750396e-03	3.570045e-01
44            	3.075605e-03	-4.623532e-02	4.931092e-02	1.058442e-02	1.139196e-02	-8.075405e-04	6.099752e-03	-4.777312e-02	-1.833544e-01	3.466433e-01	-1.003274e-02	3.566760e-01
45            	3.964752e-03	-4.563643e-02	4.960119e-02	1.087849e-02	1.181399e-02	-9.354967e-04	6.374743e-03	-4.761881e-02	-1.833710e-01	3.461734e-01	-1.028424e-02	3.564577e-01
46            	4.827376e-03	-4.502402e-02	4.985139e-02	1.128065e-02	1.233995e-02	-1.059295e-03	6.699622e-03	-4.743770e-02	-1.834256e-01	3.458274e-01	-1.051191e-02	3.563393e-01
47            	5.684435e-03	-4.439843e-02	5.008286e-02	1.176095e-02	1.294296e-02	-1.182009e-03	7.062483e-03	-4.724065e-02	-1.835128e-01	3.455776e-01	-1.072404e-02	3.563017e-01
48            	6.549123e-03	-4.377156e-02	5.032069e-02	1.225910e-02	1.356486e-02	-1.305759e-03	7.435310e-03	-4.704613e-02	-1.836229e-01	3.453881e-01	-1.092883e-02	3.563169e-01
49            	7.440161e-03	-4.315499e-02	5.059515e-02	1.270591e-02	1.413918e-02	-1.433263e-03	7.786221e-03	-4.687507e-02	-1.837362e-01	3.452036e-01	-1.113444e-02	3.563380e-01
50            	8.365039e-03	-4.256139e-02	5.092642e-02	1.304639e-02	1.461198e-02	-1.565592e-03	8.088786e-03	-4.674390e-02	-1.838403e-01	3.449911e-01	-1.134478e-02	3.563359e-01
51            	9.299730e-03	-4.199728e-02	5.129701e-02	1.329206e-02	1.499131e-02	-1.699251e-03	8.345279e-03	-4.664715e-02	-1.839232e-01	3.447411e-01	-1.155261e-02	3.562937e-01
52            	1.022893e-02	-4.146994e-02	5.169887e-02	1.343859e-02	1.527077e-02	-1.832185e-03	8.551478e-03	-4.658440e-02	-1.839718e-01	3.444366e-01	-1.175350e-02	3.561901e-01
53            	1.113944e-02	-4.096929e-02	5.210873e-02	1.352506e-02	1.548754e-02	-1.962484e-03	8.725012e-03	-4.653901e-02	-1.839723e-01	3.440593e-01	-1.194265e-02	3.560019e-01
54            	1.202484e-02	-4.048843e-02	5.251327e-02	1.356641e-02	1.565587e-02	-2.089455e-03	8.872661e-03	-4.650085e-02	-1.839011e-01	3.435639e-01	-1.211912e-02	3.556830e-01
55            	1.288524e-02	-4.001985e-02	5.290509e-02	1.357248e-02	1.578556e-02	-2.213072e-03	8.999315e-03	-4.646247e-02	-1.837385e-01	3.429063e-01	-1.228533e-02	3.551916e-01
56            	1.372131e-02	-3.956438e-02	5.328569e-02	1.353543e-02	1.586900e-02	-2.333565e-03	9.101282e-03	-4.642503e-02	-1.834778e-01	3.420662e-01	-1.244474e-02	3.545110e-01
57            	1.456381e-02	-3.911349e-02	5.367730e-02	1.343508e-02	1.589007e-02	-2.454994e-03	9.172534e-03	-4.639540e-02	-1.831282e-01	3.410385e-01	-1.260898e-02	3.536475e-01
58            	1.542638e-02	-3.866479e-02	5.409116e-02	1.326385e-02	1.584339e-02	-2.579548e-03	9.211471e-03	-4.637798e-02	-1.827043e-01	3.398431e-01	-1.278280e-02	3.526259e-01
59            	1.632405e-02	-3.820974e-02	5.453379e-02	1.303057e-02	1.573968e-02	-2.709111e-03	9.224394e-03	-4.637177e-02	-1.822267e-01	3.385100e-01	-1.297165e-02	3.514817e-01
60            	1.726219e-02	-3.774010e-02	5.500229e-02	1.274921e-02	1.559386e-02	-2.844649e-03	9.219252e-03	-4.637120e-02	-1.817005e-01	3.370459e-01	-1.317754e-02	3.502234e-01
61            	1.825253e-02	-3.724638e-02	5.549890e-02	1.243936e-02	1.542698e-02	-2.987619e-03	9.207301e-03	-4.637264e-02	-1.811485e-01	3.354898e-01	-1.340357e-02	3.488934e-01
62            	1.930448e-02	-3.672329e-02	5.602777e-02	1.211605e-02	1.525551e-02	-3.139458e-03	9.197485e-03	-4.637553e-02	-1.805987e-01	3.338964e-01	-1.365048e-02	3.475469e-01
63            	2.041837e-02	-3.617133e-02	5.658970e-02	1.179573e-02	1.509583e-02	-3.300091e-03	9.197958e-03	-4.638052e-02	-1.800819e-01	3.323289e-01	-1.391741e-02	3.462463e-01
64            	2.157541e-02	-3.559944e-02	5.717485e-02	1.148722e-02	1.495407e-02	-3.466843e-03	9.210454e-03	-4.638715e-02	-1.796071e-01	3.308169e-01	-1.419866e-02	3.450156e-01
65            	2.275468e-02	-3.501890e-02	5.777358e-02	1.119865e-02	1.483523e-02	-3.636587e-03	9.235910e-03	-4.639624e-02	-1.791856e-01	3.293979e-01	-1.448664e-02	3.438845e-01
66            	2.391712e-02	-3.443944e-02	5.835656e-02	1.095176e-02	1.475552e-02	-3.803757e-03	9.279638e-03	-4.639800e-02	-1.787983e-01	3.280623e-01	-1.476714e-02	3.428295e-01
67            	2.502259e-02	-3.387043e-02	5.889302e-02	1.077368e-02	1.473633e-02	-3.962649e-03	9.349488e-03	-4.638173e-02	-1.784293e-01	3.268047e-01	-1.502695e-02	3.418317e-01
68            	2.604604e-02	-3.331581e-02	5.936185e-02	1.068579e-02	1.479559e-02	-4.109800e-03	9.452695e-03	-4.633883e-02	-1.780706e-01	3.256280e-01	-1.525661e-02	3.408846e-01
69            	2.697778e-02	-3.278117e-02	5.975895e-02	1.069110e-02	1.493476e-02	-4.243661e-03	9.589211e-03	-4.627006e-02	-1.777249e-01	3.245450e-01	-1.545238e-02	3.399973e-01
70            	2.782491e-02	-3.226116e-02	6.008606e-02	1.079226e-02	1.515741e-02	-4.365159e-03	9.761287e-03	-4.617361e-02	-1.773880e-01	3.235446e-01	-1.561571e-02	3.391603e-01
71            	2.859949e-02	-3.174929e-02	6.034877e-02	1.098916e-02	1.546511e-02	-4.475957e-03	9.970536e-03	-4.604903e-02	-1.770553e-01	3.226084e-01	-1.575109e-02	3.383595e-01
72            	2.930456e-02	-3.123830e-02	6.054286e-02	1.128977e-02	1.586630e-02	-4.576527e-03	1.022141e-02	-4.589058e-02	-1.767187e-01	3.217142e-01	-1.586162e-02	3.375758e-01
73            	2.996601e-02	-3.072343e-02	6.068944e-02	1.167507e-02	1.634564e-02	-4.670575e-03	1.050811e-02	-4.570644e-02	-1.763970e-01	3.208785e-01	-1.595776e-02	3.368363e-01
74            	3.059856e-02	-3.020079e-02	6.079935e-02	1.212657e-02	1.688663e-02	-4.760055e-03	1.082334e-02	-4.550007e-02	-1.760894e-01	3.200852e-01	-1.604681e-02	3.361320e-01
75            	3.121805e-02	-2.966704e-02	6.088508e-02	1.262404e-02	1.747113e-02	-4.847093e-03	1.115911e-02	-4.527606e-02	-1.757975e-01	3.193232e-01	-1.613587e-02	3.354591e-01
76            	3.184220e-02	-2.911979e-02	6.096200e-02	1.314467e-02	1.807893e-02	-4.934257e-03	1.150659e-02	-4.504089e-02	-1.755191e-01	3.185754e-01	-1.623140e-02	3.348068e-01
77            	3.248303e-02	-2.855859e-02	6.104162e-02	1.367803e-02	1.870145e-02	-5.023421e-03	1.186243e-02	-4.480010e-02	-1.752582e-01	3.178400e-01	-1.633824e-02	3.341782e-01
78            	3.313966e-02	-2.798781e-02	6.112748e-02	1.421371e-02	1.932824e-02	-5.114530e-03	1.222139e-02	-4.455764e-02	-1.750132e-01	3.171089e-01	-1.645876e-02	3.335677e-01
79            	3.382038e-02	-2.740237e-02	6.122276e-02	1.474750e-02	1.995635e-02	-5.208842e-03	1.258259e-02	-4.431256e-02	-1.747697e-01	3.163439e-01	-1.659770e-02	3.329416e-01
80            	3.453133e-02	-2.679795e-02	6.132928e-02	1.526904e-02	2.057637e-02	-5.307333e-03	1.294185e-02	-4.406361e-02	-1.745064e-01	3.154955e-01	-1.675865e-02	3.322541e-01
81            	3.527176e-02	-2.617719e-02	6.144895e-02	1.577129e-02	2.118124e-02	-5.409948e-03	1.329559e-02	-4.381307e-02	-1.742191e-01	3.145528e-01	-1.694272e-02	3.314956e-01
82            	3.603441e-02	-2.554639e-02	6.158081e-02	1.624547e-02	2.176109e-02	-5.515620e-03	1.363835e-02	-4.356360e-02	-1.739038e-01	3.135101e-01	-1.714872e-02	3.306588e-01
83            	3.682385e-02	-2.491176e-02	6.173561e-02	1.667886e-02	2.230389e-02	-5.625032e-03	1.396446e-02	-4.332369e-02	-1.735812e-01	3.124061e-01	-1.737811e-02	3.297842e-01
84            	3.764118e-02	-2.427040e-02	6.191158e-02	1.706629e-02	2.280471e-02	-5.738426e-03	1.427157e-02	-4.309099e-02	-1.732433e-01	3.112214e-01	-1.763260e-02	3.288540e-01
