# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.314235e-02	-1.831307e-02	3.145542e-02	1.497650e-02	1.969921e-03	1.300658e-02	-5.518330e-03	-2.488424e-02	9.408282e-02	1.971305e-01	1.926481e-01	4.482417e-03
2             	3.666767e-02	-2.594098e-02	6.260866e-02	9.065843e-03	5.322811e-03	3.743032e-03	7.898894e-04	-4.427482e-02	1.431473e-01	3.135026e-01	2.998986e-01	1.360403e-02
3             	5.836736e-02	-3.223035e-02	9.059771e-02	3.856893e-03	8.433489e-03	-4.576595e-03	6.505042e-03	-6.141403e-02	1.860876e-01	4.162383e-01	3.942067e-01	2.203159e-02
4             	6.857437e-02	-3.747582e-02	1.060502e-01	1.214686e-03	9.925192e-03	-8.710506e-03	9.317849e-03	-7.176301e-02	2.136355e-01	4.795553e-01	4.534131e-01	2.614214e-02
5             	6.434561e-02	-4.221910e-02	1.065647e-01	1.290660e-03	9.372387e-03	-8.081726e-03	8.727057e-03	-7.439190e-02	2.239188e-01	4.977454e-01	4.727915e-01	2.495394e-02
6             	4.887265e-02	-4.635043e-02	9.522308e-02	3.673904e-03	7.220457e-03	-3.546552e-03	5.383505e-03	-7.078676e-02	2.201949e-01	4.798181e-01	4.601039e-01	1.971421e-02
7             	2.863009e-02	-4.946209e-02	7.809218e-02	7.171703e-03	4.384759e-03	2.786944e-03	7.989074e-04	-6.377714e-02	2.080500e-01	4.416407e-01	4.288703e-01	1.277033e-02
8             	1.030260e-02	-5.094487e-02	6.124747e-02	1.101143e-02	1.812443e-03	9.198989e-03	-3.693273e-03	-5.609617e-02	1.933394e-01	3.995982e-01	3.931385e-01	6.459723e-03
9             	-1.307497e-03	-5.069378e-02	4.938629e-02	1.394398e-02	1.846824e-04	1.375929e-02	-6.787306e-03	-5.004004e-02	1.805529e-01	3.659408e-01	3.635233e-01	2.417496e-03
10            	-4.792755e-03	-4.901755e-02	4.422480e-02	1.559457e-02	-2.975544e-04	1.589212e-02	-8.094838e-03	-4.662117e-02	1.720569e-01	3.463499e-01	3.452318e-01	1.118075e-03
