# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.643156e-02	-1.069020e-01	1.333335e-01	-3.578875e-01	-2.201548e-01	-1.377326e-01	-4.121110e-02	-1.201177e-01	6.285409e-02	7.885295e-02	1.022806e-01	-2.342761e-02
2             	7.083479e-02	-2.006663e-01	2.715011e-01	-2.560969e-01	-1.727762e-01	-8.332069e-02	-4.472776e-02	-2.360837e-01	1.164347e-01	3.559198e-01	2.943946e-01	6.152520e-02
3             	1.157856e-01	-2.844526e-01	4.002383e-01	-1.511572e-01	-1.309233e-01	-2.023390e-02	-5.534472e-02	-3.423454e-01	1.652471e-01	6.150310e-01	4.727626e-01	1.422683e-01
4             	1.407304e-01	-3.391488e-01	4.798791e-01	-6.536013e-02	-1.056313e-01	4.027114e-02	-7.295120e-02	-4.095140e-01	1.971744e-01	7.845947e-01	5.894718e-01	1.951229e-01
5             	1.368027e-01	-3.602396e-01	4.970423e-01	-6.796635e-03	-9.883677e-02	9.204013e-02	-9.543845e-02	-4.286409e-01	2.087009e-01	8.410658e-01	6.292338e-01	2.118320e-01
6             	1.084234e-01	-3.534274e-01	4.618508e-01	2.907325e-02	-1.060940e-01	1.351673e-01	-1.206306e-01	-4.076391e-01	2.031985e-01	8.019814e-01	6.041892e-01	1.977923e-01
7             	6.832863e-02	-3.298652e-01	3.981938e-01	4.838181e-02	-1.207713e-01	1.691531e-01	-1.449622e-01	-3.640295e-01	1.876548e-01	7.077274e-01	5.415185e-01	1.662089e-01
8             	3.127129e-02	-3.007729e-01	3.320442e-01	6.529209e-02	-1.361891e-01	2.014812e-01	-1.688351e-01	-3.164086e-01	1.697909e-01	6.035439e-01	4.715628e-01	1.319810e-01
9             	8.677644e-03	-2.750232e-01	2.837009e-01	8.470345e-02	-1.463787e-01	2.310821e-01	-1.887304e-01	-2.793620e-01	1.555419e-01	5.240366e-01	4.175602e-01	1.064764e-01
10            	5.556111e-03	-2.575769e-01	2.631330e-01	1.045871e-01	-1.481732e-01	2.527603e-01	-2.004667e-01	-2.603550e-01	1.479353e-01	4.861136e-01	3.909921e-01	9.512150e-02
11            	1.901768e-02	-2.492669e-01	2.682845e-01	1.259462e-01	-1.421504e-01	2.680966e-01	-2.051235e-01	-2.587757e-01	1.469389e-01	4.885992e-01	3.912385e-01	9.736066e-02
12            	4.173269e-02	-2.486284e-01	2.903611e-01	1.460920e-01	-1.310368e-01	2.771288e-01	-2.040828e-01	-2.694947e-01	1.505327e-01	5.190167e-01	4.100410e-01	1.089757e-01
13            	6.513987e-02	-2.524508e-01	3.175907e-01	1.658611e-01	-1.176082e-01	2.834693e-01	-2.005387e-01	-2.850207e-01	1.558576e-01	5.601435e-01	4.359293e-01	1.242142e-01
14            	8.254397e-02	-2.577916e-01	3.403356e-01	1.823016e-01	-1.046932e-01	2.869948e-01	-1.958440e-01	-2.990636e-01	1.603471e-01	5.966474e-01	4.586708e-01	1.379765e-01
15            	9.054121e-02	-2.624408e-01	3.529820e-01	1.950791e-01	-9.321896e-02	2.882980e-01	-1.907585e-01	-3.077114e-01	1.624731e-01	6.193617e-01	4.721539e-01	1.472078e-01
16            	8.934400e-02	-2.651164e-01	3.544604e-01	2.051164e-01	-8.359951e-02	2.887159e-01	-1.861577e-01	-3.097884e-01	1.618815e-01	6.258675e-01	4.748152e-01	1.510523e-01
17            	8.184563e-02	-2.656458e-01	3.474914e-01	2.127775e-01	-7.598442e-02	2.887619e-01	-1.823732e-01	-3.065686e-01	1.591739e-01	6.194896e-01	4.689187e-01	1.505709e-01
18            	7.207685e-02	-2.644290e-01	3.365059e-01	2.186291e-01	-7.003096e-02	2.886601e-01	-1.793455e-01	-3.004674e-01	1.554193e-01	6.062239e-01	4.585312e-01	1.476926e-01
19            	6.369026e-02	-2.621564e-01	3.258467e-01	2.230874e-01	-6.535939e-02	2.884468e-01	-1.769031e-01	-2.940016e-01	1.517124e-01	5.921984e-01	4.478116e-01	1.443868e-01
20            	5.905000e-02	-2.594841e-01	3.185341e-01	2.274200e-01	-6.106213e-02	2.884822e-01	-1.747721e-01	-2.890091e-01	1.488326e-01	5.820152e-01	4.398402e-01	1.421751e-01
21            	5.880739e-02	-2.568115e-01	3.156189e-01	2.328831e-01	-5.627736e-02	2.891605e-01	-1.727189e-01	-2.862152e-01	1.470761e-01	5.775257e-01	4.358389e-01	1.416868e-01
22            	6.221735e-02	-2.543330e-01	3.165503e-01	2.405302e-01	-5.044269e-02	2.909729e-01	-1.707078e-01	-2.854417e-01	1.463487e-01	5.783678e-01	4.355326e-01	1.428352e-01
23            	6.774719e-02	-2.520514e-01	3.197986e-01	2.508971e-01	-4.319324e-02	2.940903e-01	-1.686418e-01	-2.859250e-01	1.462959e-01	5.826625e-01	4.376271e-01	1.450353e-01
24            	7.375237e-02	-2.498768e-01	3.236291e-01	2.632574e-01	-3.486269e-02	2.981200e-01	-1.664914e-01	-2.867530e-01	1.464670e-01	5.879492e-01	4.404416e-01	1.475076e-01
25            	7.895306e-02	-2.477246e-01	3.266777e-01	2.766380e-01	-2.594994e-02	3.025879e-01	-1.642689e-01	-2.872012e-01	1.465028e-01	5.922551e-01	4.426303e-01	1.496247e-01
26            	8.266613e-02	-2.455312e-01	3.281974e-01	2.900129e-01	-1.714335e-02	3.071563e-01	-1.621498e-01	-2.868643e-01	1.462011e-01	5.944542e-01	4.434282e-01	1.510260e-01
27            	8.488573e-02	-2.432885e-01	3.281742e-01	3.023809e-01	-9.003068e-03	3.113840e-01	-1.601935e-01	-2.857313e-01	1.455351e-01	5.944023e-01	4.427363e-01	1.516661e-01
28            	8.609158e-02	-2.410283e-01	3.271199e-01	3.129557e-01	-2.022681e-03	3.149783e-01	-1.585005e-01	-2.840741e-01	1.446184e-01	5.927023e-01	4.409696e-01	1.517327e-01
29            	8.696284e-02	-2.387402e-01	3.257031e-01	3.215140e-01	3.818240e-03	3.176958e-01	-1.569388e-01	-2.822217e-01	1.436109e-01	5.901769e-01	4.386994e-01	1.514775e-01
