# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 1.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.539690e-01	1.075285e-01	1.464405e-01	-7.332528e-01	-6.632802e-01	-6.997262e-02	-2.966538e-01	-1.945602e-02	3.812051e-02	3.912983e-01	2.337697e-01	1.575286e-01
2             	4.665259e-01	4.350718e-01	3.145414e-02	-4.333107e-01	-5.809688e-01	1.476581e-01	-3.643135e-01	2.018088e-01	3.975702e-02	1.036542e+00	5.580283e-01	4.785142e-01
3             	6.742261e-01	7.412305e-01	-6.700441e-02	-1.524763e-01	-5.211912e-01	3.687148e-01	-4.449530e-01	4.041175e-01	3.857423e-02	1.626470e+00	8.518094e-01	7.746610e-01
4             	7.808072e-01	9.272082e-01	-1.464010e-01	5.156774e-02	-4.794982e-01	5.310659e-01	-5.052821e-01	5.368046e-01	4.569888e-02	2.006219e+00	1.048808e+00	9.574105e-01
5             	7.518452e-01	9.614319e-01	-2.095867e-01	1.645806e-01	-4.430936e-01	6.076742e-01	-5.253839e-01	5.855093e-01	6.401731e-02	2.130213e+00	1.129124e+00	1.001089e+00
6             	6.122976e-01	8.712218e-01	-2.589243e-01	2.023773e-01	-4.039421e-01	6.063194e-01	-5.051308e-01	5.650730e-01	8.966242e-02	2.040948e+00	1.110136e+00	9.308113e-01
7             	4.224322e-01	7.165606e-01	-2.941284e-01	1.962985e-01	-3.624353e-01	5.587339e-01	-4.605846e-01	5.053445e-01	1.149340e-01	1.829463e+00	1.029666e+00	7.997977e-01
8             	2.492935e-01	5.631443e-01	-3.138507e-01	1.791208e-01	-3.228972e-01	5.020180e-01	-4.124576e-01	4.384975e-01	1.325031e-01	1.594774e+00	9.298903e-01	6.648841e-01
9             	1.425574e-01	4.589906e-01	-3.164332e-01	1.685804e-01	-2.922541e-01	4.608345e-01	-3.765443e-01	3.877119e-01	1.381994e-01	1.411606e+00	8.440026e-01	5.676038e-01
10            	1.196944e-01	4.241224e-01	-3.044280e-01	1.747383e-01	-2.726306e-01	4.473689e-01	-3.599997e-01	3.642752e-01	1.319112e-01	1.316153e+00	7.899877e-01	5.261653e-01
