# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.730764e-02	-1.550027e-02	3.280791e-02	2.004693e-02	2.519878e-03	1.752705e-02	-7.503588e-03	-2.415409e-02	9.573143e-02	2.037608e-01	1.976118e-01	6.148972e-03
2             	4.442155e-02	-2.038342e-02	6.480497e-02	1.810926e-02	6.345536e-03	1.176372e-02	-2.709093e-03	-4.259419e-02	1.449406e-01	3.230086e-01	3.064449e-01	1.656366e-02
3             	6.911219e-02	-2.442026e-02	9.353245e-02	1.590720e-02	9.838440e-03	6.068760e-03	1.884840e-03	-5.897635e-02	1.877259e-01	4.275695e-01	4.015106e-01	2.605891e-02
4             	8.095380e-02	-2.834502e-02	1.092988e-01	1.519777e-02	1.153187e-02	3.665892e-03	3.932991e-03	-6.882192e-02	2.152566e-01	4.921061e-01	4.613096e-01	3.079645e-02
5             	7.757259e-02	-3.246331e-02	1.100359e-01	1.613014e-02	1.108849e-02	5.041645e-03	3.023424e-03	-7.124960e-02	2.255865e-01	5.111957e-01	4.811843e-01	3.001141e-02
6             	6.242705e-02	-3.653897e-02	9.896602e-02	1.832653e-02	8.990209e-03	9.336319e-03	-1.730550e-04	-6.775250e-02	2.218651e-01	4.937836e-01	4.687569e-01	2.502668e-02
7             	4.218556e-02	-3.989917e-02	8.208472e-02	2.098782e-02	6.170756e-03	1.481707e-02	-4.323155e-03	-6.099195e-02	2.094809e-01	4.553915e-01	4.371767e-01	1.821482e-02
8             	2.343658e-02	-4.196736e-02	6.540395e-02	2.318341e-02	3.555561e-03	1.962785e-02	-8.036144e-03	-5.368566e-02	1.939299e-01	4.116037e-01	3.997317e-01	1.187199e-02
9             	1.106608e-02	-4.241561e-02	5.348169e-02	2.417173e-02	1.833707e-03	2.233802e-02	-1.025216e-02	-4.794865e-02	1.797451e-01	3.747683e-01	3.671293e-01	7.639060e-03
10            	6.701117e-03	-4.147570e-02	4.817682e-02	2.364073e-02	1.234116e-03	2.240661e-02	-1.058625e-02	-4.482626e-02	1.696003e-01	3.512744e-01	3.452375e-01	6.036872e-03
11            	9.304307e-03	-3.950039e-02	4.880470e-02	2.225671e-02	1.610704e-03	2.064601e-02	-9.517652e-03	-4.415254e-02	1.641576e-01	3.417596e-01	3.350374e-01	6.722184e-03
