# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	6.675944e-02	-5.488309e-02	1.216425e-01	-3.891269e-01	-1.657729e-01	-2.233539e-01	2.879049e-02	-8.826281e-02	5.550422e-02	-3.135247e-02	3.982799e-02	-7.118046e-02
2             	1.645322e-01	-1.022957e-01	2.668279e-01	-2.300824e-01	-7.801004e-02	-1.520724e-01	3.703117e-02	-1.845618e-01	8.259232e-02	2.261909e-01	1.956878e-01	3.050312e-02
3             	2.599655e-01	-1.429720e-01	4.029375e-01	-7.727358e-02	-3.471616e-03	-7.380196e-02	3.516517e-02	-2.729548e-01	1.055990e-01	4.689147e-01	3.400563e-01	1.288584e-01
4             	3.129731e-01	-1.730414e-01	4.860145e-01	3.851457e-02	3.746329e-02	1.051282e-03	1.820600e-02	-3.295279e-01	1.212327e-01	6.308516e-01	4.366586e-01	1.941931e-01
5             	3.095690e-01	-1.920291e-01	5.015981e-01	1.074355e-01	4.294720e-02	6.448831e-02	-1.077055e-02	-3.468136e-01	1.287800e-01	6.889524e-01	4.732562e-01	2.156962e-01
6             	2.602642e-01	-2.006245e-01	4.608887e-01	1.353600e-01	2.317794e-02	1.121821e-01	-4.450208e-02	-3.307566e-01	1.292208e-01	6.569003e-01	4.576710e-01	1.992293e-01
7             	1.891386e-01	-2.004518e-01	3.895904e-01	1.389432e-01	-6.779620e-03	1.457229e-01	-7.625124e-02	-2.950211e-01	1.245693e-01	5.709391e-01	4.100389e-01	1.609003e-01
8             	1.230700e-01	-1.935023e-01	3.165723e-01	1.355011e-01	-3.270751e-02	1.682086e-01	-1.004580e-01	-2.550373e-01	1.172914e-01	4.731025e-01	3.538427e-01	1.192598e-01
9             	8.203845e-02	-1.819500e-01	2.639884e-01	1.334049e-01	-4.617028e-02	1.795752e-01	-1.128727e-01	-2.229692e-01	1.094526e-01	3.959488e-01	3.074270e-01	8.852185e-02
10            	7.307948e-02	-1.683519e-01	2.414314e-01	1.375740e-01	-4.471762e-02	1.822916e-01	-1.135046e-01	-2.048916e-01	1.024440e-01	3.559639e-01	2.804259e-01	7.553800e-02
11            	9.188156e-02	-1.549691e-01	2.468507e-01	1.489985e-01	-3.130653e-02	1.803050e-01	-1.058058e-01	-2.009099e-01	9.701828e-02	3.535184e-01	2.737775e-01	7.974092e-02
12            	1.268067e-01	-1.436940e-01	2.705007e-01	1.658723e-01	-1.145235e-02	1.773246e-01	-9.438848e-02	-2.070973e-01	9.324969e-02	3.778799e-01	2.821896e-01	9.569023e-02
13            	1.647806e-01	-1.355616e-01	3.003422e-01	1.838439e-01	9.766405e-03	1.740775e-01	-8.215556e-02	-2.179519e-01	9.077667e-02	4.134720e-01	2.975127e-01	1.159593e-01
14            	1.955475e-01	-1.305960e-01	3.261435e-01	2.000841e-01	2.942425e-02	1.706599e-01	-7.061781e-02	-2.283698e-01	8.904145e-02	4.461999e-01	3.121414e-01	1.340585e-01
15            	2.135823e-01	-1.284550e-01	3.420373e-01	2.113885e-01	4.542073e-02	1.659677e-01	-6.027350e-02	-2.352462e-01	8.760602e-02	4.672625e-01	3.212373e-01	1.460252e-01
16            	2.186085e-01	-1.281618e-01	3.467703e-01	2.174400e-01	5.766190e-02	1.597781e-01	-5.105811e-02	-2.374661e-01	8.614508e-02	4.739659e-01	3.231281e-01	1.508379e-01
17            	2.142783e-01	-1.286168e-01	3.428952e-01	2.187530e-01	6.672698e-02	1.520260e-01	-4.264950e-02	-2.357560e-01	8.447844e-02	4.688663e-01	3.189116e-01	1.499547e-01
18            	2.059171e-01	-1.287651e-01	3.346822e-01	2.174571e-01	7.371955e-02	1.437375e-01	-3.500898e-02	-2.317237e-01	8.257326e-02	4.572990e-01	3.112227e-01	1.460762e-01
