# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.677165e-01	-6.824639e-04	1.683990e-01	-3.494085e-01	-3.573896e-01	7.981118e-03	-1.826854e-01	-8.454073e-02	-2.155270e-02	4.009202e-02	-1.506688e-03	4.159870e-02
2             	2.264094e-01	3.371232e-02	1.926971e-01	-2.084322e-01	-2.571506e-01	4.871844e-02	-1.529345e-01	-7.949237e-02	-2.209464e-02	1.874598e-01	7.163525e-02	1.158245e-01
3             	2.846396e-01	6.846446e-02	2.161751e-01	-7.478032e-02	-1.646513e-01	8.987099e-02	-1.272611e-01	-7.385534e-02	-2.355513e-02	3.219127e-01	1.374012e-01	1.845115e-01
4             	3.114243e-01	8.762169e-02	2.238026e-01	2.023928e-02	-1.052801e-01	1.255193e-01	-1.153997e-01	-6.809047e-02	-2.158463e-02	4.079188e-01	1.823748e-01	2.255440e-01
5             	2.941274e-01	8.481661e-02	2.093108e-01	6.795571e-02	-8.575443e-02	1.537101e-01	-1.197323e-01	-6.224708e-02	-1.427560e-02	4.352642e-01	2.033565e-01	2.319077e-01
6             	2.403157e-01	6.381857e-02	1.764971e-01	7.659539e-02	-9.767775e-02	1.742731e-01	-1.359754e-01	-5.633926e-02	-2.703396e-03	4.143237e-01	2.044584e-01	2.098652e-01
7             	1.713231e-01	3.461061e-02	1.367125e-01	6.071171e-02	-1.270866e-01	1.877983e-01	-1.574424e-01	-5.105095e-02	1.001020e-02	3.669061e-01	1.934632e-01	1.734428e-01
8             	1.112455e-01	8.746524e-03	1.024990e-01	3.696227e-02	-1.588175e-01	1.957797e-01	-1.772986e-01	-4.687623e-02	2.039042e-02	3.164945e-01	1.786377e-01	1.378568e-01
9             	7.725783e-02	-5.352487e-03	8.261032e-02	1.847584e-02	-1.808750e-01	1.993508e-01	-1.901129e-01	-4.398140e-02	2.608650e-02	2.798901e-01	1.660315e-01	1.138586e-01
10            	7.551159e-02	-4.725501e-03	8.023710e-02	1.147783e-02	-1.870458e-01	1.985236e-01	-1.927847e-01	-4.248130e-02	2.650009e-02	2.646335e-01	1.588169e-01	1.058167e-01
11            	1.009519e-01	8.434664e-03	9.251721e-02	1.647515e-02	-1.784063e-01	1.948815e-01	-1.866439e-01	-4.204128e-02	2.264970e-02	2.692151e-01	1.572573e-01	1.119578e-01
12            	1.410708e-01	2.839412e-02	1.126767e-01	3.041121e-02	-1.592816e-01	1.896928e-01	-1.744872e-01	-4.214130e-02	1.655007e-02	2.866335e-01	1.598668e-01	1.267667e-01
13            	1.819050e-01	4.904898e-02	1.328560e-01	4.999076e-02	-1.346431e-01	1.846339e-01	-1.596385e-01	-4.190352e-02	1.032033e-02	3.079787e-01	1.643097e-01	1.436690e-01
14            	2.121140e-01	6.456570e-02	1.475483e-01	6.853416e-02	-1.111154e-01	1.796495e-01	-1.453824e-01	-4.149130e-02	5.655611e-03	3.257382e-01	1.685247e-01	1.572135e-01
15            	2.262927e-01	7.290833e-02	1.533844e-01	8.519047e-02	-9.023700e-02	1.754275e-01	-1.328322e-01	-4.023803e-02	3.361677e-03	3.357922e-01	1.712578e-01	1.645344e-01
16            	2.247314e-01	7.401575e-02	1.507157e-01	9.808728e-02	-7.383354e-02	1.719208e-01	-1.228772e-01	-3.834996e-02	3.427893e-03	3.376121e-01	1.722339e-01	1.653782e-01
17            	2.122675e-01	6.993681e-02	1.423307e-01	1.068544e-01	-6.190498e-02	1.687594e-01	-1.153322e-01	-3.619692e-02	5.141405e-03	3.333938e-01	1.718383e-01	1.615555e-01
18            	1.956871e-01	6.372011e-02	1.319670e-01	1.123474e-01	-5.332801e-02	1.656754e-01	-1.095017e-01	-3.412346e-02	7.474857e-03	3.264611e-01	1.707054e-01	1.557557e-01
19            	1.812044e-01	5.828820e-02	1.229162e-01	1.161233e-01	-4.632619e-02	1.624495e-01	-1.043878e-01	-3.231399e-02	9.491595e-03	3.199609e-01	1.694721e-01	1.504889e-01
