# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 1.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.615764e-01	1.507740e-01	1.108024e-01	-6.103399e-01	-6.518952e-01	4.155533e-02	-3.467253e-01	1.998577e-02	3.695375e-02	4.919214e-01	2.829144e-01	2.090070e-01
2             	4.223068e-01	4.418157e-01	-1.950890e-02	-3.947340e-01	-6.038811e-01	2.091471e-01	-4.065141e-01	2.306623e-01	5.886880e-02	1.177312e+00	6.475250e-01	5.297874e-01
3             	5.799725e-01	7.145883e-01	-1.346158e-01	-1.862171e-01	-5.712215e-01	3.850044e-01	-4.781130e-01	4.246021e-01	7.816668e-02	1.807275e+00	9.818041e-01	8.254708e-01
4             	6.571683e-01	8.806138e-01	-2.234455e-01	-2.754224e-02	-5.436621e-01	5.161199e-01	-5.298910e-01	5.520297e-01	9.798370e-02	2.212318e+00	1.204143e+00	1.008175e+00
5             	6.267329e-01	9.115777e-01	-2.848448e-01	6.810798e-02	-5.143455e-01	5.824535e-01	-5.483995e-01	5.982113e-01	1.180284e-01	2.342045e+00	1.289051e+00	1.052994e+00
6             	5.084035e-01	8.324371e-01	-3.240337e-01	1.154780e-01	-4.752523e-01	5.907303e-01	-5.329913e-01	5.782354e-01	1.360781e-01	2.243030e+00	1.257593e+00	9.854368e-01
7             	3.507997e-01	6.959245e-01	-3.451248e-01	1.326791e-01	-4.323292e-01	5.650083e-01	-4.986687e-01	5.205247e-01	1.489273e-01	2.013854e+00	1.155854e+00	8.579997e-01
8             	2.081226e-01	5.602036e-01	-3.520810e-01	1.417093e-01	-3.907553e-01	5.324646e-01	-4.616100e-01	4.561423e-01	1.542768e-01	1.761662e+00	1.035108e+00	7.265542e-01
9             	1.198534e-01	4.682650e-01	-3.484116e-01	1.570038e-01	-3.558421e-01	5.128460e-01	-4.343441e-01	4.083383e-01	1.519756e-01	1.567305e+00	9.356281e-01	6.316769e-01
10            	1.008794e-01	4.377370e-01	-3.368576e-01	1.813860e-01	-3.338509e-01	5.152369e-01	-4.245439e-01	3.872973e-01	1.437848e-01	1.469315e+00	8.784425e-01	5.908729e-01
11            	1.416629e-01	4.638449e-01	-3.221820e-01	2.185984e-01	-3.206385e-01	5.392369e-01	-4.299377e-01	3.930134e-01	1.318735e-01	1.466072e+00	8.649095e-01	6.011625e-01
12            	2.168691e-01	5.249977e-01	-3.081286e-01	2.612255e-01	-3.158437e-01	5.770692e-01	-4.464565e-01	4.165632e-01	1.191263e-01	1.528785e+00	8.835187e-01	6.452662e-01
13            	2.973254e-01	5.962358e-01	-2.989104e-01	3.064819e-01	-3.107170e-01	6.171990e-01	-4.639580e-01	4.475731e-01	1.074031e-01	1.618946e+00	9.168762e-01	7.020700e-01
14            	3.603498e-01	6.564906e-01	-2.961408e-01	3.489310e-01	-2.998851e-01	6.488160e-01	-4.743505e-01	4.763157e-01	9.726940e-02	1.702379e+00	9.484590e-01	7.539202e-01
15            	3.941361e-01	6.938848e-01	-2.997487e-01	3.860292e-01	-2.805260e-01	6.665552e-01	-4.735406e-01	4.968167e-01	8.881903e-02	1.757525e+00	9.675817e-01	7.899436e-01
16            	3.982848e-01	7.061503e-01	-3.078655e-01	4.157752e-01	-2.537129e-01	6.694880e-01	-4.616004e-01	5.070079e-01	8.195917e-02	1.777696e+00	9.708070e-01	8.068886e-01
