# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-5.472610e-03	-3.519985e-02	2.972724e-02	-1.681000e-02	-1.751730e-02	7.073019e-04	-9.112302e-03	-3.246355e-02	-8.817953e-02	1.716438e-01	-2.357636e-03	1.740014e-01
2             	9.568474e-03	-4.690499e-02	5.647347e-02	-2.244544e-02	-2.100829e-02	-1.437146e-03	-9.785574e-03	-5.168923e-02	-1.564991e-01	2.937957e-01	-9.601251e-03	3.033970e-01
3             	2.460035e-02	-5.667063e-02	8.127098e-02	-2.808489e-02	-2.449756e-02	-3.587336e-03	-1.045511e-02	-6.897081e-02	-2.171091e-01	4.011490e-01	-1.653455e-02	4.176836e-01
4             	3.078524e-02	-6.401773e-02	9.480296e-02	-3.131940e-02	-2.682994e-02	-4.489467e-03	-1.117023e-02	-7.941035e-02	-2.523565e-01	4.651845e-01	-1.976419e-02	4.849487e-01
5             	2.546310e-02	-6.944118e-02	9.490428e-02	-3.221732e-02	-2.845465e-02	-3.762673e-03	-1.234599e-02	-8.217273e-02	-2.587877e-01	4.806389e-01	-1.846827e-02	4.991072e-01
6             	1.117354e-02	-7.312043e-02	8.429397e-02	-3.085857e-02	-2.909497e-02	-1.763593e-03	-1.366569e-02	-7.870720e-02	-2.429134e-01	4.583817e-01	-1.372255e-02	4.721042e-01
7             	-6.715383e-03	-7.519044e-02	6.847506e-02	-2.809455e-02	-2.884402e-02	7.494730e-04	-1.479675e-02	-7.183275e-02	-2.159004e-01	4.167260e-01	-7.537406e-03	4.242634e-01
8             	-2.251195e-02	-7.553479e-02	5.302284e-02	-2.442060e-02	-2.738906e-02	2.968467e-03	-1.517877e-02	-6.427882e-02	-1.888466e-01	3.738705e-01	-1.911383e-03	3.757819e-01
9             	-3.241780e-02	-7.421038e-02	4.179258e-02	-2.018376e-02	-2.453736e-02	4.353604e-03	-1.444548e-02	-5.800148e-02	-1.694424e-01	3.425640e-01	1.839603e-03	3.407244e-01
10            	-3.492824e-02	-7.159314e-02	3.666490e-02	-1.627174e-02	-2.096516e-02	4.693427e-03	-1.282930e-02	-5.412902e-02	-1.608054e-01	3.279428e-01	3.165982e-03	3.247768e-01
11            	-3.133359e-02	-6.815673e-02	3.682314e-02	-1.233639e-02	-1.650631e-02	4.169922e-03	-1.033812e-02	-5.248993e-02	-1.622088e-01	3.293070e-01	2.444702e-03	3.268623e-01
12            	-2.395872e-02	-6.461743e-02	4.065871e-02	-9.022897e-03	-1.213870e-02	3.115801e-03	-7.627249e-03	-5.263807e-02	-1.702749e-01	3.412806e-01	3.653750e-04	3.409152e-01
13            	-1.587690e-02	-6.149302e-02	4.561611e-02	-5.746768e-03	-7.712375e-03	1.965607e-03	-4.838991e-03	-5.355456e-02	-1.810928e-01	3.579907e-01	-2.097488e-03	3.600882e-01
14            	-9.140081e-03	-5.905642e-02	4.991634e-02	-2.484201e-03	-3.492474e-03	1.008272e-03	-2.250373e-03	-5.448638e-02	-1.914394e-01	3.742926e-01	-4.293083e-03	3.785857e-01
15            	-4.845848e-03	-5.738639e-02	5.254055e-02	7.240191e-04	3.261111e-04	3.979080e-04	-3.589844e-05	-5.496347e-02	-1.993075e-01	3.869144e-01	-5.850291e-03	3.927647e-01
16            	-3.159935e-03	-5.637583e-02	5.321590e-02	3.805713e-03	3.647443e-03	1.582705e-04	1.744586e-03	-5.479587e-02	-2.038777e-01	3.944040e-01	-6.675665e-03	4.010797e-01
17            	-3.501406e-03	-5.578222e-02	5.228081e-02	6.725586e-03	6.518768e-03	2.068179e-04	3.155975e-03	-5.403151e-02	-2.054656e-01	3.971435e-01	-6.893879e-03	4.040374e-01
18            	-4.868766e-03	-5.532693e-02	5.045816e-02	9.368231e-03	8.967393e-03	4.008380e-04	4.283277e-03	-5.289255e-02	-2.049933e-01	3.964567e-01	-6.764906e-03	4.032216e-01
19            	-6.384253e-03	-5.475801e-02	4.837375e-02	1.182418e-02	1.120837e-02	6.158133e-04	5.296277e-03	-5.156588e-02	-2.034638e-01	3.938905e-01	-6.518542e-03	4.004091e-01
20            	-7.354740e-03	-5.394708e-02	4.659234e-02	1.404272e-02	1.328984e-02	7.528773e-04	6.268482e-03	-5.026971e-02	-2.017759e-01	3.908554e-01	-6.348220e-03	3.972037e-01
