# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	DILUPBiCGStab	7.792630e-02	3.300330e-04	2	1.169670e-01	4.061290e-04	2	3.231940e-01	2.416750e-03	2	false	DILUPBiCGStab	1.000000e+00	3.197410e-03	2	true	DILUPBiCGStab	4.279710e-03	1.373290e-05	2	true	GAMGPCG	2.136080e-01	4.277970e-04	4	true
2             	DILUPBiCGStab	6.005390e-02	1.200810e-04	3	5.524290e-02	3.814280e-04	3	2.036490e-01	6.644580e-04	2	false	DILUPBiCGStab	1.269910e-01	3.895360e-04	2	true	DILUPBiCGStab	2.013880e-03	9.738650e-06	2	true	GAMGPCG	2.589790e-01	7.065150e-04	4	true
3             	DILUPBiCGStab	5.329000e-02	2.239150e-04	2	3.104040e-02	1.378630e-04	3	1.330300e-01	5.612570e-04	2	false	DILUPBiCGStab	5.127590e-02	1.458040e-04	2	true	DILUPBiCGStab	2.198970e-03	7.948250e-06	2	true	GAMGPCG	2.499500e-01	6.857830e-04	4	true
4             	DILUPBiCGStab	5.089700e-02	2.093740e-04	2	2.309870e-02	2.139250e-04	2	9.294490e-02	4.227760e-04	2	false	DILUPBiCGStab	2.968610e-02	2.873630e-04	2	true	DILUPBiCGStab	2.353310e-03	7.220650e-06	2	true	GAMGPCG	1.844430e-01	4.317610e-04	4	true
5             	DILUPBiCGStab	4.814210e-02	2.235650e-04	2	2.338180e-02	4.781030e-05	3	7.353130e-02	3.202600e-04	2	false	DILUPBiCGStab	2.007150e-02	1.970170e-04	2	true	DILUPBiCGStab	2.403300e-03	6.652980e-06	2	true	GAMGPCG	1.552880e-01	1.155070e-03	3	true
6             	DILUPBiCGStab	4.232240e-02	2.045160e-04	2	2.153380e-02	1.258930e-04	2	6.291360e-02	3.051900e-04	2	false	DILUPBiCGStab	1.500070e-02	1.351820e-04	2	true	DILUPBiCGStab	2.492900e-03	6.233780e-06	2	true	GAMGPCG	1.532440e-01	1.217450e-03	3	true
7             	DILUPBiCGStab	3.443360e-02	1.606800e-04	2	1.771810e-02	8.678290e-05	2	5.272270e-02	2.632920e-04	2	false	DILUPBiCGStab	1.185730e-02	9.759780e-05	2	true	DILUPBiCGStab	2.477790e-03	5.837340e-06	2	true	GAMGPCG	1.604080e-01	1.595630e-03	3	true
8             	DILUPBiCGStab	2.880650e-02	1.314840e-04	2	1.406070e-02	6.146920e-05	3	4.322070e-02	2.041920e-04	2	false	DILUPBiCGStab	9.876670e-03	7.992630e-05	2	true	DILUPBiCGStab	2.395870e-03	2.310600e-05	2	true	GAMGPCG	1.696030e-01	4.182720e-04	4	true
9             	DILUPBiCGStab	2.763390e-02	1.246310e-04	2	1.251790e-02	6.163380e-05	2	3.538050e-02	1.519820e-04	2	false	DILUPBiCGStab	8.493890e-03	6.964750e-05	2	true	DILUPBiCGStab	2.231780e-03	2.130460e-05	2	true	GAMGPCG	1.784710e-01	1.587290e-03	3	true
10            	DILUPBiCGStab	2.774630e-02	1.242310e-04	2	1.315830e-02	1.094500e-04	2	3.028190e-02	1.326780e-04	2	false	DILUPBiCGStab	7.650400e-03	6.356750e-05	2	true	DILUPBiCGStab	2.051530e-03	2.032570e-05	2	true	GAMGPCG	1.878180e-01	1.347740e-03	3	true
