# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1801          	5.050568e-01	-7.488640e-02	5.799432e-01	-1.754295e-02	-5.206965e-02	3.452669e-02	-4.329817e-02	-3.274148e-01	-1.368120e-01	1.222123e+00	4.742494e-01	7.478733e-01
1802          	5.044200e-01	-7.520065e-02	5.796207e-01	-1.758050e-02	-5.249499e-02	3.491449e-02	-4.370474e-02	-3.274107e-01	-1.368555e-01	1.222229e+00	4.742590e-01	7.479699e-01
1803          	5.037938e-01	-7.551792e-02	5.793117e-01	-1.762971e-02	-5.294414e-02	3.531443e-02	-4.412928e-02	-3.274148e-01	-1.369051e-01	1.222328e+00	4.742590e-01	7.480693e-01
1804          	5.031768e-01	-7.583520e-02	5.790120e-01	-1.768002e-02	-5.340499e-02	3.572497e-02	-4.456498e-02	-3.274236e-01	-1.369630e-01	1.222417e+00	4.742457e-01	7.481718e-01
1805          	5.025778e-01	-7.616722e-02	5.787451e-01	-1.779745e-02	-5.391954e-02	3.612209e-02	-4.502081e-02	-3.274561e-01	-1.370293e-01	1.222530e+00	4.742356e-01	7.482941e-01
1806          	5.019958e-01	-7.651018e-02	5.785060e-01	-1.800243e-02	-5.448598e-02	3.648355e-02	-4.548477e-02	-3.275081e-01	-1.371087e-01	1.222643e+00	4.742128e-01	7.484302e-01
1807          	5.014352e-01	-7.686677e-02	5.783019e-01	-1.831525e-02	-5.512028e-02	3.680503e-02	-4.596266e-02	-3.275844e-01	-1.372038e-01	1.222758e+00	4.741752e-01	7.485829e-01
1808          	5.008931e-01	-7.722341e-02	5.781165e-01	-1.870286e-02	-5.578499e-02	3.708214e-02	-4.643357e-02	-3.276700e-01	-1.373230e-01	1.222841e+00	4.740974e-01	7.487434e-01
1809          	5.003592e-01	-7.758054e-02	5.779397e-01	-1.914035e-02	-5.647808e-02	3.733773e-02	-4.690790e-02	-3.277601e-01	-1.374606e-01	1.222890e+00	4.739843e-01	7.489056e-01
1810          	4.998251e-01	-7.793038e-02	5.777555e-01	-1.960621e-02	-5.717513e-02	3.756892e-02	-4.737203e-02	-3.278430e-01	-1.376201e-01	1.222871e+00	4.738154e-01	7.490555e-01
1811          	4.992896e-01	-7.827482e-02	5.775644e-01	-2.008086e-02	-5.786446e-02	3.778359e-02	-4.782402e-02	-3.279196e-01	-1.377917e-01	1.222811e+00	4.736135e-01	7.491970e-01
1812          	4.987570e-01	-7.861049e-02	5.773675e-01	-2.057978e-02	-5.853150e-02	3.795172e-02	-4.824161e-02	-3.279890e-01	-1.379738e-01	1.222696e+00	4.733743e-01	7.493220e-01
1813          	4.982208e-01	-7.894770e-02	5.771685e-01	-2.110274e-02	-5.917367e-02	3.807093e-02	-4.862230e-02	-3.280581e-01	-1.381585e-01	1.222551e+00	4.731169e-01	7.494339e-01
1814          	4.976811e-01	-7.926546e-02	5.769466e-01	-2.157730e-02	-5.975153e-02	3.817423e-02	-4.896288e-02	-3.281060e-01	-1.383502e-01	1.222353e+00	4.728264e-01	7.495269e-01
1815          	4.971239e-01	-7.956957e-02	5.766935e-01	-2.198637e-02	-6.026800e-02	3.828163e-02	-4.927481e-02	-3.281315e-01	-1.385380e-01	1.222107e+00	4.725154e-01	7.495913e-01
1816          	4.965531e-01	-7.984466e-02	5.763978e-01	-2.226684e-02	-6.070157e-02	3.843473e-02	-4.956815e-02	-3.281212e-01	-1.387127e-01	1.221810e+00	4.721924e-01	7.496178e-01
1817          	4.959692e-01	-8.009597e-02	5.760652e-01	-2.241682e-02	-6.105274e-02	3.863592e-02	-4.984433e-02	-3.280806e-01	-1.388758e-01	1.221484e+00	4.718661e-01	7.496176e-01
1818          	4.953706e-01	-8.032297e-02	5.756936e-01	-2.242150e-02	-6.132864e-02	3.890715e-02	-5.011790e-02	-3.280083e-01	-1.390176e-01	1.221134e+00	4.715495e-01	7.495846e-01
1819          	4.947455e-01	-8.053707e-02	5.752825e-01	-2.229736e-02	-6.155083e-02	3.925348e-02	-5.040215e-02	-3.279098e-01	-1.391321e-01	1.220769e+00	4.712523e-01	7.495164e-01
1820          	4.941022e-01	-8.074024e-02	5.748425e-01	-2.208652e-02	-6.174648e-02	3.965996e-02	-5.070322e-02	-3.277914e-01	-1.392152e-01	1.220390e+00	4.709796e-01	7.494101e-01
1821          	4.934429e-01	-8.093188e-02	5.743748e-01	-2.172965e-02	-6.187650e-02	4.014684e-02	-5.101167e-02	-3.276533e-01	-1.392645e-01	1.220031e+00	4.707509e-01	7.492800e-01
1822          	4.927725e-01	-8.112617e-02	5.738986e-01	-2.130605e-02	-6.197641e-02	4.067037e-02	-5.132339e-02	-3.275124e-01	-1.392716e-01	1.219708e+00	4.705823e-01	7.491256e-01
1823          	4.920706e-01	-8.133637e-02	5.734070e-01	-2.081989e-02	-6.206228e-02	4.124239e-02	-5.165233e-02	-3.273717e-01	-1.392264e-01	1.219428e+00	4.704874e-01	7.489401e-01
1824          	4.913365e-01	-8.157475e-02	5.729113e-01	-2.031670e-02	-6.215881e-02	4.184211e-02	-5.200046e-02	-3.272430e-01	-1.391210e-01	1.219209e+00	4.704836e-01	7.487256e-01
