# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (1.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1801          	5.050568e-01	-7.488640e-02	5.799432e-01	-1.754295e-02	-6.153186e-02	4.398891e-02	-5.276039e-02	-3.274148e-01	-7.959936e-01	1.222123e+00	-1.849322e-01	1.407055e+00
1802          	5.044200e-01	-7.520065e-02	5.796207e-01	-1.758050e-02	-6.197746e-02	4.439696e-02	-5.318721e-02	-3.274107e-01	-7.960944e-01	1.222229e+00	-1.849799e-01	1.407209e+00
1803          	5.037938e-01	-7.551792e-02	5.793117e-01	-1.762971e-02	-6.245315e-02	4.482344e-02	-5.363830e-02	-3.274148e-01	-7.961976e-01	1.222328e+00	-1.850335e-01	1.407362e+00
1804          	5.031768e-01	-7.583520e-02	5.790120e-01	-1.768002e-02	-6.294114e-02	4.526112e-02	-5.410113e-02	-3.274236e-01	-7.963036e-01	1.222417e+00	-1.850949e-01	1.407512e+00
1805          	5.025778e-01	-7.616722e-02	5.787451e-01	-1.779745e-02	-6.351903e-02	4.572158e-02	-5.462030e-02	-3.274561e-01	-7.964304e-01	1.222530e+00	-1.851656e-01	1.407695e+00
1806          	5.019958e-01	-7.651018e-02	5.785060e-01	-1.800243e-02	-6.419603e-02	4.619360e-02	-5.519482e-02	-3.275081e-01	-7.965710e-01	1.222643e+00	-1.852495e-01	1.407893e+00
1807          	5.014352e-01	-7.686677e-02	5.783019e-01	-1.831525e-02	-6.499905e-02	4.668381e-02	-5.584143e-02	-3.275844e-01	-7.967281e-01	1.222758e+00	-1.853491e-01	1.408107e+00
1808          	5.008931e-01	-7.722341e-02	5.781165e-01	-1.870286e-02	-6.587283e-02	4.716998e-02	-5.652141e-02	-3.276700e-01	-7.968920e-01	1.222841e+00	-1.854715e-01	1.408312e+00
1809          	5.003592e-01	-7.758054e-02	5.779397e-01	-1.914035e-02	-6.680189e-02	4.766154e-02	-5.723172e-02	-3.277601e-01	-7.970561e-01	1.222890e+00	-1.856111e-01	1.408501e+00
1810          	4.998251e-01	-7.793038e-02	5.777555e-01	-1.960621e-02	-6.775022e-02	4.814401e-02	-5.794711e-02	-3.278430e-01	-7.972053e-01	1.222871e+00	-1.857698e-01	1.408641e+00
1811          	4.992896e-01	-7.827482e-02	5.775644e-01	-2.008086e-02	-6.869556e-02	4.861469e-02	-5.865513e-02	-3.279196e-01	-7.973443e-01	1.222811e+00	-1.859390e-01	1.408750e+00
1812          	4.987570e-01	-7.861049e-02	5.773675e-01	-2.057978e-02	-6.963170e-02	4.905192e-02	-5.934181e-02	-3.279890e-01	-7.974648e-01	1.222696e+00	-1.861167e-01	1.408813e+00
1813          	4.982208e-01	-7.894770e-02	5.771685e-01	-2.110274e-02	-7.055595e-02	4.945321e-02	-6.000458e-02	-3.280581e-01	-7.975710e-01	1.222551e+00	-1.862956e-01	1.408846e+00
1814          	4.976811e-01	-7.926546e-02	5.769466e-01	-2.157730e-02	-7.138977e-02	4.981247e-02	-6.060112e-02	-3.281060e-01	-7.976562e-01	1.222353e+00	-1.864796e-01	1.408833e+00
1815          	4.971239e-01	-7.956957e-02	5.766935e-01	-2.198637e-02	-7.212689e-02	5.014051e-02	-6.113370e-02	-3.281315e-01	-7.977109e-01	1.222107e+00	-1.866576e-01	1.408764e+00
1816          	4.965531e-01	-7.984466e-02	5.763978e-01	-2.226684e-02	-7.271173e-02	5.044489e-02	-6.157831e-02	-3.281212e-01	-7.977258e-01	1.221810e+00	-1.868207e-01	1.408631e+00
1817          	4.959692e-01	-8.009597e-02	5.760652e-01	-2.241682e-02	-7.314380e-02	5.072698e-02	-6.193539e-02	-3.280806e-01	-7.977127e-01	1.221484e+00	-1.869709e-01	1.408455e+00
1818          	4.953706e-01	-8.032297e-02	5.756936e-01	-2.242150e-02	-7.342222e-02	5.100073e-02	-6.221148e-02	-3.280083e-01	-7.976659e-01	1.221134e+00	-1.870989e-01	1.408233e+00
1819          	4.947455e-01	-8.053707e-02	5.752825e-01	-2.229736e-02	-7.357745e-02	5.128010e-02	-6.242877e-02	-3.279098e-01	-7.975834e-01	1.220769e+00	-1.871990e-01	1.407968e+00
1820          	4.941022e-01	-8.074024e-02	5.748425e-01	-2.208652e-02	-7.365939e-02	5.157287e-02	-6.261613e-02	-3.277914e-01	-7.974621e-01	1.220390e+00	-1.872672e-01	1.407657e+00
1821          	4.934429e-01	-8.093188e-02	5.743748e-01	-2.172965e-02	-7.359691e-02	5.186726e-02	-6.273209e-02	-3.276533e-01	-7.973178e-01	1.220031e+00	-1.873024e-01	1.407333e+00
1822          	4.927725e-01	-8.112617e-02	5.738986e-01	-2.130605e-02	-7.346835e-02	5.216230e-02	-6.281532e-02	-3.275124e-01	-7.971508e-01	1.219708e+00	-1.872968e-01	1.407005e+00
1823          	4.920706e-01	-8.133637e-02	5.734070e-01	-2.081989e-02	-7.329199e-02	5.247210e-02	-6.288204e-02	-3.273717e-01	-7.969543e-01	1.219428e+00	-1.872405e-01	1.406668e+00
1824          	4.913365e-01	-8.157475e-02	5.729113e-01	-2.031670e-02	-7.311711e-02	5.280042e-02	-6.295877e-02	-3.272430e-01	-7.967311e-01	1.219209e+00	-1.871266e-01	1.406336e+00
1825          	4.905598e-01	-8.184357e-02	5.724034e-01	-1.972136e-02	-7.287072e-02	5.314937e-02	-6.301005e-02	-3.271235e-01	-7.964995e-01	1.219085e+00	-1.869569e-01	1.406042e+00
1826          	4.897348e-01	-8.216010e-02	5.718949e-01	-1.911746e-02	-7.264188e-02	5.352442e-02	-6.308315e-02	-3.270275e-01	-7.962498e-01	1.219055e+00	-1.867222e-01	1.405777e+00
