# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (1.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.479571e-01	-1.317584e-01	3.797154e-01	-6.733469e-01	-9.261202e-01	2.527733e-01	-5.894468e-01	-2.557369e-01	-2.264791e-01	4.935928e-01	2.031734e-02	4.732755e-01
2             	3.871384e-01	-2.247390e-01	6.118774e-01	-4.552276e-01	-6.823208e-01	2.270932e-01	-4.547070e-01	-4.183082e-01	-5.745119e-01	1.193485e+00	2.223080e-02	1.171255e+00
3             	5.230881e-01	-3.031700e-01	8.262581e-01	-2.354872e-01	-4.481163e-01	2.126291e-01	-3.303727e-01	-5.647140e-01	-8.932444e-01	1.832712e+00	2.311146e-02	1.809600e+00
4             	5.884456e-01	-3.596211e-01	9.480667e-01	-6.250534e-02	-2.824915e-01	2.199861e-01	-2.512388e-01	-6.538439e-01	-1.088116e+00	2.238751e+00	3.125988e-02	2.207491e+00
5             	5.578217e-01	-3.953885e-01	9.532102e-01	4.495864e-02	-2.042597e-01	2.492183e-01	-2.267390e-01	-6.742993e-01	-1.132531e+00	2.362934e+00	4.893649e-02	2.313998e+00
6             	4.490061e-01	-4.137374e-01	8.627435e-01	9.444522e-02	-1.997755e-01	2.942207e-01	-2.469981e-01	-6.382405e-01	-1.054849e+00	2.254613e+00	7.245741e-02	2.182156e+00
7             	3.062933e-01	-4.180592e-01	7.243525e-01	1.053907e-01	-2.374732e-01	3.428639e-01	-2.901685e-01	-5.712059e-01	-9.129896e-01	2.016608e+00	9.531456e-02	1.921294e+00
8             	1.786396e-01	-4.105641e-01	5.892037e-01	1.060297e-01	-2.822452e-01	3.882749e-01	-3.352601e-01	-4.998839e-01	-7.682608e-01	1.759482e+00	1.114805e-01	1.648002e+00
9             	1.019961e-01	-3.929274e-01	4.949235e-01	1.175209e-01	-3.053062e-01	4.228271e-01	-3.640667e-01	-4.439255e-01	-6.649058e-01	1.565846e+00	1.180173e-01	1.447829e+00
10            	9.011782e-02	-3.695754e-01	4.596932e-01	1.377531e-01	-2.984645e-01	4.362176e-01	-3.673411e-01	-4.146343e-01	-6.223608e-01	1.472960e+00	1.141190e-01	1.358841e+00
11            	1.331330e-01	-3.442728e-01	4.774057e-01	1.674239e-01	-2.624239e-01	4.298479e-01	-3.461359e-01	-4.108393e-01	-6.361470e-01	1.476902e+00	1.023039e-01	1.374598e+00
12            	2.066628e-01	-3.206865e-01	5.273492e-01	2.064644e-01	-2.049323e-01	4.113967e-01	-3.081645e-01	-4.240178e-01	-6.867131e-01	1.546828e+00	8.670081e-02	1.460127e+00
13            	2.833755e-01	-3.023946e-01	5.857700e-01	2.466970e-01	-1.413154e-01	3.880123e-01	-2.646638e-01	-4.440823e-01	-7.496540e-01	1.641424e+00	7.105804e-02	1.570366e+00
