# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 1.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.479571e-01	1.344729e-01	1.134841e-01	-6.733469e-01	-6.966758e-01	2.332890e-02	-3.600024e-01	1.049438e-02	3.975223e-02	4.935928e-01	2.865486e-01	2.070442e-01
2             	3.871384e-01	4.189964e-01	-3.185797e-02	-4.552276e-01	-6.455952e-01	1.903676e-01	-4.179814e-01	2.254272e-01	6.922348e-02	1.193485e+00	6.659661e-01	5.275192e-01
3             	5.230881e-01	6.853476e-01	-1.622596e-01	-2.354872e-01	-6.032408e-01	3.677536e-01	-4.854972e-01	4.238036e-01	9.527325e-02	1.832712e+00	1.011629e+00	8.210826e-01
4             	5.884456e-01	8.479039e-01	-2.594583e-01	-6.250534e-02	-5.661701e-01	5.036648e-01	-5.349175e-01	5.536811e-01	1.194092e-01	2.238751e+00	1.238785e+00	9.999665e-01
5             	5.578217e-01	8.791175e-01	-3.212958e-01	4.495864e-02	-5.293839e-01	5.743426e-01	-5.518633e-01	6.002067e-01	1.419754e-01	2.362934e+00	1.323442e+00	1.039492e+00
6             	4.490061e-01	8.023430e-01	-3.533369e-01	9.444522e-02	-4.928992e-01	5.873444e-01	-5.401218e-01	5.778400e-01	1.612313e-01	2.254613e+00	1.288538e+00	9.660753e-01
7             	3.062933e-01	6.696475e-01	-3.633543e-01	1.053907e-01	-4.595249e-01	5.649156e-01	-5.122203e-01	5.165009e-01	1.747172e-01	2.016608e+00	1.183021e+00	8.335870e-01
8             	1.786396e-01	5.384556e-01	-3.598160e-01	1.060297e-01	-4.357885e-01	5.418182e-01	-4.888034e-01	4.491358e-01	1.807589e-01	1.759482e+00	1.060500e+00	6.989823e-01
9             	1.019961e-01	4.516497e-01	-3.496537e-01	1.175209e-01	-4.237080e-01	5.412290e-01	-4.824685e-01	4.006517e-01	1.796714e-01	1.565846e+00	9.625944e-01	6.032516e-01
10            	9.011782e-02	4.249012e-01	-3.347834e-01	1.377531e-01	-4.213723e-01	5.591254e-01	-4.902488e-01	3.798423e-01	1.721157e-01	1.472960e+00	9.085955e-01	5.643640e-01
11            	1.331330e-01	4.523301e-01	-3.191972e-01	1.674239e-01	-4.245366e-01	5.919605e-01	-5.082486e-01	3.857637e-01	1.604559e-01	1.476902e+00	8.989068e-01	5.779950e-01
12            	2.066628e-01	5.136328e-01	-3.069700e-01	2.064644e-01	-4.277625e-01	6.342268e-01	-5.309946e-01	4.103014e-01	1.476061e-01	1.546828e+00	9.210201e-01	6.258078e-01
13            	2.833755e-01	5.829474e-01	-2.995719e-01	2.466970e-01	-4.272228e-01	6.739198e-01	-5.505713e-01	4.412597e-01	1.356880e-01	1.641424e+00	9.564000e-01	6.850240e-01
14            	3.420320e-01	6.400928e-01	-2.980608e-01	2.854945e-01	-4.162285e-01	7.017230e-01	-5.589757e-01	4.690768e-01	1.252793e-01	1.725233e+00	9.878958e-01	7.373372e-01
15            	3.717729e-01	6.735259e-01	-3.017529e-01	3.191394e-01	-3.934729e-01	7.126123e-01	-5.530426e-01	4.876394e-01	1.165540e-01	1.776732e+00	1.004920e+00	7.718120e-01
16            	3.729577e-01	6.819996e-01	-3.090419e-01	3.472370e-01	-3.614629e-01	7.087000e-01	-5.350814e-01	4.955208e-01	1.092165e-01	1.790371e+00	1.004402e+00	7.859691e-01
17            	3.542226e-01	6.716213e-01	-3.173986e-01	3.690031e-01	-3.248848e-01	6.938879e-01	-5.093863e-01	4.945100e-01	1.027825e-01	1.773618e+00	9.895913e-01	7.840264e-01
18            	3.277186e-01	6.524168e-01	-3.246982e-01	3.862810e-01	-2.888866e-01	6.751677e-01	-4.820272e-01	4.885575e-01	9.685985e-02	1.740417e+00	9.670683e-01	7.733486e-01
19            	3.042715e-01	6.338700e-01	-3.295985e-01	4.010883e-01	-2.575135e-01	6.586019e-01	-4.580577e-01	4.817342e-01	9.135998e-02	1.705091e+00	9.439054e-01	7.611854e-01
20            	2.911152e-01	6.228017e-01	-3.316865e-01	4.162231e-01	-2.321545e-01	6.483776e-01	-4.402661e-01	4.772441e-01	8.624424e-02	1.678273e+00	9.253805e-01	7.528921e-01
21            	2.904990e-01	6.216487e-01	-3.311497e-01	4.330920e-01	-2.125421e-01	6.456340e-01	-4.290881e-01	4.763992e-01	8.152282e-02	1.664576e+00	9.138110e-01	7.507653e-01
22            	3.004579e-01	6.293483e-01	-3.288904e-01	4.526147e-01	-1.967952e-01	6.494100e-01	-4.231026e-01	4.791194e-01	7.719967e-02	1.663401e+00	9.089004e-01	7.545010e-01
23            	3.164134e-01	6.426609e-01	-3.262475e-01	4.750392e-01	-1.826774e-01	6.577166e-01	-4.201970e-01	4.844542e-01	7.336764e-02	1.670852e+00	9.087935e-01	7.620582e-01
24            	3.333140e-01	6.576528e-01	-3.243388e-01	4.999799e-01	-1.682045e-01	6.681844e-01	-4.181944e-01	4.909958e-01	7.008088e-02	1.681636e+00	9.108990e-01	7.707373e-01
25            	3.473194e-01	6.709812e-01	-3.236618e-01	5.258145e-01	-1.525920e-01	6.784065e-01	-4.154993e-01	4.973215e-01	6.736495e-02	1.691284e+00	9.130069e-01	7.782769e-01
26            	3.564488e-01	6.807751e-01	-3.243263e-01	5.513820e-01	-1.356644e-01	6.870464e-01	-4.113554e-01	5.025507e-01	6.521272e-02	1.697002e+00	9.137138e-01	7.832883e-01
27            	3.606637e-01	6.865952e-01	-3.259315e-01	5.748248e-01	-1.187338e-01	6.935586e-01	-4.061462e-01	5.062633e-01	6.362754e-02	1.698161e+00	9.127080e-01	7.854530e-01
28            	3.614200e-01	6.890624e-01	-3.276424e-01	5.942806e-01	-1.036020e-01	6.978826e-01	-4.007423e-01	5.083524e-01	6.254627e-02	1.695489e+00	9.102910e-01	7.851984e-01
29            	3.606876e-01	6.893530e-01	-3.286653e-01	6.087270e-01	-9.137152e-02	7.000986e-01	-3.957350e-01	5.090092e-01	6.187876e-02	1.690488e+00	9.071228e-01	7.833653e-01
30            	3.600729e-01	6.888583e-01	-3.287855e-01	6.187860e-01	-8.236062e-02	7.011466e-01	-3.917536e-01	5.088219e-01	6.162030e-02	1.684842e+00	9.040415e-01	7.808009e-01
31            	3.607761e-01	6.885241e-01	-3.277480e-01	6.244021e-01	-7.705211e-02	7.014542e-01	-3.892532e-01	5.081360e-01	6.174269e-02	1.679887e+00	9.016861e-01	7.782008e-01
32            	3.632188e-01	6.889973e-01	-3.257786e-01	6.268316e-01	-7.510156e-02	7.019331e-01	-3.885173e-01	5.073880e-01	6.218810e-02	1.676310e+00	9.003433e-01	7.759671e-01
33            	3.671486e-01	6.907429e-01	-3.235943e-01	6.285638e-01	-7.438878e-02	7.029526e-01	-3.886707e-01	5.071686e-01	6.283266e-02	1.674503e+00	9.000839e-01	7.744186e-01
34            	3.718653e-01	6.931950e-01	-3.213296e-01	6.288087e-01	-7.515180e-02	7.039605e-01	-3.895561e-01	5.072623e-01	6.369881e-02	1.674108e+00	9.007529e-01	7.733553e-01
