# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.133068e-01	3.616413e-02	1.771427e-01	-2.915652e-01	-3.088538e-01	1.728862e-02	-1.630712e-01	-7.048928e-02	-2.978614e-02	3.406170e-02	-1.275529e-02	4.681699e-02
2             	2.676142e-01	6.252271e-02	2.050915e-01	-1.635281e-01	-2.277790e-01	6.425093e-02	-1.460150e-01	-7.128439e-02	-3.559293e-02	1.917775e-01	6.029580e-02	1.314817e-01
3             	3.200810e-01	8.914096e-02	2.309400e-01	-3.963968e-02	-1.531099e-01	1.134702e-01	-1.332901e-01	-7.089955e-02	-4.127670e-02	3.377931e-01	1.276198e-01	2.101732e-01
4             	3.432746e-01	1.031224e-01	2.401523e-01	4.986587e-02	-1.059607e-01	1.558266e-01	-1.308936e-01	-6.851496e-02	-4.198274e-02	4.323139e-01	1.741742e-01	2.581397e-01
5             	3.269867e-01	9.962705e-02	2.273597e-01	9.567288e-02	-9.169329e-02	1.873662e-01	-1.395297e-01	-6.386630e-02	-3.601388e-02	4.632359e-01	1.956041e-01	2.676318e-01
6             	2.788342e-01	8.198249e-02	1.968517e-01	1.042266e-01	-1.042299e-01	2.084565e-01	-1.563432e-01	-5.743459e-02	-2.508418e-02	4.409305e-01	1.953810e-01	2.455494e-01
7             	2.174805e-01	5.820189e-02	1.592786e-01	8.982831e-02	-1.309507e-01	2.207790e-01	-1.758648e-01	-5.053838e-02	-1.252711e-02	3.891328e-01	1.820393e-01	2.070935e-01
8             	1.635389e-01	3.741582e-02	1.261231e-01	6.910499e-02	-1.592781e-01	2.283831e-01	-1.938306e-01	-4.435362e-02	-1.867040e-03	3.336305e-01	1.649482e-01	1.686823e-01
9             	1.318471e-01	2.649672e-02	1.053503e-01	5.574014e-02	-1.789939e-01	2.347340e-01	-2.068640e-01	-3.942681e-02	4.390409e-03	2.933753e-01	1.510780e-01	1.422972e-01
10            	1.280604e-01	2.748103e-02	1.005794e-01	5.375112e-02	-1.841038e-01	2.378549e-01	-2.109794e-01	-3.654919e-02	5.390339e-03	2.765324e-01	1.436566e-01	1.328759e-01
