# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.224451e-02	-1.075691e-01	1.298136e-01	-3.559599e-01	-2.182481e-01	-1.377119e-01	-4.026809e-02	-1.186913e-01	6.192121e-02	7.607468e-02	9.995855e-02	-2.388388e-02
2             	6.728515e-02	-2.022824e-01	2.695675e-01	-2.593161e-01	-1.743311e-01	-8.498503e-02	-4.467302e-02	-2.359249e-01	1.159996e-01	3.556052e-01	2.938022e-01	6.180303e-02
3             	1.127579e-01	-2.869176e-01	3.996755e-01	-1.586273e-01	-1.350831e-01	-2.354424e-02	-5.576942e-02	-3.432966e-01	1.651249e-01	6.168167e-01	4.735332e-01	1.432835e-01
4             	1.380552e-01	-3.420350e-01	4.800902e-01	-7.405472e-02	-1.102781e-01	3.622334e-02	-7.325070e-02	-4.110626e-01	1.971217e-01	7.875989e-01	5.909211e-01	1.966777e-01
5             	1.343947e-01	-3.631231e-01	4.975178e-01	-1.479595e-02	-1.024923e-01	8.769632e-02	-9.509429e-02	-4.303205e-01	2.085606e-01	8.443608e-01	6.307411e-01	2.136198e-01
6             	1.061962e-01	-3.560814e-01	4.622775e-01	2.107489e-02	-1.086962e-01	1.297711e-01	-1.192336e-01	-4.091795e-01	2.028765e-01	8.046472e-01	6.052001e-01	1.994471e-01
7             	6.616911e-02	-3.322656e-01	3.984347e-01	4.002803e-02	-1.218798e-01	1.619078e-01	-1.418938e-01	-3.653502e-01	1.871230e-01	7.094107e-01	5.418283e-01	1.675824e-01
8             	2.902037e-02	-3.032223e-01	3.322427e-01	5.460013e-02	-1.362488e-01	1.908490e-01	-1.635489e-01	-3.177325e-01	1.690639e-01	6.043535e-01	4.712407e-01	1.331128e-01
9             	6.261881e-03	-2.774225e-01	2.836844e-01	7.287488e-02	-1.456956e-01	2.185704e-01	-1.821330e-01	-2.805535e-01	1.546422e-01	5.240890e-01	4.166868e-01	1.074023e-01
10            	2.826603e-03	-2.602161e-01	2.630427e-01	9.066138e-02	-1.469139e-01	2.375753e-01	-1.922446e-01	-2.616294e-01	1.469081e-01	4.857890e-01	3.898026e-01	9.598638e-02
11            	1.609640e-02	-2.524227e-01	2.685191e-01	1.078817e-01	-1.401746e-01	2.480563e-01	-1.941155e-01	-2.604709e-01	1.458309e-01	4.882514e-01	3.899567e-01	9.829479e-02
12            	3.866697e-02	-2.521184e-01	2.907854e-01	1.261862e-01	-1.279234e-01	2.541096e-01	-1.910165e-01	-2.714519e-01	1.493905e-01	5.187749e-01	4.087779e-01	1.099970e-01
13            	6.214067e-02	-2.563647e-01	3.185054e-01	1.430456e-01	-1.138094e-01	2.568550e-01	-1.853322e-01	-2.874350e-01	1.547580e-01	5.602432e-01	4.348796e-01	1.253636e-01
14            	7.977561e-02	-2.619817e-01	3.417573e-01	1.582508e-01	-9.906520e-02	2.573160e-01	-1.781906e-01	-3.018695e-01	1.593579e-01	5.972686e-01	4.579922e-01	1.392763e-01
15            	8.810355e-02	-2.667683e-01	3.548718e-01	1.707221e-01	-8.533148e-02	2.560536e-01	-1.706925e-01	-3.108200e-01	1.616329e-01	6.204845e-01	4.718751e-01	1.486094e-01
16            	8.729482e-02	-2.694588e-01	3.567536e-01	1.808842e-01	-7.351466e-02	2.543989e-01	-1.639568e-01	-3.131062e-01	1.611642e-01	6.273780e-01	4.748532e-01	1.525249e-01
17            	8.019260e-02	-2.699329e-01	3.501255e-01	1.885774e-01	-6.380571e-02	2.523831e-01	-1.580944e-01	-3.100292e-01	1.585445e-01	6.211966e-01	4.691428e-01	1.520538e-01
18            	7.078408e-02	-2.685842e-01	3.393682e-01	1.947485e-01	-5.581706e-02	2.505655e-01	-1.531913e-01	-3.039762e-01	1.548336e-01	6.079550e-01	4.588111e-01	1.491439e-01
19            	6.271856e-02	-2.660826e-01	3.288012e-01	2.002955e-01	-4.899215e-02	2.492876e-01	-1.491399e-01	-2.974419e-01	1.511243e-01	5.938385e-01	4.480435e-01	1.457949e-01
20            	5.836819e-02	-2.630656e-01	3.214338e-01	2.065238e-01	-4.243231e-02	2.489561e-01	-1.456942e-01	-2.922497e-01	1.482187e-01	5.834265e-01	4.399320e-01	1.434946e-01
21            	5.838736e-02	-2.600266e-01	3.184140e-01	2.142206e-01	-3.543141e-02	2.496520e-01	-1.425417e-01	-2.892203e-01	1.464498e-01	5.786818e-01	4.357907e-01	1.428911e-01
22            	6.206290e-02	-2.572004e-01	3.192633e-01	2.238774e-01	-2.758131e-02	2.514587e-01	-1.395200e-01	-2.882319e-01	1.457291e-01	5.792414e-01	4.353498e-01	1.438915e-01
23            	6.788094e-02	-2.546398e-01	3.225207e-01	2.355254e-01	-1.884483e-02	2.543703e-01	-1.366076e-01	-2.885803e-01	1.456965e-01	5.832938e-01	4.373434e-01	1.459504e-01
24            	7.420992e-02	-2.522243e-01	3.264342e-01	2.489190e-01	-9.424990e-03	2.583439e-01	-1.338845e-01	-2.893292e-01	1.458991e-01	5.884611e-01	4.401297e-01	1.483314e-01
25            	7.974983e-02	-2.498764e-01	3.296263e-01	2.632422e-01	1.825278e-04	2.630597e-01	-1.314386e-01	-2.897513e-01	1.459792e-01	5.928163e-01	4.423874e-01	1.504289e-01
26            	8.380190e-02	-2.475002e-01	3.313021e-01	2.778550e-01	9.550913e-03	2.683041e-01	-1.293766e-01	-2.894012e-01	1.457326e-01	5.952010e-01	4.433331e-01	1.518679e-01
27            	8.629551e-02	-2.451098e-01	3.314053e-01	2.917340e-01	1.801021e-02	2.737238e-01	-1.278568e-01	-2.882576e-01	1.451433e-01	5.954514e-01	4.428690e-01	1.525824e-01
28            	8.769456e-02	-2.427228e-01	3.304174e-01	3.038710e-01	2.506003e-02	2.788109e-01	-1.268755e-01	-2.865701e-01	1.443168e-01	5.940693e-01	4.413515e-01	1.527179e-01
29            	8.864329e-02	-2.403934e-01	3.290367e-01	3.136222e-01	3.059111e-02	2.830311e-01	-1.262200e-01	-2.847150e-01	1.434032e-01	5.918788e-01	4.393427e-01	1.525362e-01
30            	8.973358e-02	-2.381218e-01	3.278554e-01	3.211004e-01	3.476792e-02	2.863325e-01	-1.257823e-01	-2.829886e-01	1.425393e-01	5.896410e-01	4.373598e-01	1.522812e-01
31            	9.138945e-02	-2.359403e-01	3.273298e-01	3.261992e-01	3.769457e-02	2.885046e-01	-1.254050e-01	-2.816350e-01	1.418252e-01	5.879130e-01	4.357817e-01	1.521313e-01
32            	9.378004e-02	-2.337913e-01	3.275713e-01	3.295187e-01	3.968908e-02	2.898296e-01	-1.250703e-01	-2.806813e-01	1.412942e-01	5.868523e-01	4.347204e-01	1.521319e-01
