# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.083184e-01	3.562976e-02	1.726887e-01	-2.919869e-01	-3.106347e-01	1.864786e-02	-1.646413e-01	-6.852946e-02	-2.953781e-02	2.354880e-02	-1.776341e-02	4.131221e-02
2             	2.557471e-01	5.710691e-02	1.986402e-01	-1.678082e-01	-2.357548e-01	6.794661e-02	-1.518507e-01	-7.076664e-02	-3.393121e-02	1.859861e-01	5.906185e-02	1.269243e-01
3             	3.022698e-01	7.923910e-02	2.230307e-01	-4.780634e-02	-1.673323e-01	1.195259e-01	-1.434291e-01	-7.189579e-02	-3.840809e-02	3.372345e-01	1.302092e-01	2.070253e-01
4             	3.233159e-01	9.096333e-02	2.323525e-01	3.885579e-02	-1.243203e-01	1.631761e-01	-1.437482e-01	-7.069460e-02	-3.854368e-02	4.360113e-01	1.794620e-01	2.565493e-01
5             	3.091434e-01	8.764988e-02	2.214935e-01	8.206872e-02	-1.117213e-01	1.937900e-01	-1.527557e-01	-6.692181e-02	-3.255807e-02	4.690653e-01	2.019746e-01	2.670907e-01
6             	2.664022e-01	7.237609e-02	1.940261e-01	8.924541e-02	-1.240282e-01	2.132737e-01	-1.686509e-01	-6.082499e-02	-2.196024e-02	4.470140e-01	2.015467e-01	2.454672e-01
7             	2.119753e-01	5.222277e-02	1.597526e-01	7.471652e-02	-1.501018e-01	2.248183e-01	-1.874600e-01	-5.376490e-02	-1.008503e-02	3.941245e-01	1.869772e-01	2.071473e-01
8             	1.648269e-01	3.517778e-02	1.296491e-01	5.431631e-02	-1.780781e-01	2.323944e-01	-2.052363e-01	-4.723566e-02	-4.661293e-04	3.370185e-01	1.680431e-01	1.689754e-01
9             	1.384643e-01	2.691923e-02	1.115451e-01	3.998887e-02	-1.981672e-01	2.381561e-01	-2.181617e-01	-4.231292e-02	4.720707e-03	2.953258e-01	1.523836e-01	1.429422e-01
10            	1.372093e-01	2.931881e-02	1.078905e-01	3.823439e-02	-2.041163e-01	2.423507e-01	-2.232335e-01	-3.928582e-02	4.929199e-03	2.778117e-01	1.438351e-01	1.339767e-01
11            	1.568948e-01	4.046048e-02	1.164344e-01	4.867838e-02	-1.968936e-01	2.455720e-01	-2.212328e-01	-3.798694e-02	1.225256e-03	2.830320e-01	1.427413e-01	1.402908e-01
12            	1.880661e-01	5.607506e-02	1.319911e-01	6.657871e-02	-1.813086e-01	2.478873e-01	-2.145980e-01	-3.795800e-02	-4.668636e-03	3.030789e-01	1.468708e-01	1.562081e-01
13            	2.198583e-01	7.166182e-02	1.481965e-01	8.721104e-02	-1.622926e-01	2.495036e-01	-2.058981e-01	-3.826733e-02	-1.080551e-02	3.276400e-01	1.530145e-01	1.746255e-01
14            	2.436874e-01	8.388434e-02	1.598031e-01	1.073083e-01	-1.428465e-01	2.501548e-01	-1.965006e-01	-3.795938e-02	-1.573085e-02	3.479282e-01	1.582332e-01	1.896949e-01
15            	2.551864e-01	9.088097e-02	1.643054e-01	1.239532e-01	-1.256359e-01	2.495890e-01	-1.876124e-01	-3.671221e-02	-1.869886e-02	3.589247e-01	1.607635e-01	1.981612e-01
16            	2.546718e-01	9.276810e-02	1.619037e-01	1.361323e-01	-1.117640e-01	2.478963e-01	-1.798302e-01	-3.456780e-02	-1.977135e-02	3.599114e-01	1.601844e-01	1.997271e-01
17            	2.456662e-01	9.094997e-02	1.547162e-01	1.442979e-01	-1.010832e-01	2.453812e-01	-1.732322e-01	-3.188312e-02	-1.945352e-02	3.535357e-01	1.573144e-01	1.962214e-01
18            	2.333707e-01	8.759312e-02	1.457775e-01	1.498982e-01	-9.249848e-02	2.423966e-01	-1.674476e-01	-2.909220e-02	-1.850711e-02	3.439642e-01	1.534750e-01	1.904892e-01
19            	2.224096e-01	8.472685e-02	1.376827e-01	1.549431e-01	-8.452776e-02	2.394708e-01	-1.619993e-01	-2.647793e-02	-1.760943e-02	3.351302e-01	1.499557e-01	1.851745e-01
20            	2.157795e-01	8.374290e-02	1.320366e-01	1.611810e-01	-7.582474e-02	2.370058e-01	-1.564153e-01	-2.414684e-02	-1.721338e-02	3.296802e-01	1.476267e-01	1.820535e-01
21            	2.144316e-01	8.508342e-02	1.293482e-01	1.693132e-01	-6.573275e-02	2.350460e-01	-1.503894e-01	-2.213236e-02	-1.742851e-02	3.285102e-01	1.468266e-01	1.816836e-01
22            	2.174815e-01	8.844626e-02	1.290353e-01	1.795415e-01	-5.410194e-02	2.336435e-01	-1.438727e-01	-2.029451e-02	-1.815660e-02	3.309917e-01	1.473393e-01	1.836525e-01
23            	2.230165e-01	9.306507e-02	1.299515e-01	1.915290e-01	-4.111480e-02	2.326438e-01	-1.368793e-01	-1.844320e-02	-1.915228e-02	3.355768e-01	1.486361e-01	1.869407e-01
24            	2.289045e-01	9.798558e-02	1.309189e-01	2.044284e-01	-2.748614e-02	2.319146e-01	-1.297003e-01	-1.646665e-02	-2.014642e-02	3.405476e-01	1.501274e-01	1.904202e-01
25            	2.334816e-01	1.024337e-01	1.310479e-01	2.174474e-01	-1.390120e-02	2.313486e-01	-1.226249e-01	-1.430711e-02	-2.095336e-02	3.445968e-01	1.513451e-01	1.932518e-01
