# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.910058e-02	-1.016499e-01	1.207505e-01	-3.555526e-01	-2.185497e-01	-1.370030e-01	-4.077333e-02	-1.112002e-01	5.962807e-02	5.518953e-02	8.722284e-02	-3.203331e-02
2             	6.042843e-02	-2.036382e-01	2.640666e-01	-2.613509e-01	-1.788907e-01	-8.246021e-02	-4.821523e-02	-2.338524e-01	1.163818e-01	3.482623e-01	2.905130e-01	5.774934e-02
3             	1.022642e-01	-2.950132e-01	3.972774e-01	-1.624755e-01	-1.438590e-01	-1.861653e-02	-6.262124e-02	-3.461453e-01	1.678982e-01	6.215867e-01	4.786916e-01	1.428951e-01
4             	1.258556e-01	-3.542278e-01	4.800833e-01	-8.017888e-02	-1.221301e-01	4.195119e-02	-8.204062e-02	-4.171555e-01	2.014616e-01	8.001935e-01	6.015584e-01	1.986351e-01
5             	1.229737e-01	-3.759330e-01	4.989067e-01	-2.444466e-02	-1.156105e-01	9.116582e-02	-1.033881e-01	-4.374198e-01	2.134046e-01	8.590478e-01	6.429284e-01	2.161193e-01
6             	9.757701e-02	-3.663873e-01	4.639643e-01	9.565731e-03	-1.211275e-01	1.306933e-01	-1.259104e-01	-4.151758e-01	2.074075e-01	8.166786e-01	6.157468e-01	2.009318e-01
7             	6.163800e-02	-3.381000e-01	3.997380e-01	2.936974e-02	-1.332248e-01	1.625946e-01	-1.479097e-01	-3.689190e-01	1.909738e-01	7.162216e-01	5.490846e-01	1.671369e-01
8             	2.883675e-02	-3.043284e-01	3.331651e-01	4.400198e-02	-1.464661e-01	1.904681e-01	-1.684671e-01	-3.187468e-01	1.722271e-01	6.054587e-01	4.749564e-01	1.305022e-01
9             	9.194960e-03	-2.753558e-01	2.845508e-01	6.003776e-02	-1.555199e-01	2.155577e-01	-1.855388e-01	-2.799533e-01	1.573148e-01	5.209502e-01	4.177898e-01	1.031603e-01
10            	6.737490e-03	-2.566885e-01	2.634260e-01	7.948705e-02	-1.566294e-01	2.361164e-01	-1.963729e-01	-2.600572e-01	1.492841e-01	4.804644e-01	3.895163e-01	9.094808e-02
