# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.751974e-01	-1.036662e-01	3.788636e-01	-8.084228e-01	-5.404713e-01	-2.679516e-01	-1.362599e-01	-2.412649e-01	4.775131e-02	4.077412e-01	2.516219e-01	1.561193e-01
2             	5.014810e-01	-1.337594e-01	6.352404e-01	-5.342901e-01	-3.437284e-01	-1.905617e-01	-7.658339e-02	-3.844999e-01	5.755042e-02	1.094637e+00	6.048687e-01	4.897678e-01
3             	7.134006e-01	-1.537858e-01	8.671864e-01	-2.593585e-01	-1.692632e-01	-9.009527e-02	-3.958397e-02	-5.104861e-01	6.429063e-02	1.715308e+00	9.219448e-01	7.933636e-01
4             	8.225389e-01	-1.747261e-01	9.972650e-01	-4.912217e-02	-6.476731e-02	1.564514e-02	-4.020622e-02	-5.859956e-01	7.682140e-02	2.108547e+00	1.131095e+00	9.774520e-01
5             	7.937909e-01	-2.052839e-01	9.990748e-01	7.435203e-02	-4.158311e-02	1.159351e-01	-7.875912e-02	-6.021794e-01	9.846610e-02	2.229887e+00	1.213409e+00	1.016477e+00
6             	6.539295e-01	-2.430061e-01	8.969356e-01	1.231442e-01	-8.042427e-02	2.035685e-01	-1.419964e-01	-5.699709e-01	1.260762e-01	2.128645e+00	1.190399e+00	9.382464e-01
7             	4.672923e-01	-2.777393e-01	7.450316e-01	1.216131e-01	-1.496422e-01	2.712554e-01	-2.104488e-01	-5.113855e-01	1.525025e-01	1.903381e+00	1.104193e+00	7.991878e-01
8             	2.992466e-01	-2.993118e-01	5.985584e-01	1.047420e-01	-2.189190e-01	3.236610e-01	-2.712900e-01	-4.489351e-01	1.711841e-01	1.658560e+00	1.000464e+00	6.580960e-01
9             	1.953246e-01	-3.020935e-01	4.974181e-01	9.599048e-02	-2.654382e-01	3.614287e-01	-3.134334e-01	-3.997558e-01	1.782690e-01	1.471815e+00	9.141766e-01	5.576386e-01
10            	1.714187e-01	-2.869539e-01	4.583726e-01	1.028582e-01	-2.790162e-01	3.818744e-01	-3.304453e-01	-3.726633e-01	1.737006e-01	1.379447e+00	8.634241e-01	5.160230e-01
11            	2.157473e-01	-2.589962e-01	4.747434e-01	1.258610e-01	-2.626348e-01	3.884958e-01	-3.255653e-01	-3.668698e-01	1.607386e-01	1.378321e+00	8.498988e-01	5.284217e-01
12            	2.991511e-01	-2.262496e-01	5.254007e-01	1.597335e-01	-2.257634e-01	3.854970e-01	-3.056302e-01	-3.758251e-01	1.436015e-01	1.439292e+00	8.632475e-01	5.760445e-01
13            	3.892619e-01	-1.954868e-01	5.847487e-01	2.008971e-01	-1.775744e-01	3.784715e-01	-2.780229e-01	-3.901177e-01	1.263553e-01	1.524509e+00	8.886099e-01	6.358993e-01
14            	4.590282e-01	-1.735765e-01	6.326046e-01	2.364848e-01	-1.318208e-01	3.683056e-01	-2.500632e-01	-4.030905e-01	1.121812e-01	1.599823e+00	9.120925e-01	6.877301e-01
15            	4.949026e-01	-1.617776e-01	6.566802e-01	2.668911e-01	-9.200732e-02	3.588984e-01	-2.254529e-01	-4.092289e-01	1.022664e-01	1.645717e+00	9.251248e-01	7.205919e-01
16            	4.967022e-01	-1.591382e-01	6.558403e-01	2.895203e-01	-6.146163e-02	3.509819e-01	-2.062218e-01	-4.074892e-01	9.662344e-02	1.657056e+00	9.251516e-01	7.319047e-01
17            	4.745619e-01	-1.623265e-01	6.368884e-01	3.040417e-01	-3.971207e-02	3.437538e-01	-1.917329e-01	-3.996075e-01	9.408025e-02	1.640637e+00	9.143988e-01	7.262383e-01
18            	4.426134e-01	-1.673076e-01	6.099210e-01	3.124476e-01	-2.458896e-02	3.370366e-01	-1.808128e-01	-3.886143e-01	9.308706e-02	1.609052e+00	8.976129e-01	7.114388e-01
19            	4.138192e-01	-1.705329e-01	5.843520e-01	3.184980e-01	-1.281124e-02	3.313093e-01	-1.720602e-01	-3.774424e-01	9.228192e-02	1.575468e+00	8.800159e-01	6.954520e-01
20            	3.968590e-01	-1.697149e-01	5.665739e-01	3.259255e-01	-1.074500e-03	3.270000e-01	-1.640372e-01	-3.681444e-01	9.078388e-02	1.549560e+00	8.655637e-01	6.839959e-01
21            	3.945546e-01	-1.642479e-01	5.588025e-01	3.373885e-01	1.317476e-02	3.242137e-01	-1.555195e-01	-3.615252e-01	8.828679e-02	1.535778e+00	8.561759e-01	6.796024e-01
22            	4.047988e-01	-1.548725e-01	5.596713e-01	3.540452e-01	3.078007e-02	3.232651e-01	-1.462425e-01	-3.572719e-01	8.493393e-02	1.533654e+00	8.517609e-01	6.818931e-01
23            	4.225008e-01	-1.432264e-01	5.657272e-01	3.754257e-01	5.150750e-02	3.239182e-01	-1.362054e-01	-3.544768e-01	8.111640e-02	1.539527e+00	8.508799e-01	6.886471e-01
24            	4.418445e-01	-1.311689e-01	5.730135e-01	4.000131e-01	7.400975e-02	3.260033e-01	-1.259968e-01	-3.520912e-01	7.729596e-02	1.548603e+00	8.515975e-01	6.970056e-01
25            	4.581022e-01	-1.204148e-01	5.785170e-01	4.249860e-01	9.615023e-02	3.288358e-01	-1.163428e-01	-3.494659e-01	7.383425e-02	1.556745e+00	8.522068e-01	7.045383e-01
