# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-3.951160e-03	-3.414473e-02	3.019357e-02	-1.251864e-02	-1.297864e-02	4.600027e-04	-6.719321e-03	-3.216915e-02	-9.131433e-02	1.770522e-01	-2.788220e-03	1.798404e-01
2             	1.088568e-02	-4.687124e-02	5.775692e-02	-1.725169e-02	-1.560842e-02	-1.643265e-03	-6.982578e-03	-5.231408e-02	-1.642202e-01	3.078365e-01	-1.030194e-02	3.181384e-01
3             	2.519678e-02	-5.753757e-02	8.273435e-02	-2.147321e-02	-1.779113e-02	-3.682074e-03	-7.054529e-03	-7.013596e-02	-2.286270e-01	4.226689e-01	-1.729253e-02	4.399614e-01
4             	3.076031e-02	-6.556054e-02	9.632084e-02	-2.408781e-02	-1.958983e-02	-4.497986e-03	-7.545920e-03	-8.094069e-02	-2.658700e-01	4.910182e-01	-2.036093e-02	5.113791e-01
5             	2.466893e-02	-7.131619e-02	9.598512e-02	-2.477443e-02	-2.109630e-02	-3.678129e-03	-8.709087e-03	-8.365066e-02	-2.718159e-01	5.065765e-01	-1.852759e-02	5.251041e-01
6             	9.396857e-03	-7.517514e-02	8.457200e-02	-2.373012e-02	-2.216604e-02	-1.564076e-03	-1.030098e-02	-7.987357e-02	-2.533865e-01	4.809135e-01	-1.292977e-02	4.938433e-01
7             	-9.543474e-03	-7.731087e-02	6.776740e-02	-2.147150e-02	-2.254162e-02	1.070123e-03	-1.180587e-02	-7.253914e-02	-2.228271e-01	4.340858e-01	-5.784235e-03	4.398701e-01
8             	-2.633122e-02	-7.775637e-02	5.142515e-02	-1.850905e-02	-2.191508e-02	3.406024e-03	-1.266055e-02	-6.459076e-02	-1.922264e-01	3.858203e-01	6.836974e-04	3.851366e-01
9             	-3.671186e-02	-7.660978e-02	3.989793e-02	-1.538551e-02	-2.023117e-02	4.845656e-03	-1.253841e-02	-5.825386e-02	-1.703005e-01	3.503656e-01	4.882333e-03	3.454833e-01
10            	-3.935788e-02	-7.430022e-02	3.494234e-02	-1.260753e-02	-1.780963e-02	5.202104e-03	-1.150587e-02	-5.462128e-02	-1.606083e-01	3.338152e-01	6.299308e-03	3.275159e-01
11            	-3.560560e-02	-7.130097e-02	3.569537e-02	-9.977403e-03	-1.464234e-02	4.664933e-03	-9.653634e-03	-5.349817e-02	-1.620421e-01	3.348315e-01	5.373685e-03	3.294579e-01
12            	-2.802417e-02	-6.819860e-02	4.017443e-02	-7.636645e-03	-1.123133e-02	3.594689e-03	-7.413011e-03	-5.418652e-02	-1.708977e-01	3.477262e-01	2.965378e-03	3.447608e-01
13            	-1.972636e-02	-6.539188e-02	4.566552e-02	-5.034388e-03	-7.462323e-03	2.427936e-03	-4.945130e-03	-5.552870e-02	-1.826810e-01	3.656256e-01	1.318277e-04	3.654938e-01
14            	-1.302567e-02	-6.322387e-02	5.019820e-02	-2.400661e-03	-3.889418e-03	1.488757e-03	-2.689088e-03	-5.671104e-02	-1.933048e-01	3.819351e-01	-2.337274e-03	3.842724e-01
