# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.697777e-02	-1.712659e-02	3.410436e-02	1.848285e-02	2.501210e-03	1.598164e-02	-6.740217e-03	-2.561548e-02	9.973678e-02	2.112251e-01	2.053493e-01	5.875750e-03
2             	4.206561e-02	-2.411637e-02	6.618198e-02	1.605046e-02	6.044314e-03	1.000614e-02	-1.980915e-03	-4.514918e-02	1.527720e-01	3.369530e-01	3.212485e-01	1.570455e-02
3             	6.436729e-02	-3.006313e-02	9.443042e-02	1.428233e-02	9.211088e-03	5.071244e-03	2.069922e-03	-6.224678e-02	1.994406e-01	4.478289e-01	4.233550e-01	2.447385e-02
4             	7.443548e-02	-3.524331e-02	1.096788e-01	1.407245e-02	1.066851e-02	3.403939e-03	3.632287e-03	-7.246105e-02	2.295643e-01	5.162392e-01	4.876839e-01	2.855533e-02
5             	6.991774e-02	-3.989054e-02	1.098083e-01	1.538419e-02	1.007761e-02	5.306581e-03	2.385513e-03	-7.484941e-02	2.408051e-01	5.358876e-01	5.087489e-01	2.713867e-02
6             	5.432917e-02	-4.387230e-02	9.820146e-02	1.768643e-02	7.926192e-03	9.760239e-03	-9.170237e-04	-7.103688e-02	2.365273e-01	5.162953e-01	4.946749e-01	2.162035e-02
7             	3.416477e-02	-4.681536e-02	8.098013e-02	2.021581e-02	5.124866e-03	1.509094e-02	-4.983039e-03	-6.389774e-02	2.229362e-01	4.747356e-01	4.603040e-01	1.443158e-02
8             	1.609247e-02	-4.823486e-02	6.432733e-02	2.245015e-02	2.610698e-03	1.983945e-02	-8.614377e-03	-5.628109e-02	2.064679e-01	4.288940e-01	4.209149e-01	7.979150e-03
9             	4.756385e-03	-4.799941e-02	5.275580e-02	2.379419e-02	1.037019e-03	2.275717e-02	-1.086007e-02	-5.037760e-02	1.921377e-01	3.920510e-01	3.881632e-01	3.887857e-03
10            	1.400096e-03	-4.649379e-02	4.789389e-02	2.402499e-02	5.791519e-04	2.344584e-02	-1.143334e-02	-4.719384e-02	1.825627e-01	3.702878e-01	3.677066e-01	2.581206e-03
11            	4.815938e-03	-4.431143e-02	4.912736e-02	2.324068e-02	1.066239e-03	2.217444e-02	-1.055410e-02	-4.671940e-02	1.784463e-01	3.641757e-01	3.605341e-01	3.641590e-03
12            	1.207319e-02	-4.195795e-02	5.403113e-02	2.224311e-02	2.087923e-03	2.015519e-02	-9.033634e-03	-4.799454e-02	1.785271e-01	3.692443e-01	3.631492e-01	6.095063e-03
13            	2.022778e-02	-3.986737e-02	6.009515e-02	2.146408e-02	3.230697e-03	1.823338e-02	-7.501343e-03	-4.998126e-02	1.808823e-01	3.796896e-01	3.707271e-01	8.962542e-03
14            	2.700253e-02	-3.828693e-02	6.528946e-02	2.106414e-02	4.178354e-03	1.688579e-02	-6.353717e-03	-5.178820e-02	1.834619e-01	3.898722e-01	3.783980e-01	1.147421e-02
15            	3.119928e-02	-3.715014e-02	6.834942e-02	2.140731e-02	4.762798e-03	1.664451e-02	-5.940858e-03	-5.274978e-02	1.849163e-01	3.962318e-01	3.830322e-01	1.319962e-02
16            	3.266324e-02	-3.639573e-02	6.905897e-02	2.229499e-02	4.963763e-03	1.733123e-02	-6.183734e-03	-5.272735e-02	1.846285e-01	3.973408e-01	3.832989e-01	1.404192e-02
17            	3.209231e-02	-3.584188e-02	6.793420e-02	2.345507e-02	4.879800e-03	1.857527e-02	-6.847734e-03	-5.188804e-02	1.826276e-01	3.936213e-01	3.794383e-01	1.418299e-02
18            	3.046364e-02	-3.532073e-02	6.578436e-02	2.465346e-02	4.647967e-03	2.000549e-02	-7.678761e-03	-5.055254e-02	1.794361e-01	3.866695e-01	3.727708e-01	1.389865e-02
19            	2.877012e-02	-3.470898e-02	6.347911e-02	2.566082e-02	4.408697e-03	2.125212e-02	-8.421713e-03	-4.909405e-02	1.757539e-01	3.784761e-01	3.649919e-01	1.348416e-02
20            	2.772135e-02	-3.398478e-02	6.170614e-02	2.627520e-02	4.261117e-03	2.201409e-02	-8.876484e-03	-4.784546e-02	1.722776e-01	3.708840e-01	3.577196e-01	1.316441e-02
21            	2.759210e-02	-3.319070e-02	6.078280e-02	2.645500e-02	4.243394e-03	2.221161e-02	-8.984108e-03	-4.698675e-02	1.694998e-01	3.650861e-01	3.520428e-01	1.304323e-02
22            	2.827424e-02	-3.242972e-02	6.070397e-02	2.625316e-02	4.340879e-03	2.191228e-02	-8.785701e-03	-4.656685e-02	1.676932e-01	3.616171e-01	3.485018e-01	1.311536e-02
23            	2.953640e-02	-3.175270e-02	6.128910e-02	2.579049e-02	4.520907e-03	2.126958e-02	-8.374337e-03	-4.652090e-02	1.668262e-01	3.603468e-01	3.469997e-01	1.334719e-02
