# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	DILUPBiCGStab	7.185480e-02	2.931280e-04	2	1.012060e-01	9.736600e-05	3	2.851270e-01	1.767090e-03	2	false	DILUPBiCGStab	1.000000e+00	3.245470e-03	2	true	DILUPBiCGStab	4.563700e-03	1.311460e-05	2	true	GAMGPCG	2.130420e-01	6.753930e-04	4	true
2             	DILUPBiCGStab	5.345260e-02	2.477950e-04	2	4.722190e-02	3.716580e-04	3	1.742800e-01	5.810010e-04	2	false	DILUPBiCGStab	1.276520e-01	5.233920e-04	2	true	DILUPBiCGStab	1.861810e-03	8.978560e-06	2	true	GAMGPCG	2.568460e-01	2.358150e-03	3	true
3             	DILUPBiCGStab	4.481220e-02	2.401670e-04	3	2.644200e-02	2.346990e-04	2	1.159590e-01	4.208060e-04	2	false	DILUPBiCGStab	5.356460e-02	1.842030e-04	2	true	DILUPBiCGStab	2.202550e-03	8.337390e-06	2	true	GAMGPCG	2.599210e-01	9.454990e-04	4	true
4             	DILUPBiCGStab	4.146550e-02	1.774400e-04	2	1.987670e-02	4.904700e-05	3	8.192720e-02	3.238750e-04	2	false	DILUPBiCGStab	3.189290e-02	1.039950e-04	2	true	DILUPBiCGStab	2.428340e-03	7.639540e-06	2	true	GAMGPCG	1.887920e-01	1.420670e-03	3	true
5             	DILUPBiCGStab	3.833040e-02	1.571370e-04	2	2.024910e-02	1.058160e-04	3	6.606610e-02	2.631450e-04	2	false	DILUPBiCGStab	2.207710e-02	6.885700e-05	2	true	DILUPBiCGStab	2.468000e-03	6.678330e-06	2	true	GAMGPCG	1.594870e-01	1.507470e-03	3	true
6             	DILUPBiCGStab	3.275930e-02	1.378840e-04	2	1.892160e-02	8.282680e-05	3	5.698700e-02	7.038770e-05	3	false	DILUPBiCGStab	1.692610e-02	4.240710e-05	2	true	DILUPBiCGStab	2.566960e-03	6.317770e-06	2	true	GAMGPCG	1.590600e-01	9.047370e-04	3	true
7             	DILUPBiCGStab	2.633630e-02	1.341880e-04	2	1.589840e-02	7.688410e-05	3	4.845840e-02	8.111760e-05	3	false	DILUPBiCGStab	1.370370e-02	1.212320e-04	2	true	DILUPBiCGStab	2.593710e-03	6.047950e-06	2	true	GAMGPCG	1.676810e-01	7.687630e-04	4	true
8             	DILUPBiCGStab	2.160410e-02	1.085740e-04	2	1.288190e-02	8.663500e-05	3	4.038490e-02	2.006100e-04	2	false	DILUPBiCGStab	1.144810e-02	9.689600e-05	2	true	DILUPBiCGStab	2.543510e-03	2.471730e-05	2	true	GAMGPCG	1.783620e-01	1.305820e-03	3	true
9             	DILUPBiCGStab	2.031370e-02	1.095660e-04	2	1.154550e-02	9.316490e-05	2	3.357330e-02	1.309120e-04	2	false	DILUPBiCGStab	9.791570e-03	8.116960e-05	2	true	DILUPBiCGStab	2.393240e-03	2.289430e-05	2	true	GAMGPCG	1.884160e-01	9.093940e-04	4	true
10            	DILUPBiCGStab	2.035350e-02	8.563680e-05	2	1.209060e-02	4.636680e-05	3	2.917910e-02	1.136210e-04	2	false	DILUPBiCGStab	8.562190e-03	6.908380e-05	2	true	DILUPBiCGStab	2.247550e-03	2.108170e-05	2	true	GAMGPCG	1.983390e-01	9.819010e-04	3	true
11            	DILUPBiCGStab	1.982170e-02	8.633930e-05	2	1.260020e-02	4.651570e-05	3	2.621270e-02	9.677950e-05	3	false	DILUPBiCGStab	7.649630e-03	6.264270e-05	2	true	DILUPBiCGStab	2.084540e-03	1.917370e-05	2	true	GAMGPCG	2.044770e-01	1.588960e-03	3	true
12            	DILUPBiCGStab	1.837090e-02	8.307650e-05	2	1.237650e-02	7.934090e-05	2	2.418900e-02	9.527030e-05	2	false	DILUPBiCGStab	6.994620e-03	5.988630e-05	2	true	DILUPBiCGStab	1.918390e-03	1.748620e-05	2	true	GAMGPCG	2.017960e-01	9.490370e-04	3	true
13            	DILUPBiCGStab	1.653410e-02	8.503540e-05	2	1.165500e-02	4.985680e-05	2	2.273090e-02	8.709520e-05	2	false	DILUPBiCGStab	6.597040e-03	5.945640e-05	2	true	DILUPBiCGStab	1.782410e-03	1.630270e-05	2	true	GAMGPCG	1.916540e-01	1.824980e-03	3	true
14            	DILUPBiCGStab	1.493690e-02	1.052070e-04	2	1.095840e-02	4.620220e-05	2	2.141580e-02	7.975920e-05	2	false	DILUPBiCGStab	6.422550e-03	1.348720e-05	2	true	DILUPBiCGStab	1.677760e-03	1.551550e-05	2	true	GAMGPCG	1.792820e-01	8.173410e-04	3	true
15            	DILUPBiCGStab	1.388240e-02	1.256660e-04	2	1.052830e-02	4.484190e-05	2	2.001870e-02	7.453680e-05	2	false	DILUPBiCGStab	6.366900e-03	3.373000e-05	2	true	DILUPBiCGStab	1.601000e-03	1.585920e-05	2	true	GAMGPCG	1.689560e-01	1.409790e-03	3	true
16            	DILUPBiCGStab	1.305000e-02	2.398470e-05	3	1.026690e-02	4.544350e-05	2	1.866180e-02	7.589040e-05	2	false	DILUPBiCGStab	6.320700e-03	4.766180e-05	2	true	DILUPBiCGStab	1.540490e-03	1.469460e-05	2	true	GAMGPCG	1.620190e-01	1.613610e-03	2	true
17            	DILUPBiCGStab	1.240770e-02	1.731570e-05	3	1.004770e-02	4.602690e-05	2	1.740670e-02	1.660710e-04	2	false	DILUPBiCGStab	6.311070e-03	2.665330e-06	3	true	DILUPBiCGStab	1.491160e-03	1.356930e-05	2	true	GAMGPCG	1.585080e-01	1.050310e-03	3	true
18            	DILUPBiCGStab	1.179840e-02	1.810460e-05	3	9.803920e-03	4.486190e-05	2	1.625400e-02	7.204850e-05	2	false	DILUPBiCGStab	6.284490e-03	2.659770e-06	3	true	DILUPBiCGStab	1.443790e-03	1.319300e-05	2	true	GAMGPCG	1.572590e-01	5.856600e-04	3	true
19            	DILUPBiCGStab	1.123530e-02	5.529580e-05	2	9.590750e-03	4.286930e-05	2	1.534570e-02	7.992390e-05	3	false	DILUPBiCGStab	6.243360e-03	2.615140e-06	3	true	DILUPBiCGStab	1.396960e-03	1.234620e-05	2	true	GAMGPCG	1.574210e-01	1.246800e-03	3	true
20            	DILUPBiCGStab	1.073010e-02	4.768880e-05	2	9.432850e-03	4.114260e-05	2	1.470680e-02	5.358670e-05	3	false	DILUPBiCGStab	6.216990e-03	4.227880e-05	2	true	DILUPBiCGStab	1.357860e-03	1.182010e-05	2	true	GAMGPCG	1.574750e-01	4.970170e-04	3	true
21            	DILUPBiCGStab	1.023100e-02	4.920890e-05	2	9.302910e-03	3.936790e-05	2	1.415910e-02	9.536270e-05	2	false	DILUPBiCGStab	6.165650e-03	4.095430e-05	2	true	DILUPBiCGStab	1.321000e-03	1.113390e-05	2	true	GAMGPCG	1.564310e-01	1.065540e-03	3	true
22            	DILUPBiCGStab	9.737220e-03	8.586680e-05	2	9.181390e-03	3.710950e-05	2	1.362100e-02	5.720080e-05	2	false	DILUPBiCGStab	6.114120e-03	1.785640e-05	2	true	DILUPBiCGStab	1.290300e-03	1.084280e-05	2	true	GAMGPCG	1.543560e-01	4.618030e-04	3	true
23            	DILUPBiCGStab	9.250610e-03	3.216080e-05	3	9.049660e-03	4.101640e-05	2	1.306720e-02	4.711250e-05	2	false	DILUPBiCGStab	6.086150e-03	3.861220e-05	2	true	DILUPBiCGStab	1.262690e-03	1.080130e-05	2	true	GAMGPCG	1.515690e-01	1.095380e-03	3	true
24            	DILUPBiCGStab	8.815450e-03	1.943130e-05	3	8.915460e-03	1.030650e-05	3	1.250920e-02	4.501090e-05	2	false	DILUPBiCGStab	6.039110e-03	1.248280e-05	2	true	DILUPBiCGStab	1.236460e-03	1.054690e-05	2	true	GAMGPCG	1.482390e-01	5.500050e-04	3	true
