# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	4.253868e-02	-7.826190e-02	1.208006e-01	-5.002625e-01	-2.017330e-01	-2.985295e-01	4.839823e-02	-9.953124e-02	6.195928e-02	-2.763036e-02	4.814410e-02	-7.577446e-02
2             	1.404799e-01	-1.370217e-01	2.775016e-01	-3.761863e-01	-1.252753e-01	-2.509110e-01	6.281789e-02	-2.072617e-01	9.307445e-02	2.497635e-01	2.179562e-01	3.180732e-02
3             	2.361006e-01	-1.854611e-01	4.215617e-01	-2.451467e-01	-5.801268e-02	-1.871340e-01	6.456065e-02	-3.035114e-01	1.194815e-01	5.055607e-01	3.722618e-01	1.332989e-01
4             	2.940758e-01	-2.165291e-01	5.106049e-01	-1.374884e-01	-1.788023e-02	-1.196082e-01	5.086397e-02	-3.635670e-01	1.370953e-01	6.729800e-01	4.735853e-01	1.993947e-01
5             	2.967618e-01	-2.323981e-01	5.291600e-01	-6.830208e-02	-9.717526e-03	-5.858455e-02	2.443351e-02	-3.807791e-01	1.456484e-01	7.307740e-01	5.110354e-01	2.197386e-01
6             	2.536757e-01	-2.359568e-01	4.896325e-01	-3.463547e-02	-2.567967e-02	-8.955804e-03	-8.361932e-03	-3.627946e-01	1.467735e-01	6.963407e-01	4.949438e-01	2.013968e-01
7             	1.895869e-01	-2.299699e-01	4.195568e-01	-2.416238e-02	-5.292724e-02	2.876486e-02	-4.084605e-02	-3.247633e-01	1.427501e-01	6.082326e-01	4.468664e-01	1.613662e-01
8             	1.304064e-01	-2.175717e-01	3.479781e-01	-1.939505e-02	-7.954499e-02	6.014994e-02	-6.984747e-02	-2.827749e-01	1.362063e-01	5.094790e-01	3.909458e-01	1.185332e-01
9             	9.312784e-02	-2.027380e-01	2.958659e-01	-1.055380e-02	-9.704295e-02	8.648915e-02	-9.176605e-02	-2.493019e-01	1.294182e-01	4.329012e-01	3.458689e-01	8.703237e-02
10            	8.428623e-02	-1.887813e-01	2.730675e-01	3.073002e-03	-1.017243e-01	1.047973e-01	-1.032608e-01	-2.309244e-01	1.238559e-01	3.947891e-01	3.212504e-01	7.353870e-02
11            	1.001351e-01	-1.773443e-01	2.774794e-01	2.052139e-02	-9.510169e-02	1.156231e-01	-1.053624e-01	-2.274119e-01	1.199464e-01	3.942535e-01	3.170732e-01	7.718035e-02
12            	1.296637e-01	-1.695694e-01	2.992331e-01	3.928289e-02	-8.106010e-02	1.203430e-01	-1.007015e-01	-2.344012e-01	1.175026e-01	4.195531e-01	3.272791e-01	9.227395e-02
13            	1.614105e-01	-1.648805e-01	3.262910e-01	5.876299e-02	-6.310839e-02	1.218714e-01	-9.248989e-02	-2.455857e-01	1.158825e-01	4.546112e-01	3.431882e-01	1.114231e-01
14            	1.854871e-01	-1.631114e-01	3.485985e-01	7.348659e-02	-4.628489e-02	1.197715e-01	-8.302818e-02	-2.558550e-01	1.144822e-01	4.852343e-01	3.570993e-01	1.281350e-01
15            	1.971702e-01	-1.631226e-01	3.602928e-01	8.412366e-02	-3.190151e-02	1.160252e-01	-7.396334e-02	-2.617077e-01	1.129009e-01	5.029394e-01	3.643706e-01	1.385688e-01
16            	1.967657e-01	-1.638601e-01	3.606258e-01	9.036728e-02	-2.113538e-02	1.115027e-01	-6.631902e-02	-2.622429e-01	1.110290e-01	5.057564e-01	3.639072e-01	1.418491e-01
17            	1.881774e-01	-1.644895e-01	3.526669e-01	9.249395e-02	-1.378638e-02	1.062803e-01	-6.003335e-02	-2.585782e-01	1.089294e-01	4.970446e-01	3.574517e-01	1.395929e-01
18            	1.766038e-01	-1.644257e-01	3.410295e-01	9.192737e-02	-8.899255e-03	1.008266e-01	-5.486294e-02	-2.527276e-01	1.067762e-01	4.826481e-01	3.481002e-01	1.345479e-01
19            	1.665269e-01	-1.634656e-01	3.299926e-01	9.083193e-02	-5.196627e-03	9.602856e-02	-5.061259e-02	-2.467291e-01	1.047782e-01	4.685185e-01	3.390375e-01	1.294810e-01
20            	1.608058e-01	-1.615736e-01	3.223794e-01	9.144870e-02	-1.287883e-03	9.273658e-02	-4.701223e-02	-2.419765e-01	1.030717e-01	4.586810e-01	3.324122e-01	1.262688e-01
21            	1.603807e-01	-1.588528e-01	3.192334e-01	9.523783e-02	3.860685e-03	9.137715e-02	-4.375823e-02	-2.390431e-01	1.016733e-01	4.546854e-01	3.290160e-01	1.256694e-01
22            	1.644984e-01	-1.554113e-01	3.199097e-01	1.028622e-01	1.061068e-02	9.225148e-02	-4.082040e-02	-2.376605e-01	1.004826e-01	4.556553e-01	3.283103e-01	1.273450e-01
23            	1.713596e-01	-1.514753e-01	3.228349e-01	1.139489e-01	1.885848e-02	9.509040e-02	-3.811596e-02	-2.371551e-01	9.935773e-02	4.594346e-01	3.290750e-01	1.303596e-01
24            	1.789317e-01	-1.472751e-01	3.262068e-01	1.275440e-01	2.805621e-02	9.948774e-02	-3.571577e-02	-2.367410e-01	9.817380e-02	4.635631e-01	3.299553e-01	1.336077e-01
25            	1.855195e-01	-1.431344e-01	3.286539e-01	1.419269e-01	3.725780e-02	1.046691e-01	-3.370566e-02	-2.358942e-01	9.688984e-02	4.662045e-01	3.299921e-01	1.362124e-01
26            	1.904261e-01	-1.391584e-01	3.295845e-01	1.557872e-01	4.581198e-02	1.099752e-01	-3.208163e-02	-2.343714e-01	9.546117e-02	4.665265e-01	3.287244e-01	1.378021e-01
27            	1.936327e-01	-1.354145e-01	3.290472e-01	1.681782e-01	5.323237e-02	1.149458e-01	-3.085671e-02	-2.322308e-01	9.390358e-02	4.646375e-01	3.262223e-01	1.384152e-01
28            	1.956789e-01	-1.319602e-01	3.276391e-01	1.777515e-01	5.906176e-02	1.186897e-01	-2.981398e-02	-2.297996e-01	9.225554e-02	4.612480e-01	3.228795e-01	1.383684e-01
29            	1.974248e-01	-1.286084e-01	3.260332e-01	1.852683e-01	6.366938e-02	1.215989e-01	-2.896475e-02	-2.273208e-01	9.059739e-02	4.573181e-01	3.192564e-01	1.380616e-01
30            	1.994088e-01	-1.254770e-01	3.248859e-01	1.904901e-01	6.715777e-02	1.233324e-01	-2.808730e-02	-2.251815e-01	8.899830e-02	4.538556e-01	3.159261e-01	1.379295e-01
31            	2.018869e-01	-1.225694e-01	3.244563e-01	1.939735e-01	6.977819e-02	1.241953e-01	-2.720855e-02	-2.235129e-01	8.751488e-02	4.512970e-01	3.131634e-01	1.381336e-01
32            	2.050042e-01	-1.199710e-01	3.249752e-01	1.952085e-01	7.137835e-02	1.238301e-01	-2.622590e-02	-2.224731e-01	8.618487e-02	4.498072e-01	3.110885e-01	1.387187e-01
33            	2.085774e-01	-1.176382e-01	3.262156e-01	1.948458e-01	7.217586e-02	1.226699e-01	-2.524702e-02	-2.219269e-01	8.499125e-02	4.490921e-01	3.095373e-01	1.395548e-01
34            	2.123452e-01	-1.155946e-01	3.279398e-01	1.926649e-01	7.200280e-02	1.206621e-01	-2.432966e-02	-2.217672e-01	8.389686e-02	4.487067e-01	3.082502e-01	1.404565e-01
35            	2.160484e-01	-1.139127e-01	3.299611e-01	1.886477e-01	7.093570e-02	1.177120e-01	-2.338812e-02	-2.219369e-01	8.289387e-02	4.484868e-01	3.071373e-01	1.413495e-01
36            	2.193450e-01	-1.125203e-01	3.318653e-01	1.833531e-01	6.904534e-02	1.143078e-01	-2.263121e-02	-2.221928e-01	8.193602e-02	4.479029e-01	3.058875e-01	1.420155e-01
37            	2.221467e-01	-1.113656e-01	3.335124e-01	1.774437e-01	6.655073e-02	1.108930e-01	-2.217113e-02	-2.224390e-01	8.099660e-02	4.469489e-01	3.044710e-01	1.424778e-01
38            	2.244597e-01	-1.102272e-01	3.346869e-01	1.724512e-01	6.392808e-02	1.085231e-01	-2.229752e-02	-2.224570e-01	8.007417e-02	4.455292e-01	3.028388e-01	1.426904e-01
39            	2.263894e-01	-1.090638e-01	3.354532e-01	1.686103e-01	6.134000e-02	1.072703e-01	-2.296514e-02	-2.222585e-01	7.915849e-02	4.438582e-01	3.010876e-01	1.427706e-01
40            	2.281775e-01	-1.076206e-01	3.357981e-01	1.672609e-01	5.944185e-02	1.078191e-01	-2.418862e-02	-2.217094e-01	7.821443e-02	4.420053e-01	2.992171e-01	1.427882e-01
41            	2.299426e-01	-1.059456e-01	3.358882e-01	1.680430e-01	5.824802e-02	1.097949e-01	-2.577346e-02	-2.209169e-01	7.723169e-02	4.402329e-01	2.973481e-01	1.428848e-01
42            	2.317701e-01	-1.039974e-01	3.357675e-01	1.709890e-01	5.797684e-02	1.130122e-01	-2.751767e-02	-2.198824e-01	7.620729e-02	4.385358e-01	2.954752e-01	1.430606e-01
43            	2.337439e-01	-1.018593e-01	3.356032e-01	1.754001e-01	5.846719e-02	1.169329e-01	-2.923287e-02	-2.187313e-01	7.512860e-02	4.370507e-01	2.936540e-01	1.433968e-01
44            	2.358065e-01	-9.964527e-02	3.354518e-01	1.803509e-01	5.944289e-02	1.209080e-01	-3.073257e-02	-2.175485e-01	7.400244e-02	4.357133e-01	2.918591e-01	1.438542e-01
45            	2.378430e-01	-9.753568e-02	3.353787e-01	1.850764e-01	6.057459e-02	1.245018e-01	-3.196362e-02	-2.164572e-01	7.286707e-02	4.346178e-01	2.901760e-01	1.444418e-01
46            	2.397391e-01	-9.560146e-02	3.353405e-01	1.891091e-01	6.178927e-02	1.273198e-01	-3.276529e-02	-2.154710e-01	7.178600e-02	4.335910e-01	2.885815e-01	1.450095e-01
47            	2.413869e-01	-9.404100e-02	3.354278e-01	1.917895e-01	6.278324e-02	1.290062e-01	-3.311149e-02	-2.147344e-01	7.084970e-02	4.328532e-01	2.872763e-01	1.455769e-01
48            	2.425920e-01	-9.290379e-02	3.354958e-01	1.931966e-01	6.353420e-02	1.296624e-01	-3.306412e-02	-2.141998e-01	7.007288e-02	4.322906e-01	2.862182e-01	1.460724e-01
49            	2.433679e-01	-9.225106e-02	3.356189e-01	1.933940e-01	6.392733e-02	1.294667e-01	-3.276969e-02	-2.139350e-01	6.950266e-02	4.321482e-01	2.855768e-01	1.465714e-01
50            	2.437571e-01	-9.194532e-02	3.357024e-01	1.929342e-01	6.403623e-02	1.288980e-01	-3.243088e-02	-2.138239e-01	6.908121e-02	4.322772e-01	2.852198e-01	1.470574e-01
51            	2.438138e-01	-9.193123e-02	3.357451e-01	1.920664e-01	6.383680e-02	1.282296e-01	-3.219642e-02	-2.138381e-01	6.876109e-02	4.327223e-01	2.851222e-01	1.476001e-01
52            	2.436399e-01	-9.198082e-02	3.356207e-01	1.913041e-01	6.336524e-02	1.279389e-01	-3.228682e-02	-2.138008e-01	6.841663e-02	4.331508e-01	2.849920e-01	1.481588e-01
53            	2.432826e-01	-9.204223e-02	3.353248e-01	1.908629e-01	6.265678e-02	1.282061e-01	-3.277467e-02	-2.136835e-01	6.799766e-02	4.335827e-01	2.847890e-01	1.487937e-01
54            	2.428870e-01	-9.196005e-02	3.348471e-01	1.907014e-01	6.169047e-02	1.290110e-01	-3.366024e-02	-2.134036e-01	6.743368e-02	4.337347e-01	2.843010e-01	1.494336e-01
55            	2.425001e-01	-9.178210e-02	3.342822e-01	1.905851e-01	6.032287e-02	1.302622e-01	-3.496969e-02	-2.130321e-01	6.672322e-02	4.337292e-01	2.835878e-01	1.501414e-01
56            	2.422120e-01	-9.149564e-02	3.337076e-01	1.900630e-01	5.854988e-02	1.315131e-01	-3.648162e-02	-2.126016e-01	6.586526e-02	4.334949e-01	2.826127e-01	1.508822e-01
57            	2.420584e-01	-9.117254e-02	3.332310e-01	1.888441e-01	5.628150e-02	1.325626e-01	-3.814053e-02	-2.122018e-01	6.490258e-02	4.331992e-01	2.815022e-01	1.516970e-01
58            	2.420695e-01	-9.082554e-02	3.328950e-01	1.865300e-01	5.362705e-02	1.329029e-01	-3.963793e-02	-2.118603e-01	6.386624e-02	4.327584e-01	2.802455e-01	1.525130e-01
59            	2.423049e-01	-9.051652e-02	3.328214e-01	1.826478e-01	5.051496e-02	1.321329e-01	-4.080895e-02	-2.116690e-01	6.281205e-02	4.322679e-01	2.789460e-01	1.533219e-01
60            	2.428162e-01	-9.020601e-02	3.330222e-01	1.771056e-01	4.717213e-02	1.299334e-01	-4.138065e-02	-2.116141e-01	6.176277e-02	4.316183e-01	2.775719e-01	1.540464e-01
61            	2.436026e-01	-8.996000e-02	3.335626e-01	1.699072e-01	4.366727e-02	1.262399e-01	-4.128632e-02	-2.117613e-01	6.076937e-02	4.310320e-01	2.762854e-01	1.547466e-01
62            	2.447047e-01	-8.973583e-02	3.344405e-01	1.611804e-01	4.009385e-02	1.210866e-01	-4.049637e-02	-2.120882e-01	5.982860e-02	4.304746e-01	2.750659e-01	1.554087e-01
63            	2.460849e-01	-8.956046e-02	3.356454e-01	1.512314e-01	3.651469e-02	1.147168e-01	-3.910104e-02	-2.126029e-01	5.895929e-02	4.300953e-01	2.740069e-01	1.560883e-01
