Time	Cd Total	Cd Pressure	Cd Viscous
1	-0.00399877	-0.00499492	0.00099615
2	0.01070620	0.00955248	0.00115376
3	0.02502150	0.02369110	0.00133043
4	0.03066230	0.02915830	0.00150400
5	0.02466490	0.02301330	0.00165162
6	0.00948692	0.00774414	0.00174278
7	-0.00943038	-0.01122540	0.00179498
8	-0.02619990	-0.02804260	0.00184274
9	-0.03657480	-0.03845780	0.00188298
10	-0.03924210	-0.04115250	0.00191037
11	-0.03552230	-0.03745810	0.00193588
12	-0.02800160	-0.02995560	0.00195404
13	-0.01976750	-0.02173850	0.00197099
14	-0.01310230	-0.01507770	0.00197545
15	-0.00922615	-0.01119150	0.00196538
16	-0.00826388	-0.01021160	0.00194776
17	-0.00949816	-0.01142170	0.00192352
18	-0.01182500	-0.01372040	0.00189539
19	-0.01419160	-0.01605400	0.00186237
20	-0.01582310	-0.01764920	0.00182615
21	-0.01639610	-0.01818380	0.00178770
22	-0.01597040	-0.01771880	0.00174833
23	-0.01490610	-0.01661600	0.00170993
24	-0.01365540	-0.01533170	0.00167639
25	-0.01258890	-0.01423460	0.00164576
26	-0.01191970	-0.01353770	0.00161798
27	-0.01171920	-0.01331120	0.00159203
28	-0.01188730	-0.01345370	0.00156641
29	-0.01227460	-0.01381810	0.00154351
30	-0.01263860	-0.01415860	0.00151999
31	-0.01277960	-0.01427850	0.00149889
32	-0.01256600	-0.01404280	0.00147681
33	-0.01193160	-0.01338740	0.00145579
34	-0.01090670	-0.01234200	0.00143528
35	-0.00958398	-0.01099870	0.00141473
36	-0.00811728	-0.00951099	0.00139371
37	-0.00662500	-0.00799879	0.00137379
38	-0.00519382	-0.00655110	0.00135729
39	-0.00386475	-0.00520796	0.00134322
40	-0.00268208	-0.00401264	0.00133055
41	-0.00161794	-0.00293761	0.00131967
42	-0.00064089	-0.00194949	0.00130860
43	0.00030907	-0.00098864	0.00129771
44	0.00125846	-0.00002885	0.00128731
45	0.00223095	0.00095421	0.00127674
46	0.00323013	0.00196270	0.00126743
47	0.00425505	0.00299650	0.00125854
48	0.00528304	0.00403182	0.00125122
49	0.00630329	0.00505919	0.00124410
50	0.00731911	0.00608264	0.00123647
51	0.00834094	0.00711293	0.00122801
52	0.00938363	0.00816542	0.00121821
53	0.01046590	0.00925891	0.00120698
54	0.01156990	0.01037750	0.00119236
55	0.01269470	0.01151700	0.00117774
56	0.01384580	0.01268540	0.00116035
57	0.01502370	0.01387910	0.00114455
58	0.01620020	0.01507280	0.00112745
59	0.01736960	0.01625790	0.00111167
60	0.01850680	0.01741100	0.00109574
61	0.01960380	0.01852110	0.00108264
62	0.02063820	0.01956810	0.00107011
63	0.02160270	0.02054480	0.00105792
64	0.02249630	0.02145130	0.00104506
65	0.02331950	0.02228810	0.00103135
66	0.02407250	0.02305600	0.00101650
67	0.02477810	0.02377700	0.00100106
68	0.02543880	0.02445320	0.00098555
69	0.02606210	0.02509300	0.00096913
70	0.02664890	0.02569710	0.00095182
71	0.02720310	0.02626860	0.00093443
72	0.02772440	0.02680770	0.00091665
73	0.02820660	0.02730820	0.00089845
74	0.02863240	0.02775260	0.00087985
75	0.02899940	0.02813840	0.00086100
76	0.02932860	0.02848660	0.00084206
77	0.02963910	0.02881520	0.00082389
78	0.02996660	0.02916000	0.00080661
79	0.03032300	0.02953240	0.00079054
80	0.03074820	0.02997200	0.00077617
81	0.03123910	0.03047490	0.00076422
82	0.03176960	0.03101540	0.00075419
83	0.03232820	0.03158230	0.00074593
84	0.03289970	0.03216140	0.00073834
85	0.03345850	0.03272700	0.00073151
86	0.03397360	0.03324870	0.00072497
87	0.03443480	0.03371530	0.00071955
88	0.03482810	0.03411340	0.00071476
89	0.03514180	0.03443040	0.00071142
90	0.03538420	0.03467520	0.00070902
91	0.03558490	0.03487730	0.00070768
92	0.03576860	0.03506120	0.00070737
93	0.03595330	0.03524410	0.00070924
94	0.03613990	0.03542760	0.00071224
95	0.03634030	0.03562440	0.00071588
96	0.03653150	0.03581130	0.00072018
97	0.03668840	0.03596320	0.00072526
98	0.03677880	0.03604770	0.00073111
99	0.03678910	0.03605170	0.00073742
100	0.03670140	0.03595770	0.00074371
101	0.03650770	0.03575760	0.00075003
102	0.03622010	0.03546370	0.00075642
103	0.03587310	0.03510990	0.00076317
104	0.03550560	0.03473530	0.00077029
105	0.03517320	0.03439490	0.00077827
106	0.03491170	0.03412450	0.00078720
107	0.03473960	0.03394310	0.00079648
108	0.03463290	0.03382760	0.00080531
109	0.03457710	0.03376500	0.00081211
110	0.03452760	0.03370950	0.00081819
111	0.03443890	0.03361420	0.00082467
112	0.03429500	0.03346490	0.00083014
113	0.03408140	0.03324900	0.00083239
114	0.03379740	0.03296530	0.00083210
115	0.03344560	0.03261830	0.00082730
116	0.03301460	0.03219300	0.00082159
117	0.03249570	0.03168080	0.00081492
118	0.03188410	0.03107710	0.00080699
119	0.03115500	0.03035720	0.00079775
120	0.03029320	0.02950590	0.00078725
121	0.02927450	0.02849930	0.00077514
122	0.02809450	0.02733220	0.00076227
123	0.02675880	0.02601010	0.00074871
124	0.02528990	0.02455590	0.00073407
125	0.02371860	0.02300050	0.00071819
126	0.02208900	0.02138640	0.00070261
127	0.02044520	0.01975770	0.00068748
128	0.01883900	0.01816500	0.00067393
129	0.01731110	0.01665090	0.00066025
130	0.01591580	0.01526830	0.00064749
131	0.01468270	0.01404750	0.00063520
132	0.01365610	0.01303150	0.00062461
133	0.01285340	0.01224010	0.00061331
134	0.01230070	0.01169770	0.00060298
135	0.01200500	0.01141260	0.00059235
136	0.01195310	0.01136990	0.00058324
137	0.01212030	0.01154630	0.00057402
138	0.01249080	0.01192540	0.00056548
139	0.01304440	0.01248790	0.00055655
140	0.01376000	0.01321140	0.00054860
141	0.01463290	0.01409210	0.00054081
142	0.01565930	0.01512520	0.00053402
143	0.01685250	0.01632590	0.00052662
144	0.01819760	0.01767750	0.00052001
145	0.01965610	0.01914280	0.00051325
146	0.02119080	0.02068320	0.00050763
147	0.02275700	0.02225370	0.00050333
148	0.02429940	0.02379680	0.00050265
149	0.02576400	0.02525800	0.00050597
150	0.02711120	0.02659820	0.00051303
151	0.02830790	0.02778510	0.00052280
152	0.02932830	0.02879250	0.00053578
153	0.03014880	0.02959660	0.00055221
154	0.03076030	0.03018810	0.00057220
155	0.03116260	0.03056910	0.00059346
156	0.03136050	0.03074590	0.00061456
157	0.03136950	0.03073580	0.00063376
158	0.03120930	0.03056020	0.00064915
159	0.03091340	0.03025310	0.00066029
160	0.03052150	0.02985390	0.00066760
161	0.03008290	0.02941160	0.00067128
162	0.02964150	0.02897050	0.00067097
163	0.02922570	0.02855880	0.00066697
164	0.02885250	0.02819240	0.00066013
165	0.02852840	0.02787760	0.00065080
166	0.02825170	0.02761290	0.00063880
167	0.02802750	0.02740310	0.00062436
168	0.02785140	0.02724460	0.00060688
169	0.02771700	0.02712900	0.00058802
170	0.02761790	0.02705050	0.00056743
171	0.02754400	0.02699540	0.00054855
172	0.02748630	0.02695340	0.00053287
173	0.02743700	0.02691850	0.00051845
174	0.02741410	0.02690700	0.00050709
175	0.02741890	0.02691980	0.00049907
176	0.02746260	0.02696850	0.00049407
177	0.02754570	0.02705350	0.00049221
178	0.02764960	0.02715680	0.00049277
179	0.02776710	0.02727150	0.00049555
180	0.02788590	0.02738560	0.00050029
181	0.02798860	0.02748220	0.00050636
182	0.02807520	0.02756250	0.00051272
183	0.02815510	0.02763690	0.00051821
184	0.02824510	0.02772350	0.00052161
185	0.02836090	0.02783810	0.00052280
186	0.02851130	0.02798920	0.00052210
187	0.02870230	0.02818200	0.00052032
188	0.02891570	0.02839740	0.00051823
189	0.02913370	0.02861800	0.00051570
190	0.02932940	0.02881650	0.00051296
191	0.02947880	0.02896820	0.00051061
192	0.02956440	0.02905600	0.00050839
193	0.02956910	0.02906230	0.00050682
194	0.02948000	0.02897330	0.00050673
195	0.02928920	0.02878130	0.00050785
196	0.02900360	0.02849440	0.00050920
197	0.02863760	0.02812680	0.00051079
198	0.02820320	0.02769060	0.00051251
199	0.02771940	0.02720460	0.00051473
200	0.02721880	0.02670200	0.00051679
201	0.02673410	0.02621560	0.00051840
