Time	Cd Total	Cd Pressure	Cd Viscous
1	0.16771700	0.16178500	0.00593183
2	0.22640900	0.21906300	0.00734663
3	0.28464000	0.27575400	0.00888535
4	0.31142400	0.30110600	0.01031840
5	0.29412700	0.28258900	0.01153830
6	0.24031600	0.22788000	0.01243610
7	0.17132300	0.15829100	0.01303170
8	0.11124600	0.09788170	0.01336380
9	0.07725780	0.06376480	0.01349310
10	0.07551160	0.06205130	0.01346030
11	0.10095200	0.08764910	0.01330280
12	0.14107100	0.12803800	0.01303230
13	0.18190500	0.16921700	0.01268810
14	0.21211400	0.19981600	0.01229810
15	0.22629300	0.21440500	0.01188800
16	0.22473100	0.21325200	0.01147960
17	0.21226700	0.20118200	0.01108510
18	0.19568700	0.18497200	0.01071480
19	0.18120400	0.17082800	0.01037600
20	0.17281900	0.16274500	0.01007440
21	0.17164400	0.16183300	0.00981132
22	0.17643300	0.16684700	0.00958583
23	0.18449900	0.17510300	0.00939615
24	0.19288500	0.18365000	0.00923454
25	0.19938700	0.19029100	0.00909635
26	0.20289800	0.19392100	0.00897693
27	0.20344900	0.19457800	0.00887109
28	0.20188900	0.19311200	0.00877723
29	0.19937000	0.19067600	0.00869383
30	0.19709500	0.18847400	0.00862134
31	0.19582300	0.18726300	0.00856030
32	0.19586500	0.18735700	0.00850841
33	0.19707300	0.18860800	0.00846522
34	0.19905000	0.19062200	0.00842823
35	0.20133500	0.19294000	0.00839505
36	0.20347000	0.19510700	0.00836345
37	0.20522900	0.19689600	0.00833278
38	0.20656400	0.19826300	0.00830120
39	0.20757700	0.19930800	0.00826926
40	0.20848400	0.20024800	0.00823627
41	0.20945100	0.20125000	0.00820144
42	0.21058900	0.20242700	0.00816213
43	0.21199300	0.20387400	0.00811836
44	0.21377400	0.20570400	0.00806968
45	0.21595400	0.20793900	0.00801504
46	0.21845300	0.21049600	0.00795701
47	0.22117700	0.21328100	0.00789655
48	0.22406100	0.21622700	0.00783475
49	0.22710800	0.21933600	0.00777257
50	0.23029800	0.22258800	0.00771020
51	0.23362500	0.22597800	0.00764686
52	0.23709700	0.22951400	0.00758228
53	0.24065800	0.23314100	0.00751719
54	0.24424000	0.23678700	0.00745257
55	0.24778400	0.24039400	0.00738932
56	0.25130300	0.24397300	0.00732925
57	0.25476000	0.24748800	0.00727238
58	0.25814400	0.25092500	0.00721854
59	0.26141200	0.25424300	0.00716926
60	0.26459500	0.25747200	0.00712312
61	0.26776800	0.26069000	0.00707803
62	0.27101700	0.26398300	0.00703397
63	0.27432000	0.26733000	0.00698984
64	0.27774500	0.27080200	0.00694320
65	0.28128800	0.27439500	0.00689267
66	0.28498500	0.27814800	0.00683678
67	0.28879400	0.28202200	0.00677191
68	0.29274300	0.28604500	0.00669800
69	0.29685500	0.29024100	0.00661451
70	0.30105000	0.29452800	0.00652137
71	0.30520100	0.29878000	0.00642065
72	0.30916500	0.30284900	0.00631632
73	0.31277100	0.30656100	0.00621013
74	0.31590300	0.30980000	0.00610381
75	0.31862500	0.31262800	0.00599730
76	0.32098600	0.31509500	0.00589106
77	0.32307300	0.31728600	0.00578715
78	0.32494700	0.31926000	0.00568674
79	0.32665500	0.32106500	0.00558961
80	0.32822700	0.32273100	0.00549550
81	0.32971500	0.32431000	0.00540528
82	0.33115700	0.32583800	0.00531902
83	0.33268100	0.32744400	0.00523681
84	0.33438900	0.32923100	0.00515809
85	0.33635900	0.33127600	0.00508275
86	0.33859000	0.33357900	0.00501073
87	0.34110800	0.33616600	0.00494225
88	0.34386500	0.33898700	0.00487781
89	0.34684200	0.34202500	0.00481655
90	0.34999100	0.34523300	0.00475763
91	0.35331000	0.34860900	0.00470025
92	0.35677100	0.35212700	0.00464410
93	0.36042400	0.35583500	0.00458880
94	0.36424700	0.35971300	0.00453466
95	0.36826200	0.36378000	0.00448157
96	0.37244500	0.36801600	0.00442972
97	0.37675000	0.37237000	0.00437956
98	0.38110200	0.37677200	0.00433026
99	0.38537900	0.38109800	0.00428064
100	0.38944000	0.38520900	0.00423038
101	0.39318000	0.38900000	0.00418019
102	0.39654100	0.39241000	0.00413038
103	0.39947400	0.39539200	0.00408180
104	0.40199200	0.39795900	0.00403347
105	0.40411200	0.40012700	0.00398498
106	0.40588700	0.40195100	0.00393685
107	0.40736000	0.40347200	0.00388817
108	0.40858300	0.40474400	0.00383884
109	0.40960100	0.40581100	0.00378952
110	0.41039900	0.40665900	0.00373978
111	0.41098300	0.40729400	0.00368973
112	0.41139100	0.40775000	0.00364157
113	0.41166100	0.40806500	0.00359675
114	0.41182100	0.40826600	0.00355567
115	0.41189900	0.40838100	0.00351841
116	0.41191200	0.40842400	0.00348758
117	0.41192400	0.40846200	0.00346204
