Time	Cd Total	Cd Pressure	Cd Viscous
1	0.05989320	0.05056540	0.00932775
2	0.14935200	0.13736400	0.01198820
3	0.23611900	0.22121500	0.01490450
4	0.28376200	0.26611500	0.01764700
5	0.27923900	0.25935300	0.01988590
6	0.23207700	0.21050400	0.02157390
7	0.16528600	0.14259200	0.02269410
8	0.10336900	0.08003650	0.02333220
9	0.06437380	0.04084360	0.02353010
10	0.05590250	0.03251920	0.02338340
11	0.07433770	0.05133740	0.02300020
12	0.10843000	0.08598780	0.02244240
13	0.14520600	0.12343700	0.02176880
14	0.17423900	0.15322000	0.02101950
15	0.19033100	0.17009800	0.02023310
16	0.19338800	0.17395000	0.01943730
17	0.18725600	0.16859500	0.01866060
18	0.17738200	0.15945800	0.01792470
19	0.16881100	0.15156300	0.01724760
20	0.16477300	0.14814000	0.01663300
21	0.16631400	0.15023400	0.01608060
22	0.17265700	0.15706800	0.01558860
23	0.18191400	0.16675500	0.01515890
24	0.19186800	0.17708000	0.01478850
25	0.20074800	0.18627400	0.01447360
26	0.20755900	0.19335100	0.01420770
27	0.21219200	0.19821000	0.01398150
28	0.21525700	0.20146700	0.01379010
29	0.21760500	0.20397800	0.01362630
30	0.22004800	0.20656200	0.01348580
31	0.22318000	0.20981600	0.01336380
32	0.22717400	0.21391800	0.01325560
33	0.23206000	0.21890100	0.01315850
34	0.23744700	0.22437600	0.01307110
35	0.24294600	0.22995500	0.01299120
36	0.24822800	0.23531100	0.01291720
37	0.25307900	0.24023100	0.01284880
38	0.25747800	0.24469300	0.01278520
39	0.26143900	0.24871500	0.01272400
40	0.26503100	0.25236700	0.01266340
41	0.26834200	0.25574000	0.01260260
42	0.27146400	0.25892500	0.01253930
43	0.27447800	0.26200400	0.01247380
44	0.27750300	0.26509700	0.01240540
45	0.28058000	0.26824700	0.01233370
46	0.28366900	0.27141100	0.01225800
47	0.28667100	0.27449300	0.01217800
48	0.28950600	0.27741100	0.01209460
49	0.29214800	0.28013900	0.01200930
50	0.29456400	0.28264300	0.01192110
51	0.29672500	0.28489600	0.01182930
52	0.29864600	0.28691300	0.01173330
53	0.30035800	0.28872500	0.01163240
54	0.30188600	0.29035800	0.01152750
55	0.30322000	0.29179900	0.01142050
56	0.30440000	0.29308500	0.01131470
57	0.30546000	0.29425000	0.01121040
58	0.30646900	0.29536100	0.01110820
59	0.30747200	0.29646300	0.01100880
60	0.30854400	0.29763000	0.01091400
61	0.30968300	0.29885900	0.01082410
62	0.31094800	0.30021000	0.01073750
63	0.31236100	0.30170700	0.01065390
64	0.31399300	0.30342000	0.01057290
65	0.31583500	0.30533900	0.01049610
66	0.31785400	0.30743000	0.01042410
67	0.31996800	0.30961100	0.01035640
68	0.32208000	0.31178700	0.01029300
69	0.32408800	0.31385500	0.01023330
70	0.32591500	0.31573800	0.01017770
71	0.32746000	0.31733200	0.01012890
72	0.32863700	0.31855000	0.01008690
73	0.32939300	0.31934000	0.01005270
74	0.32969800	0.31967200	0.01002580
75	0.32966000	0.31965700	0.01000320
76	0.32942000	0.31943500	0.00998511
77	0.32911100	0.31913600	0.00997509
78	0.32879500	0.31882400	0.00997096
79	0.32846300	0.31849100	0.00997215
80	0.32805700	0.31808000	0.00997729
81	0.32752900	0.31754200	0.00998658
82	0.32687000	0.31687000	0.01000020
83	0.32608900	0.31607200	0.01001790
84	0.32514900	0.31511000	0.01003930
85	0.32415400	0.31408900	0.01006450
86	0.32309100	0.31299800	0.01009290
87	0.32209400	0.31197100	0.01012320
88	0.32122200	0.31106800	0.01015410
89	0.32050400	0.31032000	0.01018420
90	0.31992500	0.30971200	0.01021300
91	0.31950700	0.30926800	0.01023910
92	0.31925700	0.30899500	0.01026250
93	0.31916600	0.30888300	0.01028300
94	0.31924300	0.30894300	0.01030060
95	0.31953500	0.30921900	0.01031580
96	0.32006500	0.30973600	0.01032860
97	0.32085800	0.31051900	0.01033870
98	0.32190000	0.31155300	0.01034610
99	0.32319700	0.31284700	0.01035020
100	0.32470300	0.31435300	0.01035050
101	0.32634000	0.31599300	0.01034700
102	0.32805000	0.31771100	0.01033950
103	0.32978600	0.31945900	0.01032760
104	0.33148900	0.32117800	0.01031100
105	0.33309700	0.32280700	0.01028990
106	0.33450400	0.32423900	0.01026450
107	0.33563600	0.32540200	0.01023480
108	0.33640800	0.32620700	0.01020110
109	0.33679700	0.32663400	0.01016260
110	0.33676000	0.32663900	0.01012110
111	0.33633200	0.32625300	0.01007870
112	0.33552600	0.32549000	0.01003610
113	0.33441300	0.32442000	0.00999306
114	0.33303300	0.32308400	0.00994880
115	0.33148000	0.32157700	0.00990253
116	0.32979200	0.31993800	0.00985471
117	0.32803200	0.31822700	0.00980593
118	0.32623500	0.31647900	0.00975615
119	0.32445700	0.31475000	0.00970627
120	0.32272300	0.31306600	0.00965681
121	0.32112500	0.31151600	0.00960861
122	0.31975700	0.31019500	0.00956215
123	0.31865000	0.30913300	0.00951621
124	0.31781600	0.30834500	0.00947126
125	0.31721500	0.30778700	0.00942758
126	0.31679200	0.30740800	0.00938475
127	0.31644000	0.30709800	0.00934272
128	0.31608400	0.30678300	0.00930146
129	0.31562300	0.30636300	0.00926095
130	0.31499100	0.30577000	0.00922074
131	0.31416500	0.30498600	0.00917933
132	0.31313700	0.30400000	0.00913645
133	0.31193900	0.30284600	0.00909348
134	0.31057100	0.30151900	0.00905194
135	0.30908300	0.30007300	0.00901040
136	0.30749000	0.29852100	0.00896837
137	0.30583400	0.29690900	0.00892519
138	0.30413600	0.29525500	0.00888103
139	0.30246600	0.29362800	0.00883773
140	0.30085100	0.29205500	0.00879589
141	0.29935600	0.29059900	0.00875697
142	0.29798800	0.28926500	0.00872240
143	0.29678000	0.28808700	0.00869266
144	0.29573700	0.28707100	0.00866648
145	0.29490400	0.28626000	0.00864359
146	0.29429500	0.28567200	0.00862266
147	0.29392700	0.28532200	0.00860470
148	0.29380100	0.28521000	0.00859062
149	0.29390900	0.28532800	0.00858117
150	0.29423600	0.28566000	0.00857643
151	0.29474400	0.28616800	0.00857646
152	0.29539600	0.28681500	0.00858124
153	0.29616400	0.28757400	0.00859004
154	0.29699100	0.28838800	0.00860265
155	0.29786700	0.28924900	0.00861860
156	0.29873700	0.29009900	0.00863749
157	0.29960100	0.29094200	0.00865884
158	0.30040000	0.29171800	0.00868187
159	0.30110300	0.29239700	0.00870589
160	0.30169200	0.29296300	0.00872947
161	0.30214700	0.29339500	0.00875120
162	0.30246600	0.29369500	0.00877088
163	0.30267300	0.29388400	0.00878869
164	0.30278600	0.29398200	0.00880414
165	0.30278800	0.29397100	0.00881732
166	0.30268400	0.29385600	0.00882835
167	0.30242300	0.29358500	0.00883741
168	0.30199300	0.29314800	0.00884536
169	0.30133700	0.29248500	0.00885256
170	0.30043100	0.29157000	0.00886007
171	0.29926700	0.29039900	0.00886832
172	0.29788700	0.28900900	0.00887769
173	0.29631100	0.28742300	0.00888800
174	0.29459400	0.28569500	0.00889921
175	0.29281200	0.28390000	0.00891128
176	0.29100300	0.28208000	0.00892318
177	0.28920100	0.28026700	0.00893413
178	0.28745100	0.27850700	0.00894389
179	0.28577800	0.27682600	0.00895253
180	0.28419000	0.27523000	0.00896052
181	0.28268900	0.27372100	0.00896803
182	0.28121800	0.27224300	0.00897448
183	0.27968500	0.27070500	0.00897993
184	0.27802300	0.26903900	0.00898387
185	0.27616800	0.26718200	0.00898593
186	0.27416300	0.26517700	0.00898553
187	0.27201600	0.26303400	0.00898209
188	0.26981900	0.26084300	0.00897594
189	0.26759800	0.25863100	0.00896692
190	0.26543000	0.25647600	0.00895475
191	0.26328900	0.25434900	0.00893948
192	0.26120200	0.25228000	0.00892250
193	0.25912100	0.25021600	0.00890454
194	0.25706300	0.24817600	0.00888716
195	0.25495600	0.24608500	0.00887100
196	0.25282500	0.24396800	0.00885626
