Time	Cd Total	Cd Pressure	Cd Viscous
1	0.01697780	0.01590470	0.00107304
2	0.04206560	0.04078520	0.00128039
3	0.06436730	0.06284060	0.00152669
4	0.07443550	0.07265340	0.00178206
5	0.06991770	0.06790360	0.00201412
6	0.05432920	0.05214770	0.00218148
7	0.03416480	0.03187220	0.00229259
8	0.01609250	0.01371250	0.00237998
9	0.00475639	0.00231148	0.00244491
10	0.00140010	-0.00108026	0.00248036
11	0.00481594	0.00231419	0.00250174
12	0.01207320	0.00956733	0.00250585
13	0.02022780	0.01772440	0.00250334
14	0.02700250	0.02452360	0.00247891
15	0.03119930	0.02875240	0.00244686
16	0.03266320	0.03024770	0.00241552
17	0.03209230	0.02970910	0.00238321
18	0.03046360	0.02811510	0.00234857
19	0.02877010	0.02645480	0.00231529
20	0.02772140	0.02544230	0.00227905
21	0.02759210	0.02534920	0.00224288
22	0.02827420	0.02606210	0.00221211
23	0.02953640	0.02734550	0.00219089
24	0.03099150	0.02882220	0.00216929
25	0.03233530	0.03018080	0.00215448
26	0.03338210	0.03124200	0.00214010
27	0.03405430	0.03192640	0.00212796
28	0.03442500	0.03231170	0.00211338
29	0.03460410	0.03250610	0.00209802
30	0.03471060	0.03263140	0.00207913
31	0.03489850	0.03283560	0.00206291
32	0.03518140	0.03313770	0.00204378
33	0.03553380	0.03350430	0.00202956
34	0.03586570	0.03385180	0.00201387
35	0.03609160	0.03408680	0.00200480
36	0.03610720	0.03411220	0.00199507
37	0.03592320	0.03393260	0.00199060
38	0.03553000	0.03354330	0.00198665
39	0.03496670	0.03297990	0.00198680
40	0.03433840	0.03235220	0.00198628
41	0.03373020	0.03174420	0.00198600
42	0.03324450	0.03126070	0.00198380
43	0.03290340	0.03092390	0.00197949
44	0.03268660	0.03071320	0.00197333
45	0.03257250	0.03060770	0.00196481
46	0.03255560	0.03060190	0.00195368
47	0.03260500	0.03066410	0.00194085
48	0.03268760	0.03076090	0.00192661
49	0.03278370	0.03087220	0.00191147
50	0.03291370	0.03101760	0.00189600
51	0.03307870	0.03119880	0.00187987
52	0.03328280	0.03141820	0.00186454
53	0.03350370	0.03165320	0.00185050
54	0.03372390	0.03188620	0.00183773
55	0.03387660	0.03205070	0.00182591
56	0.03399630	0.03217830	0.00181795
57	0.03406590	0.03225370	0.00181219
58	0.03416200	0.03235400	0.00180797
59	0.03430240	0.03249790	0.00180447
60	0.03453820	0.03273710	0.00180113
61	0.03488730	0.03309020	0.00179709
62	0.03536620	0.03357270	0.00179350
63	0.03595980	0.03416980	0.00179004
64	0.03663050	0.03484290	0.00178767
65	0.03733160	0.03554550	0.00178611
66	0.03797610	0.03619190	0.00178419
67	0.03849940	0.03671710	0.00178228
68	0.03888590	0.03710400	0.00178181
69	0.03912240	0.03733940	0.00178300
70	0.03924470	0.03745950	0.00178525
71	0.03927670	0.03749140	0.00178535
72	0.03927870	0.03749420	0.00178448
73	0.03924250	0.03745750	0.00178494
74	0.03917680	0.03738910	0.00178773
75	0.03908860	0.03729520	0.00179340
76	0.03899250	0.03719130	0.00180119
77	0.03891230	0.03710000	0.00181229
78	0.03886150	0.03703450	0.00182701
79	0.03886010	0.03701600	0.00184409
80	0.03891000	0.03704790	0.00186206
81	0.03899480	0.03711570	0.00187912
82	0.03908360	0.03718990	0.00189366
83	0.03917870	0.03727140	0.00190734
84	0.03927840	0.03735660	0.00192179
85	0.03938380	0.03744930	0.00193451
86	0.03950400	0.03755810	0.00194584
87	0.03963620	0.03768110	0.00195508
88	0.03977810	0.03781560	0.00196254
89	0.03992560	0.03795720	0.00196832
90	0.04010370	0.03813090	0.00197278
91	0.04030660	0.03833070	0.00197583
92	0.04052550	0.03854790	0.00197761
93	0.04073310	0.03875490	0.00197820
94	0.04092920	0.03895190	0.00197736
95	0.04110740	0.03913080	0.00197660
96	0.04125820	0.03928190	0.00197628
97	0.04140050	0.03942390	0.00197668
98	0.04155930	0.03958270	0.00197665
99	0.04176450	0.03979010	0.00197443
100	0.04201630	0.04004500	0.00197125
101	0.04233140	0.04036430	0.00196710
102	0.04269770	0.04073570	0.00196195
103	0.04310960	0.04115400	0.00195564
104	0.04356030	0.04161220	0.00194812
105	0.04407140	0.04213230	0.00193904
106	0.04465080	0.04272150	0.00192926
107	0.04531500	0.04339430	0.00192068
108	0.04605540	0.04414110	0.00191436
109	0.04688650	0.04497620	0.00191033
110	0.04779580	0.04588790	0.00190786
111	0.04876820	0.04686190	0.00190635
112	0.04979510	0.04789010	0.00190500
113	0.05084050	0.04893600	0.00190445
114	0.05186630	0.04996230	0.00190394
115	0.05285550	0.05095240	0.00190316
116	0.05378470	0.05188310	0.00190159
117	0.05466580	0.05276600	0.00189977
118	0.05550810	0.05361010	0.00189804
119	0.05633000	0.05443320	0.00189684
120	0.05714790	0.05525180	0.00189613
121	0.05796690	0.05607050	0.00189648
122	0.05876650	0.05686770	0.00189884
123	0.05950510	0.05760180	0.00190328
124	0.06015000	0.05824030	0.00190967
125	0.06066140	0.05874360	0.00191774
126	0.06100680	0.05907980	0.00192696
127	0.06118130	0.05924470	0.00193656
128	0.06118810	0.05924320	0.00194494
129	0.06103640	0.05908500	0.00195140
130	0.06073980	0.05878420	0.00195567
131	0.06031100	0.05835250	0.00195851
132	0.05977620	0.05781660	0.00195963
133	0.05915990	0.05720110	0.00195885
134	0.05849980	0.05654330	0.00195650
135	0.05781940	0.05586620	0.00195320
136	0.05715800	0.05520960	0.00194845
137	0.05652090	0.05457810	0.00194284
138	0.05592110	0.05398430	0.00193681
139	0.05536580	0.05343550	0.00193022
140	0.05484350	0.05292000	0.00192353
141	0.05434210	0.05242490	0.00191717
142	0.05386410	0.05195280	0.00191128
143	0.05341150	0.05150520	0.00190633
144	0.05298550	0.05108230	0.00190317
145	0.05257200	0.05066980	0.00190217
146	0.05216110	0.05025810	0.00190302
147	0.05173470	0.04982980	0.00190485
148	0.05127850	0.04937160	0.00190683
149	0.05078440	0.04887590	0.00190845
150	0.05025600	0.04834660	0.00190940
151	0.04970900	0.04779910	0.00190988
152	0.04917230	0.04726180	0.00191043
153	0.04867360	0.04676240	0.00191119
154	0.04823170	0.04631940	0.00191230
155	0.04784500	0.04593110	0.00191388
156	0.04751900	0.04560300	0.00191602
157	0.04725640	0.04533770	0.00191868
158	0.04705000	0.04512840	0.00192163
159	0.04689510	0.04497040	0.00192472
160	0.04679480	0.04486660	0.00192816
161	0.04675060	0.04481840	0.00193213
