Time	Cd Total	Cd Pressure	Cd Viscous
1	0.04735810	0.04695910	0.00039901
2	0.07654100	0.07605370	0.00048736
3	0.09759330	0.09701610	0.00057715
4	0.10610000	0.10542000	0.00068018
5	0.10251600	0.10173300	0.00078349
6	0.09051440	0.08964690	0.00086741
7	0.07608440	0.07514680	0.00093757
8	0.06219530	0.06120490	0.00099047
9	0.05123120	0.05019890	0.00103231
10	0.04386680	0.04281320	0.00105360
11	0.03954350	0.03849050	0.00105299
12	0.03828450	0.03725150	0.00103297
13	0.03918440	0.03817760	0.00100682
14	0.04105530	0.04007200	0.00098332
15	0.04278310	0.04181820	0.00096489
16	0.04391880	0.04297080	0.00094800
17	0.04434220	0.04341190	0.00093035
18	0.04412960	0.04321840	0.00091113
19	0.04346150	0.04257030	0.00089120
20	0.04258700	0.04171660	0.00087042
21	0.04172740	0.04087820	0.00084925
22	0.04100230	0.04017390	0.00082842
23	0.04046270	0.03965360	0.00080914
24	0.04005990	0.03926780	0.00079208
25	0.03972810	0.03895060	0.00077748
26	0.03939390	0.03862890	0.00076506
27	0.03900500	0.03825080	0.00075427
28	0.03854240	0.03779780	0.00074462
29	0.03800310	0.03726760	0.00073550
30	0.03739890	0.03667230	0.00072662
31	0.03673790	0.03602030	0.00071764
32	0.03603390	0.03532540	0.00070854
33	0.03530280	0.03460350	0.00069928
34	0.03456060	0.03387070	0.00068995
35	0.03383420	0.03315360	0.00068065
36	0.03314240	0.03247090	0.00067148
37	0.03250870	0.03184610	0.00066258
38	0.03194580	0.03129180	0.00065398
39	0.03146710	0.03082130	0.00064582
40	0.03108090	0.03044270	0.00063821
41	0.03078600	0.03015490	0.00063114
42	0.03057780	0.02995310	0.00062465
43	0.03045420	0.02983550	0.00061870
44	0.03040720	0.02979400	0.00061329
45	0.03041830	0.02981000	0.00060836
46	0.03047130	0.02986740	0.00060389
47	0.03055350	0.02995360	0.00059992
48	0.03065200	0.03005570	0.00059638
49	0.03076650	0.03017320	0.00059327
50	0.03089490	0.03030440	0.00059053
51	0.03103810	0.03045000	0.00058814
52	0.03119740	0.03061140	0.00058606
53	0.03137120	0.03078690	0.00058426
54	0.03155700	0.03097430	0.00058269
55	0.03174930	0.03116800	0.00058129
56	0.03193750	0.03135750	0.00057999
57	0.03210730	0.03152850	0.00057883
58	0.03224690	0.03166910	0.00057778
59	0.03235100	0.03177420	0.00057676
60	0.03241440	0.03183870	0.00057571
61	0.03242970	0.03185510	0.00057468
62	0.03239860	0.03182490	0.00057369
63	0.03232570	0.03175300	0.00057275
64	0.03222020	0.03164830	0.00057181
65	0.03208130	0.03151040	0.00057088
66	0.03191170	0.03134170	0.00056994
67	0.03171330	0.03114420	0.00056903
68	0.03149330	0.03092520	0.00056813
69	0.03125780	0.03069050	0.00056730
70	0.03101230	0.03044570	0.00056656
71	0.03075920	0.03019330	0.00056588
72	0.03050340	0.02993820	0.00056525
73	0.03024820	0.02968350	0.00056463
74	0.02999620	0.02943220	0.00056402
75	0.02974880	0.02918540	0.00056337
76	0.02950810	0.02894540	0.00056267
77	0.02927550	0.02871370	0.00056184
78	0.02905090	0.02849010	0.00056083
79	0.02883110	0.02827140	0.00055963
80	0.02861330	0.02805520	0.00055815
81	0.02839730	0.02784100	0.00055630
82	0.02818360	0.02762950	0.00055404
83	0.02797320	0.02742190	0.00055136
84	0.02776950	0.02722110	0.00054831
85	0.02757350	0.02702850	0.00054501
86	0.02738750	0.02684590	0.00054155
87	0.02721560	0.02667750	0.00053808
88	0.02706020	0.02652550	0.00053476
89	0.02692300	0.02639120	0.00053171
90	0.02680040	0.02627130	0.00052905
91	0.02669310	0.02616630	0.00052683
92	0.02659970	0.02607460	0.00052504
93	0.02651970	0.02599610	0.00052363
94	0.02644870	0.02592620	0.00052250
95	0.02638560	0.02586410	0.00052153
96	0.02632710	0.02580650	0.00052055
97	0.02627310	0.02575370	0.00051943
98	0.02622040	0.02570230	0.00051804
99	0.02617010	0.02565380	0.00051631
100	0.02611840	0.02560420	0.00051423
101	0.02606540	0.02555360	0.00051185
102	0.02600920	0.02550000	0.00050926
103	0.02595020	0.02544360	0.00050656
104	0.02588630	0.02538240	0.00050389
105	0.02581630	0.02531490	0.00050137
106	0.02573790	0.02523880	0.00049911
107	0.02565320	0.02515610	0.00049715
108	0.02556070	0.02506510	0.00049556
109	0.02546140	0.02496710	0.00049431
110	0.02535410	0.02486070	0.00049339
111	0.02524090	0.02474810	0.00049277
112	0.02512230	0.02462990	0.00049239
113	0.02500000	0.02450780	0.00049220
114	0.02487470	0.02438250	0.00049215
115	0.02474750	0.02425530	0.00049219
116	0.02461930	0.02412700	0.00049227
117	0.02449090	0.02399860	0.00049236
118	0.02436230	0.02386980	0.00049246
119	0.02423310	0.02374060	0.00049255
120	0.02410340	0.02361080	0.00049264
121	0.02397250	0.02347970	0.00049275
