Time	Cd Total	Cd Pressure	Cd Viscous
1801	0.02038060	0.02004290	0.00033771
1802	0.02037350	0.02003590	0.00033766
1803	0.02036720	0.02002960	0.00033760
1804	0.02036090	0.02002340	0.00033753
1805	0.02035640	0.02001900	0.00033742
1806	0.02035400	0.02001670	0.00033728
1807	0.02035420	0.02001710	0.00033712
1808	0.02035620	0.02001920	0.00033694
1809	0.02035960	0.02002280	0.00033673
1810	0.02036410	0.02002760	0.00033646
1811	0.02036900	0.02003290	0.00033609
1812	0.02037420	0.02003860	0.00033561
1813	0.02037970	0.02004460	0.00033506
1814	0.02038560	0.02005110	0.00033451
1815	0.02039200	0.02005800	0.00033393
1816	0.02039830	0.02006500	0.00033329
1817	0.02040480	0.02007230	0.00033250
1818	0.02041170	0.02008010	0.00033156
1819	0.02041950	0.02008890	0.00033054
1820	0.02042820	0.02009870	0.00032950
1821	0.02043690	0.02010840	0.00032856
1822	0.02044670	0.02011890	0.00032782
1823	0.02045840	0.02013110	0.00032723
1824	0.02047270	0.02014590	0.00032680
1825	0.02048920	0.02016290	0.00032630
1826	0.02050720	0.02018140	0.00032578
1827	0.02052620	0.02020080	0.00032537
1828	0.02054370	0.02021870	0.00032502
1829	0.02055910	0.02023450	0.00032461
1830	0.02057450	0.02025030	0.00032417
1831	0.02059110	0.02026740	0.00032373
1832	0.02060950	0.02028610	0.00032332
1833	0.02062990	0.02030700	0.00032291
1834	0.02065220	0.02032970	0.00032248
1835	0.02067620	0.02035420	0.00032203
1836	0.02070140	0.02037980	0.00032158
1837	0.02072670	0.02040550	0.00032118
1838	0.02075100	0.02043020	0.00032080
1839	0.02077420	0.02045380	0.00032039
1840	0.02079530	0.02047540	0.00031994
1841	0.02081430	0.02049480	0.00031949
1842	0.02083100	0.02051180	0.00031911
1843	0.02084660	0.02052780	0.00031885
1844	0.02086080	0.02054210	0.00031869
1845	0.02087370	0.02055510	0.00031860
1846	0.02088470	0.02056620	0.00031856
1847	0.02089430	0.02057570	0.00031861
1848	0.02090170	0.02058290	0.00031875
1849	0.02090720	0.02058820	0.00031896
1850	0.02091030	0.02059110	0.00031921
1851	0.02091150	0.02059200	0.00031947
1852	0.02091050	0.02059070	0.00031976
1853	0.02090790	0.02058770	0.00032015
1854	0.02090290	0.02058230	0.00032063
1855	0.02089590	0.02057470	0.00032117
1856	0.02088650	0.02056470	0.00032175
1857	0.02087490	0.02055260	0.00032235
1858	0.02086170	0.02053870	0.00032300
1859	0.02084820	0.02052440	0.00032375
1860	0.02083550	0.02051090	0.00032462
1861	0.02082420	0.02049860	0.00032556
1862	0.02081430	0.02048780	0.00032652
1863	0.02080590	0.02047840	0.00032750
1864	0.02080040	0.02047190	0.00032853
1865	0.02079790	0.02046830	0.00032961
1866	0.02079790	0.02046720	0.00033069
1867	0.02079980	0.02046810	0.00033172
1868	0.02080300	0.02047030	0.00033267
1869	0.02080650	0.02047300	0.00033355
1870	0.02080980	0.02047540	0.00033439
1871	0.02081170	0.02047650	0.00033519
1872	0.02081140	0.02047550	0.00033593
1873	0.02080810	0.02047160	0.00033654
1874	0.02080210	0.02046510	0.00033703
1875	0.02079360	0.02045620	0.00033741
1876	0.02078310	0.02044550	0.00033769
1877	0.02077030	0.02043250	0.00033785
1878	0.02075590	0.02041800	0.00033784
1879	0.02074000	0.02040230	0.00033769
1880	0.02072320	0.02038570	0.00033744
1881	0.02070420	0.02036700	0.00033714
1882	0.02068310	0.02034630	0.00033682
1883	0.02066020	0.02032370	0.00033649
1884	0.02063600	0.02029990	0.00033615
1885	0.02061100	0.02027510	0.00033586
1886	0.02058570	0.02025000	0.00033567
1887	0.02056010	0.02022450	0.00033562
1888	0.02053560	0.02019990	0.00033566
1889	0.02051230	0.02017660	0.00033574
1890	0.02049070	0.02015480	0.00033586
1891	0.02047180	0.02013570	0.00033603
1892	0.02045530	0.02011900	0.00033631
1893	0.02044190	0.02010520	0.00033669
1894	0.02043230	0.02009520	0.00033708
1895	0.02042600	0.02008860	0.00033745
1896	0.02042410	0.02008630	0.00033780
1897	0.02042680	0.02008870	0.00033808
1898	0.02043420	0.02009590	0.00033836
1899	0.02044700	0.02010830	0.00033866
1900	0.02046610	0.02012710	0.00033899
1901	0.02049190	0.02015260	0.00033931
1902	0.02052550	0.02018590	0.00033961
1903	0.02056680	0.02022690	0.00033990
1904	0.02061480	0.02027460	0.00034016
1905	0.02066830	0.02032790	0.00034039
1906	0.02072600	0.02038540	0.00034060
1907	0.02078640	0.02044560	0.00034077
1908	0.02084820	0.02050730	0.00034089
1909	0.02091040	0.02056950	0.00034096
1910	0.02097290	0.02063190	0.00034099
1911	0.02103600	0.02069500	0.00034100
1912	0.02109950	0.02075850	0.00034095
1913	0.02116400	0.02082320	0.00034082
1914	0.02122960	0.02088900	0.00034059
1915	0.02129440	0.02095410	0.00034027
1916	0.02135670	0.02101680	0.00033988
1917	0.02141360	0.02107420	0.00033943
1918	0.02146220	0.02112330	0.00033884
1919	0.02150060	0.02116240	0.00033812
1920	0.02152860	0.02119130	0.00033728
