Time	Cd Total	Cd Pressure	Cd Viscous
1801	0.33874000	0.33287400	0.00586553
1802	0.33866300	0.33279600	0.00586732
1803	0.33858100	0.33271200	0.00586879
1804	0.33849500	0.33262500	0.00586986
1805	0.33841300	0.33254200	0.00587056
1806	0.33833500	0.33246400	0.00587089
1807	0.33826700	0.33239500	0.00587112
1808	0.33820800	0.33233700	0.00587090
1809	0.33815200	0.33228200	0.00587028
1810	0.33809200	0.33222300	0.00586938
1811	0.33802800	0.33216000	0.00586823
1812	0.33795900	0.33209200	0.00586699
1813	0.33788400	0.33201900	0.00586521
1814	0.33780400	0.33194100	0.00586304
1815	0.33770800	0.33184700	0.00586048
1816	0.33759600	0.33173800	0.00585762
1817	0.33746900	0.33161500	0.00585389
1818	0.33732500	0.33147600	0.00584956
1819	0.33715300	0.33130800	0.00584458
1820	0.33695400	0.33111500	0.00583924
1821	0.33673600	0.33090300	0.00583338
1822	0.33650100	0.33067400	0.00582706
1823	0.33623600	0.33041600	0.00582036
1824	0.33594100	0.33012800	0.00581318
1825	0.33562500	0.32981900	0.00580583
1826	0.33527700	0.32947900	0.00579840
1827	0.33488900	0.32909800	0.00579099
1828	0.33447400	0.32869000	0.00578378
1829	0.33403500	0.32825800	0.00577663
1830	0.33357600	0.32780600	0.00576999
1831	0.33310900	0.32734500	0.00576364
1832	0.33265200	0.32689400	0.00575816
1833	0.33220800	0.32645400	0.00575365
1834	0.33179900	0.32604900	0.00575009
1835	0.33143700	0.32568900	0.00574735
1836	0.33113600	0.32539100	0.00574519
1837	0.33090600	0.32516200	0.00574386
1838	0.33075700	0.32501400	0.00574275
1839	0.33068800	0.32494500	0.00574203
1840	0.33068800	0.32494700	0.00574122
1841	0.33074800	0.32500800	0.00574057
1842	0.33085300	0.32511300	0.00573981
1843	0.33097600	0.32523700	0.00573883
1844	0.33110000	0.32536200	0.00573800
1845	0.33120800	0.32547100	0.00573683
1846	0.33129500	0.32555900	0.00573573
1847	0.33135600	0.32562200	0.00573415
