Time	Cd Total	Cd Pressure	Cd Viscous
1801	0.10171300	0.09384660	0.00786638
1802	0.10110100	0.09323630	0.00786432
1803	0.10048500	0.09262230	0.00786283
1804	0.09986630	0.09200450	0.00786185
1805	0.09924810	0.09138670	0.00786137
1806	0.09863320	0.09077180	0.00786134
1807	0.09802490	0.09016320	0.00786165
1808	0.09742320	0.08956090	0.00786229
1809	0.09683000	0.08896670	0.00786323
1810	0.09624720	0.08838270	0.00786446
1811	0.09567290	0.08780710	0.00786583
1812	0.09510990	0.08724270	0.00786725
1813	0.09455330	0.08668460	0.00786870
1814	0.09400420	0.08613400	0.00787020
1815	0.09346240	0.08559070	0.00787168
1816	0.09293130	0.08505820	0.00787310
1817	0.09241030	0.08453590	0.00787444
1818	0.09189980	0.08402420	0.00787563
1819	0.09140030	0.08352370	0.00787667
1820	0.09091470	0.08303720	0.00787748
1821	0.09043830	0.08256030	0.00787797
1822	0.08996990	0.08209170	0.00787816
1823	0.08950390	0.08162590	0.00787800
1824	0.08903960	0.08116230	0.00787738
1825	0.08855900	0.08068280	0.00787621
1826	0.08807050	0.08019590	0.00787457
1827	0.08756430	0.07969190	0.00787237
1828	0.08704150	0.07917200	0.00786950
1829	0.08650140	0.07863550	0.00786590
1830	0.08594750	0.07808590	0.00786163
1831	0.08537210	0.07751540	0.00785674
1832	0.08478580	0.07693460	0.00785129
1833	0.08418850	0.07634300	0.00784546
1834	0.08359620	0.07575680	0.00783940
1835	0.08300580	0.07517250	0.00783329
1836	0.08243390	0.07460660	0.00782735
1837	0.08187250	0.07405080	0.00782170
1838	0.08133280	0.07351620	0.00781657
1839	0.08081130	0.07299920	0.00781207
1840	0.08031590	0.07250770	0.00780823
1841	0.07984090	0.07203560	0.00780532
1842	0.07938820	0.07158490	0.00780335
1843	0.07895000	0.07114750	0.00780246
1844	0.07852660	0.07072380	0.00780272
1845	0.07811330	0.07030920	0.00780402
1846	0.07771470	0.06990830	0.00780633
1847	0.07732910	0.06951950	0.00780958
1848	0.07695080	0.06913720	0.00781360
1849	0.07658000	0.06876180	0.00781829
1850	0.07621350	0.06839000	0.00782350
1851	0.07585090	0.06802180	0.00782909
1852	0.07548450	0.06764940	0.00783503
1853	0.07511960	0.06727840	0.00784121
1854	0.07475390	0.06690630	0.00784756
1855	0.07439620	0.06654210	0.00785401
1856	0.07404160	0.06618100	0.00786055
1857	0.07369920	0.06583200	0.00786714
1858	0.07336110	0.06548740	0.00787377
1859	0.07303240	0.06515190	0.00788043
1860	0.07270540	0.06481830	0.00788709
1861	0.07237680	0.06448300	0.00789376
1862	0.07204540	0.06414510	0.00790036
1863	0.07172110	0.06381430	0.00790682
1864	0.07140170	0.06348860	0.00791313
1865	0.07109740	0.06317810	0.00791929
1866	0.07080550	0.06288020	0.00792530
1867	0.07053250	0.06260140	0.00793111
1868	0.07027260	0.06233590	0.00793671
1869	0.07003020	0.06208810	0.00794206
1870	0.06979790	0.06185090	0.00794707
1871	0.06958340	0.06163170	0.00795171
1872	0.06938700	0.06143120	0.00795586
1873	0.06921500	0.06125550	0.00795946
1874	0.06906660	0.06110400	0.00796254
1875	0.06894750	0.06098250	0.00796507
1876	0.06886030	0.06089330	0.00796700
1877	0.06879860	0.06083020	0.00796840
1878	0.06877130	0.06080210	0.00796924
1879	0.06877340	0.06080380	0.00796959
1880	0.06880860	0.06083920	0.00796945
1881	0.06887160	0.06090270	0.00796887
1882	0.06896180	0.06099390	0.00796794
1883	0.06907770	0.06111110	0.00796666
1884	0.06922410	0.06125900	0.00796509
1885	0.06939640	0.06143320	0.00796320
