Time	Cd Total	Cd Pressure	Cd Viscous
1	0.26398200	0.24552400	0.01845840
2	0.43783300	0.41458800	0.02324590
3	0.60600800	0.57741600	0.02859210
4	0.69170900	0.65794600	0.03376340
5	0.66743500	0.62924500	0.03819000
6	0.55480100	0.51329400	0.04150670
7	0.40375100	0.36001300	0.04373780
8	0.26711200	0.22206900	0.04504230
9	0.18328900	0.13774900	0.04553990
10	0.16673900	0.12132700	0.04541220
11	0.20723100	0.16242000	0.04481120
12	0.28016700	0.23632900	0.04383810
13	0.35731300	0.31470500	0.04260820
14	0.41670700	0.37548200	0.04122530
15	0.44721700	0.40742100	0.03979690
16	0.44916000	0.41077100	0.03838900
17	0.43121800	0.39417500	0.03704240
18	0.40506000	0.36928100	0.03577870
19	0.38153900	0.34693300	0.03460630
20	0.36817300	0.33462400	0.03354900
21	0.36707700	0.33446600	0.03261090
22	0.37631300	0.34452100	0.03179180
23	0.39135200	0.36026000	0.03109230
24	0.40730400	0.37680300	0.03050060
25	0.42061000	0.39060100	0.03000940
26	0.42932200	0.39971700	0.02960440
27	0.43341900	0.40414800	0.02927090
28	0.43432600	0.40533500	0.02899090
29	0.43391600	0.40516300	0.02875360
30	0.43383800	0.40529000	0.02854770
31	0.43513800	0.40677500	0.02836310
32	0.43809000	0.40989300	0.02819690
33	0.44236300	0.41431800	0.02804480
34	0.44709100	0.41918600	0.02790450
35	0.45155700	0.42378200	0.02777440
36	0.45516700	0.42750800	0.02765870
37	0.45765500	0.43010300	0.02755230
38	0.45917800	0.43172200	0.02745560
39	0.46001200	0.43264800	0.02736380
40	0.46065600	0.43337800	0.02727780
41	0.46143300	0.43423800	0.02719500
42	0.46266000	0.43555000	0.02710970
43	0.46449500	0.43747400	0.02702080
44	0.46694900	0.44002100	0.02692820
45	0.46990000	0.44306400	0.02683520
46	0.47321000	0.44647000	0.02674000
47	0.47674500	0.45010500	0.02664060
48	0.48040700	0.45387500	0.02653160
49	0.48407100	0.45765700	0.02641340
50	0.48772500	0.46143700	0.02628780
51	0.49143400	0.46527500	0.02615910
52	0.49526500	0.46923300	0.02603170
53	0.49930400	0.47339500	0.02590830
54	0.50351600	0.47773000	0.02578590
55	0.50797300	0.48231300	0.02566010
56	0.51261300	0.48708400	0.02552880
57	0.51739600	0.49200400	0.02539210
58	0.52220700	0.49695600	0.02525090
59	0.52697400	0.50186900	0.02510510
60	0.53153700	0.50658200	0.02495530
61	0.53583700	0.51103700	0.02479970
62	0.53982000	0.51518000	0.02463960
63	0.54352100	0.51904500	0.02447590
64	0.54696400	0.52265200	0.02431130
65	0.55022900	0.52608000	0.02414860
66	0.55335200	0.52936400	0.02398830
67	0.55642500	0.53259200	0.02383290
68	0.55950600	0.53582300	0.02368270
69	0.56266600	0.53912900	0.02353700
70	0.56591600	0.54251800	0.02339790
71	0.56922300	0.54595700	0.02326530
72	0.57258000	0.54944000	0.02314010
73	0.57591300	0.55289300	0.02301970
74	0.57922300	0.55631700	0.02290570
75	0.58251200	0.55971300	0.02279840
76	0.58575900	0.56306200	0.02269740
77	0.58893700	0.56633500	0.02260160
78	0.59201600	0.56950400	0.02251190
79	0.59501500	0.57258500	0.02242980
80	0.59793200	0.57557800	0.02235440
81	0.60070000	0.57841400	0.02228570
82	0.60331800	0.58109600	0.02222200
83	0.60580900	0.58364500	0.02216380
84	0.60822300	0.58611100	0.02211170
85	0.61050500	0.58844200	0.02206320
86	0.61267500	0.59065600	0.02201880
87	0.61475500	0.59277900	0.02197640
88	0.61674100	0.59480500	0.02193520
89	0.61856800	0.59667200	0.02189610
90	0.62015200	0.59829500	0.02185640
91	0.62141400	0.59960100	0.02181370
92	0.62228800	0.60051900	0.02176920
93	0.62275900	0.60103700	0.02172210
94	0.62282300	0.60115000	0.02167280
95	0.62252300	0.60090400	0.02161950
96	0.62191400	0.60035100	0.02156310
97	0.62111500	0.59961300	0.02150160
98	0.62023600	0.59880000	0.02143630
99	0.61939300	0.59802600	0.02136670
100	0.61864100	0.59734600	0.02129540
101	0.61798800	0.59676600	0.02122250
102	0.61738800	0.59623900	0.02114890
103	0.61674100	0.59566800	0.02107290
104	0.61604900	0.59505200	0.02099670
105	0.61527500	0.59435600	0.02091870
106	0.61440000	0.59355800	0.02084200
