Time	Cd Total	Cd Pressure	Cd Viscous
1	-0.00843853	-0.00943970	0.00100117
2	0.00410485	0.00294410	0.00116075
3	0.01652030	0.01516770	0.00135264
4	0.02129960	0.01975740	0.00154219
5	0.01562560	0.01392780	0.00169785
6	0.00177427	-0.00001897	0.00179324
7	-0.01527910	-0.01712650	0.00184735
8	-0.03013940	-0.03201680	0.00187735
9	-0.03895450	-0.04084740	0.00189288
10	-0.04043510	-0.04233510	0.00189998
11	-0.03585290	-0.03775520	0.00190232
12	-0.02791720	-0.02981220	0.00189495
13	-0.01957250	-0.02144760	0.00187510
14	-0.01282190	-0.01466590	0.00184397
15	-0.00879539	-0.01060890	0.00181349
16	-0.00747171	-0.00925471	0.00178300
17	-0.00811125	-0.00986180	0.00175055
18	-0.00970856	-0.01142580	0.00171725
19	-0.01127920	-0.01296070	0.00168147
20	-0.01216060	-0.01380450	0.00164390
21	-0.01207450	-0.01368080	0.00160629
22	-0.01115880	-0.01273070	0.00157189
23	-0.00975620	-0.01129980	0.00154356
24	-0.00828931	-0.00981070	0.00152138
25	-0.00706661	-0.00857092	0.00150431
26	-0.00631429	-0.00780492	0.00149063
27	-0.00607312	-0.00755296	0.00147983
28	-0.00619191	-0.00766103	0.00146912
29	-0.00649178	-0.00794832	0.00145654
30	-0.00680896	-0.00825032	0.00144136
31	-0.00699296	-0.00841493	0.00142197
32	-0.00696692	-0.00836761	0.00140069
33	-0.00671903	-0.00809586	0.00137683
34	-0.00630798	-0.00766056	0.00135258
35	-0.00575088	-0.00707968	0.00132880
36	-0.00511204	-0.00642149	0.00130944
37	-0.00442995	-0.00572447	0.00129452
38	-0.00375960	-0.00504161	0.00128202
39	-0.00310853	-0.00437882	0.00127028
40	-0.00243562	-0.00369587	0.00126024
41	-0.00173831	-0.00299157	0.00125326
42	-0.00099612	-0.00224463	0.00124851
43	-0.00020851	-0.00145379	0.00124528
44	0.00060221	-0.00064031	0.00124251
45	0.00140018	0.00015892	0.00124125
46	0.00213527	0.00089330	0.00124197
47	0.00279175	0.00154829	0.00124346
48	0.00337036	0.00212580	0.00124456
49	0.00388218	0.00263804	0.00124414
50	0.00435374	0.00311151	0.00124223
51	0.00481308	0.00357407	0.00123901
52	0.00528454	0.00404931	0.00123523
53	0.00579569	0.00456463	0.00123106
54	0.00635855	0.00513232	0.00122623
55	0.00698724	0.00576643	0.00122081
56	0.00769800	0.00648307	0.00121493
57	0.00850753	0.00729951	0.00120802
58	0.00941738	0.00821742	0.00119997
59	0.01042730	0.00923698	0.00119035
60	0.01153620	0.01035660	0.00117962
61	0.01273550	0.01156820	0.00116737
62	0.01401590	0.01286250	0.00115344
63	0.01535210	0.01421410	0.00113792
64	0.01670950	0.01558840	0.00112116
65	0.01806640	0.01696290	0.00110343
66	0.01938950	0.01830430	0.00108525
67	0.02065360	0.01958650	0.00106706
68	0.02184470	0.02079540	0.00104934
69	0.02296060	0.02192830	0.00103233
70	0.02399690	0.02298040	0.00101644
71	0.02495390	0.02395250	0.00100143
72	0.02585160	0.02486400	0.00098762
73	0.02670170	0.02572690	0.00097478
74	0.02752080	0.02655840	0.00096241
75	0.02831690	0.02736670	0.00095025
76	0.02910270	0.02816450	0.00093818
77	0.02987780	0.02895200	0.00092575
78	0.03064340	0.02973060	0.00091279
79	0.03138290	0.03048260	0.00090033
80	0.03208500	0.03119750	0.00088744
81	0.03272920	0.03185480	0.00087432
82	0.03330910	0.03244880	0.00086035
83	0.03382230	0.03297620	0.00084610
84	0.03427690	0.03344540	0.00083154
85	0.03468650	0.03386990	0.00081665
86	0.03506450	0.03426290	0.00080160
87	0.03542180	0.03463500	0.00078679
88	0.03575700	0.03498480	0.00077225
89	0.03606450	0.03530640	0.00075808
90	0.03634220	0.03559890	0.00074333
91	0.03658640	0.03585880	0.00072755
92	0.03679510	0.03608340	0.00071176
93	0.03696020	0.03626450	0.00069572
94	0.03708590	0.03640570	0.00068012
95	0.03718410	0.03651950	0.00066465
96	0.03727330	0.03662310	0.00065023
97	0.03736990	0.03673350	0.00063641
98	0.03748010	0.03685670	0.00062340
99	0.03760770	0.03699690	0.00061086
100	0.03774720	0.03714800	0.00059926
101	0.03787060	0.03728300	0.00058759
102	0.03794540	0.03736880	0.00057656
103	0.03794040	0.03737510	0.00056536
104	0.03785540	0.03730050	0.00055489
105	0.03768460	0.03714060	0.00054409
106	0.03743200	0.03689670	0.00053535
107	0.03709740	0.03656950	0.00052789
108	0.03669570	0.03617200	0.00052371
109	0.03622710	0.03570470	0.00052247
110	0.03570360	0.03517870	0.00052486
111	0.03513880	0.03460900	0.00052989
112	0.03456540	0.03402810	0.00053724
113	0.03401580	0.03347040	0.00054546
114	0.03350140	0.03294730	0.00055417
115	0.03300600	0.03244420	0.00056181
116	0.03251130	0.03194430	0.00056705
117	0.03202160	0.03145180	0.00056982
118	0.03153980	0.03096840	0.00057136
119	0.03106730	0.03049580	0.00057151
120	0.03060250	0.03003230	0.00057019
121	0.03014740	0.02958060	0.00056684
122	0.02970210	0.02913930	0.00056277
123	0.02928750	0.02873000	0.00055756
124	0.02892560	0.02837450	0.00055115
125	0.02863030	0.02808640	0.00054396
126	0.02843330	0.02789740	0.00053589
127	0.02834090	0.02781370	0.00052724
128	0.02831100	0.02779260	0.00051846
129	0.02830230	0.02779130	0.00051100
130	0.02826750	0.02776290	0.00050461
131	0.02816250	0.02766280	0.00049973
132	0.02795790	0.02746190	0.00049602
133	0.02762460	0.02713110	0.00049350
134	0.02713990	0.02664640	0.00049349
135	0.02651530	0.02601890	0.00049641
136	0.02578170	0.02528000	0.00050169
137	0.02498910	0.02448020	0.00050889
138	0.02417490	0.02365730	0.00051755
139	0.02336680	0.02283850	0.00052823
140	0.02258080	0.02204030	0.00054054
141	0.02184720	0.02129330	0.00055396
142	0.02119500	0.02062820	0.00056685
143	0.02065380	0.02007550	0.00057835
144	0.02023760	0.01964990	0.00058777
145	0.01996610	0.01937060	0.00059547
146	0.01985040	0.01924870	0.00060169
147	0.01989490	0.01928820	0.00060675
148	0.02009740	0.01948680	0.00061056
149	0.02044220	0.01982940	0.00061279
150	0.02090910	0.02029580	0.00061331
151	0.02148290	0.02087100	0.00061192
152	0.02213640	0.02152750	0.00060896
153	0.02286250	0.02225800	0.00060447
154	0.02364640	0.02304800	0.00059844
155	0.02447570	0.02388430	0.00059134
156	0.02532100	0.02473790	0.00058315
157	0.02616090	0.02558760	0.00057336
158	0.02697340	0.02641190	0.00056144
159	0.02774510	0.02719760	0.00054757
160	0.02844660	0.02791460	0.00053199
161	0.02905110	0.02853650	0.00051463
162	0.02953370	0.02903760	0.00049619
163	0.02988720	0.02940990	0.00047730
164	0.03011820	0.02965980	0.00045839
165	0.03023800	0.02979760	0.00044038
166	0.03027540	0.02985170	0.00042370
167	0.03025550	0.02984650	0.00040903
168	0.03020020	0.02980340	0.00039680
169	0.03012640	0.02973900	0.00038744
170	0.03003450	0.02965350	0.00038096
171	0.02992040	0.02954330	0.00037710
172	0.02977940	0.02940430	0.00037509
173	0.02961120	0.02923710	0.00037408
174	0.02941770	0.02904430	0.00037342
175	0.02921400	0.02884130	0.00037264
176	0.02903170	0.02866040	0.00037127
177	0.02890610	0.02853730	0.00036873
178	0.02887970	0.02851460	0.00036510
179	0.02899380	0.02863360	0.00036020
180	0.02927630	0.02892150	0.00035484
181	0.02972980	0.02937930	0.00035046
182	0.03032290	0.02997480	0.00034814
183	0.03101230	0.03066340	0.00034891
184	0.03175700	0.03140430	0.00035275
185	0.03251220	0.03215320	0.00035901
186	0.03324710	0.03288040	0.00036675
187	0.03394120	0.03356550	0.00037566
188	0.03458190	0.03419680	0.00038517
189	0.03517950	0.03478440	0.00039505
190	0.03573800	0.03533300	0.00040501
191	0.03626570	0.03585110	0.00041457
192	0.03676670	0.03634360	0.00042313
