Time	Cd Total	Cd Pressure	Cd Viscous
1	-0.00455684	-0.01364870	0.00909183
2	0.04765080	0.03591580	0.01173510
3	0.10369900	0.08903180	0.01466710
4	0.13744700	0.11995800	0.01748900
5	0.13997400	0.12007900	0.01989570
6	0.11619700	0.09445840	0.02173880
7	0.07995440	0.05694590	0.02300850
8	0.04573790	0.02199870	0.02373920
9	0.02525920	0.00126756	0.02399170
10	0.02309790	-0.00078724	0.02388510
11	0.03658140	0.01308490	0.02349650
12	0.05887230	0.03596680	0.02290560
13	0.08182030	0.05964030	0.02218000
14	0.09889710	0.07751720	0.02137980
15	0.10697400	0.08642410	0.02054990
16	0.10639600	0.08667040	0.01972570
17	0.10001100	0.08107730	0.01893360
18	0.09138410	0.07320010	0.01818400
19	0.08389990	0.06640540	0.01749450
20	0.07977730	0.06290240	0.01687490
21	0.07958440	0.06325890	0.01632550
22	0.08268510	0.06684190	0.01584320
23	0.08769730	0.07227380	0.01542360
24	0.09317850	0.07811890	0.01505960
25	0.09810700	0.08335810	0.01474880
26	0.10188400	0.08739790	0.01448610
27	0.10448900	0.09022470	0.01426460
28	0.10639700	0.09231990	0.01407720
29	0.10811700	0.09419790	0.01391890
30	0.11013900	0.09635420	0.01378480
31	0.11272100	0.09905120	0.01366970
32	0.11593700	0.10236800	0.01356880
33	0.11954900	0.10606900	0.01347940
34	0.12318000	0.10978300	0.01339720
35	0.12650300	0.11318300	0.01332030
36	0.12932300	0.11607400	0.01324870
37	0.13160100	0.11841900	0.01318150
38	0.13344800	0.12033100	0.01311770
39	0.13500700	0.12195100	0.01305680
40	0.13646800	0.12347000	0.01299740
41	0.13796900	0.12503100	0.01293760
42	0.13961700	0.12674100	0.01287640
43	0.14149100	0.12867700	0.01281350
44	0.14358500	0.13083700	0.01274790
45	0.14587600	0.13319600	0.01268030
46	0.14834800	0.13573600	0.01261150
47	0.15094700	0.13840600	0.01254120
48	0.15364300	0.14117300	0.01246970
49	0.15637200	0.14397400	0.01239790
50	0.15910200	0.14677400	0.01232770
51	0.16180200	0.14954100	0.01226100
52	0.16447000	0.15227200	0.01219880
53	0.16712400	0.15498300	0.01214100
54	0.16974300	0.15765600	0.01208720
55	0.17237100	0.16033400	0.01203680
56	0.17496200	0.16297300	0.01198890
57	0.17753700	0.16559300	0.01194410
58	0.18006300	0.16816000	0.01190220
59	0.18254300	0.17068100	0.01186140
60	0.18489900	0.17307900	0.01182020
61	0.18710000	0.17532200	0.01177760
62	0.18912500	0.17739300	0.01173290
63	0.19101900	0.17933200	0.01168610
64	0.19281700	0.18117900	0.01163750
65	0.19455900	0.18297200	0.01158710
66	0.19626300	0.18472900	0.01153470
67	0.19798400	0.18650400	0.01148000
68	0.19972500	0.18830200	0.01142340
69	0.20152400	0.19015900	0.01136500
70	0.20338000	0.19207400	0.01130550
71	0.20530300	0.19405700	0.01124590
72	0.20730500	0.19611900	0.01118630
73	0.20937000	0.19824300	0.01112720
74	0.21145400	0.20038400	0.01106970
75	0.21353800	0.20252300	0.01101470
76	0.21557200	0.20460800	0.01096370
77	0.21753700	0.20662000	0.01091680
78	0.21938500	0.20851000	0.01087470
79	0.22112900	0.21029000	0.01083850
80	0.22273500	0.21192700	0.01080820
81	0.22418000	0.21339600	0.01078360
82	0.22546200	0.21469800	0.01076450
83	0.22661500	0.21586400	0.01075080
84	0.22764700	0.21690400	0.01074230
85	0.22851300	0.21777400	0.01073880
86	0.22919200	0.21845300	0.01073990
87	0.22968400	0.21893900	0.01074520
88	0.22997600	0.21922200	0.01075410
89	0.23005900	0.21929400	0.01076540
90	0.22991500	0.21913700	0.01077850
91	0.22954900	0.21875600	0.01079250
92	0.22896300	0.21815600	0.01080700
93	0.22820600	0.21738400	0.01082190
94	0.22729800	0.21646200	0.01083680
95	0.22625600	0.21540500	0.01085110
96	0.22510100	0.21423700	0.01086390
97	0.22388100	0.21300600	0.01087460
98	0.22264400	0.21176100	0.01088300
99	0.22143100	0.21054200	0.01088850
100	0.22026400	0.20937200	0.01089170
101	0.21915900	0.20826600	0.01089250
102	0.21810000	0.20721100	0.01088990
103	0.21706300	0.20617900	0.01088400
104	0.21605500	0.20518000	0.01087520
105	0.21507600	0.20421200	0.01086340
106	0.21411300	0.20326400	0.01084900
107	0.21315400	0.20232200	0.01083210
108	0.21216200	0.20134900	0.01081270
109	0.21114100	0.20034900	0.01079170
110	0.21009800	0.19932800	0.01076970
111	0.20903200	0.19828500	0.01074710
112	0.20794500	0.19721900	0.01072520
113	0.20684300	0.19613800	0.01070500
114	0.20575300	0.19506600	0.01068710
115	0.20470700	0.19403500	0.01067180
116	0.20375900	0.19310000	0.01065910
117	0.20296700	0.19231700	0.01064970
118	0.20236600	0.19172300	0.01064320
119	0.20198400	0.19134300	0.01064030
120	0.20180400	0.19116200	0.01064200
121	0.20181100	0.19116400	0.01064770
122	0.20197400	0.19131700	0.01065710
123	0.20229000	0.19162000	0.01066960
124	0.20272700	0.19204200	0.01068450
125	0.20326500	0.19256400	0.01070090
126	0.20387800	0.19316000	0.01071810
127	0.20455400	0.19381800	0.01073560
128	0.20526100	0.19450800	0.01075230
129	0.20597700	0.19521200	0.01076540
130	0.20663900	0.19585800	0.01078060
131	0.20722100	0.19642600	0.01079520
132	0.20770000	0.19689200	0.01080800
133	0.20803400	0.19721700	0.01081710
134	0.20817900	0.19735600	0.01082310
135	0.20813800	0.19731200	0.01082550
136	0.20790800	0.19708300	0.01082490
137	0.20747800	0.19665800	0.01082060
138	0.20688400	0.19607000	0.01081400
139	0.20613200	0.19532700	0.01080510
140	0.20523900	0.19444500	0.01079380
141	0.20421600	0.19343500	0.01078130
142	0.20308200	0.19231400	0.01076830
143	0.20185700	0.19110000	0.01075650
144	0.20054500	0.18979900	0.01074560
145	0.19916200	0.18842500	0.01073760
146	0.19769000	0.18695700	0.01073220
147	0.19616500	0.18543600	0.01072920
148	0.19463600	0.18390800	0.01072770
149	0.19315900	0.18243200	0.01072690
150	0.19175800	0.18103200	0.01072610
151	0.19046300	0.17973800	0.01072540
152	0.18927000	0.17854500	0.01072410
153	0.18819500	0.17747300	0.01072210
154	0.18724000	0.17652000	0.01071940
155	0.18641200	0.17569600	0.01071600
156	0.18571200	0.17500200	0.01071040
157	0.18513100	0.17443000	0.01070160
158	0.18465800	0.17396800	0.01069000
159	0.18427500	0.17359900	0.01067570
160	0.18396100	0.17330200	0.01065950
161	0.18370500	0.17306300	0.01064190
162	0.18349100	0.17286800	0.01062310
163	0.18329200	0.17268900	0.01060300
164	0.18307800	0.17249600	0.01058170
165	0.18284600	0.17228800	0.01055860
166	0.18261400	0.17208100	0.01053350
167	0.18239600	0.17189000	0.01050650
168	0.18214800	0.17167100	0.01047720
169	0.18189700	0.17145200	0.01044570
170	0.18164200	0.17123000	0.01041250
171	0.18140400	0.17102600	0.01037810
172	0.18116500	0.17082200	0.01034310
173	0.18093800	0.17063000	0.01030790
174	0.18070000	0.17042700	0.01027280
175	0.18042500	0.17018600	0.01023820
176	0.18010500	0.16990000	0.01020470
177	0.17978800	0.16961600	0.01017240
178	0.17947800	0.16933600	0.01014180
179	0.17920400	0.16909100	0.01011260
180	0.17895100	0.16886600	0.01008520
181	0.17876100	0.16870200	0.01005940
182	0.17860800	0.16857200	0.01003560
183	0.17852500	0.16851100	0.01001360
184	0.17848300	0.16848900	0.00999351
185	0.17849100	0.16851600	0.00997512
186	0.17854200	0.16858300	0.00995845
187	0.17864600	0.16870200	0.00994346
188	0.17878700	0.16885600	0.00993015
189	0.17896700	0.16904900	0.00991843
190	0.17917000	0.16926200	0.00990816
191	0.17937600	0.16947700	0.00989926
