# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.450000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.639824e-01	-1.345433e-01	3.985256e-01	-7.498159e-01	-5.720617e-01	-1.777542e-01	-1.971538e-01	-2.665345e-01	4.803610e-02	5.047448e-01	3.004085e-01	2.043363e-01
2             	4.378335e-01	-2.192182e-01	6.570517e-01	-5.419603e-01	-4.247334e-01	-1.172268e-01	-1.537533e-01	-4.381350e-01	8.235542e-02	1.224140e+00	6.944253e-01	5.297145e-01
3             	6.060085e-01	-2.896265e-01	8.956350e-01	-3.321535e-01	-2.919018e-01	-4.025174e-02	-1.258250e-01	-5.926307e-01	1.129069e-01	1.881134e+00	1.053474e+00	8.276600e-01
4             	6.917093e-01	-3.411891e-01	1.032898e+00	-1.655110e-01	-2.104527e-01	4.494166e-02	-1.276972e-01	-6.870437e-01	1.402534e-01	2.299269e+00	1.289888e+00	1.009381e+00
5             	6.674345e-01	-3.755853e-01	1.043020e+00	-5.992996e-02	-1.890636e-01	1.291336e-01	-1.590986e-01	-7.093025e-01	1.644811e-01	2.427886e+00	1.378424e+00	1.049462e+00
6             	5.548007e-01	-3.951222e-01	9.499229e-01	-8.620891e-03	-2.151050e-01	2.064841e-01	-2.107945e-01	-6.725226e-01	1.840658e-01	2.319205e+00	1.343668e+00	9.755368e-01
7             	4.037508e-01	-4.014460e-01	8.051968e-01	5.502473e-03	-2.652155e-01	2.707180e-01	-2.679667e-01	-6.033214e-01	1.971117e-01	2.077899e+00	1.236061e+00	8.418379e-01
8             	2.671118e-01	-3.958582e-01	6.629700e-01	1.014176e-02	-3.165288e-01	3.266705e-01	-3.215997e-01	-5.294141e-01	2.024916e-01	1.816718e+00	1.110851e+00	7.058676e-01
9             	1.832889e-01	-3.800327e-01	5.633217e-01	2.301876e-02	-3.503731e-01	3.733919e-01	-3.618825e-01	-4.716772e-01	2.008265e-01	1.619939e+00	1.010796e+00	6.091428e-01
10            	1.667394e-01	-3.580514e-01	5.247907e-01	4.337785e-02	-3.575989e-01	4.009767e-01	-3.792878e-01	-4.414211e-01	1.932516e-01	1.525933e+00	9.562181e-01	5.697150e-01
