# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-8.438526e-03	-3.793207e-02	2.949355e-02	-1.991862e-02	-2.102866e-02	1.110040e-03	-1.106935e-02	-3.371281e-02	-8.708072e-02	1.713449e-01	-1.408284e-03	1.727532e-01
2             	4.104852e-03	-5.204032e-02	5.614517e-02	-2.747966e-02	-2.679961e-02	-6.800446e-04	-1.305978e-02	-5.409274e-02	-1.563591e-01	2.966729e-01	-8.022658e-03	3.046955e-01
3             	1.652031e-02	-6.380357e-02	8.032388e-02	-3.397070e-02	-3.150627e-02	-2.464430e-03	-1.452092e-02	-7.206372e-02	-2.177021e-01	4.068901e-01	-1.425705e-02	4.211472e-01
4             	2.129956e-02	-7.227298e-02	9.357254e-02	-3.792509e-02	-3.474934e-02	-3.175748e-03	-1.578680e-02	-8.292276e-02	-2.531917e-01	4.723528e-01	-1.701534e-02	4.893681e-01
5             	1.562562e-02	-7.778957e-02	9.341519e-02	-3.900980e-02	-3.659988e-02	-2.409923e-03	-1.709498e-02	-8.560238e-02	-2.588531e-01	4.869415e-01	-1.538241e-02	5.023239e-01
6             	1.774273e-03	-8.091538e-02	8.268966e-02	-3.772298e-02	-3.724005e-02	-4.829330e-04	-1.837856e-02	-8.180252e-02	-2.414476e-01	4.620912e-01	-1.040203e-02	4.724932e-01
7             	-1.527913e-02	-8.211270e-02	6.683357e-02	-3.492535e-02	-3.682785e-02	1.902493e-03	-1.936517e-02	-7.447313e-02	-2.125651e-01	4.169822e-01	-4.074028e-03	4.210563e-01
8             	-3.013943e-02	-8.168001e-02	5.154058e-02	-3.141036e-02	-3.539240e-02	3.982040e-03	-1.968722e-02	-6.661030e-02	-1.839275e-01	3.710078e-01	1.576353e-03	3.694314e-01
9             	-3.895448e-02	-7.987071e-02	4.091622e-02	-2.785558e-02	-3.306609e-02	5.210506e-03	-1.913830e-02	-6.039346e-02	-1.636802e-01	3.376284e-01	5.134052e-03	3.324944e-01
10            	-4.043511e-02	-7.714526e-02	3.671015e-02	-2.487180e-02	-3.027570e-02	5.403895e-03	-1.783980e-02	-5.692771e-02	-1.552942e-01	3.228166e-01	6.114071e-03	3.167025e-01
11            	-3.585288e-02	-7.398855e-02	3.813567e-02	-2.234886e-02	-2.709277e-02	4.743913e-03	-1.591834e-02	-5.606211e-02	-1.577954e-01	3.254456e-01	4.927381e-03	3.205182e-01
12            	-2.791722e-02	-7.084061e-02	4.292339e-02	-1.986868e-02	-2.348308e-02	3.614398e-03	-1.354874e-02	-5.688200e-02	-1.674045e-01	3.397130e-01	2.451980e-03	3.372610e-01
13            	-1.957250e-02	-6.807329e-02	4.850079e-02	-1.720576e-02	-1.963773e-02	2.431969e-03	-1.103485e-02	-5.828704e-02	-1.793973e-01	3.580998e-01	-3.473590e-04	3.584472e-01
14            	-1.282191e-02	-6.584860e-02	5.302669e-02	-1.429732e-02	-1.577487e-02	1.477550e-03	-8.626211e-03	-5.943764e-02	-1.903246e-01	3.750831e-01	-2.783056e-03	3.778662e-01
15            	-8.795389e-03	-6.418636e-02	5.539097e-02	-1.108842e-02	-1.199837e-02	9.099529e-04	-6.454161e-03	-5.978867e-02	-1.979658e-01	3.870516e-01	-4.440039e-03	3.914916e-01
16            	-7.471707e-03	-6.298351e-02	5.551180e-02	-7.760953e-03	-8.486266e-03	7.253122e-04	-4.605789e-03	-5.924765e-02	-2.017590e-01	3.929828e-01	-5.267633e-03	3.982504e-01
17            	-8.111252e-03	-6.209630e-02	5.398505e-02	-4.571872e-03	-5.389761e-03	8.178888e-04	-3.103825e-03	-5.804067e-02	-2.023810e-01	3.938817e-01	-5.440116e-03	3.993218e-01
18            	-9.708557e-03	-6.134194e-02	5.163338e-02	-1.671859e-03	-2.717188e-03	1.045329e-03	-1.881259e-03	-5.648766e-02	-2.010306e-01	3.916051e-01	-5.228085e-03	3.968332e-01
19            	-1.127922e-02	-6.057057e-02	4.929135e-02	7.884034e-04	-4.801624e-04	1.268566e-03	-8.743641e-04	-5.493096e-02	-1.989814e-01	3.881379e-01	-4.912471e-03	3.930504e-01
20            	-1.216060e-02	-5.966281e-02	4.750222e-02	2.859292e-03	1.465942e-03	1.393351e-03	3.629532e-05	-5.358252e-02	-1.972156e-01	3.850431e-01	-4.694039e-03	3.897371e-01
21            	-1.207452e-02	-5.861249e-02	4.653797e-02	4.526528e-03	3.145969e-03	1.380559e-03	8.827049e-04	-5.257523e-02	-1.962571e-01	3.831568e-01	-4.678672e-03	3.878355e-01
22            	-1.115882e-02	-5.749184e-02	4.633303e-02	5.878674e-03	4.629126e-03	1.249548e-03	1.689789e-03	-5.191243e-02	-1.961981e-01	3.826854e-01	-4.855374e-03	3.875407e-01
