# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.413722e-02	-1.833905e-02	3.247627e-02	1.434909e-02	2.117445e-03	1.223165e-02	-5.057101e-03	-2.540766e-02	9.452886e-02	1.987265e-01	1.938921e-01	4.834360e-03
2             	3.726876e-02	-2.615452e-02	6.342328e-02	8.838602e-03	5.413857e-03	3.424745e-03	9.945560e-04	-4.478890e-02	1.441028e-01	3.158494e-01	3.020275e-01	1.382190e-02
3             	5.884205e-02	-3.250757e-02	9.134962e-02	3.935404e-03	8.507061e-03	-4.571657e-03	6.539359e-03	-6.192860e-02	1.873876e-01	4.191702e-01	3.969727e-01	2.219747e-02
4             	6.904886e-02	-3.769703e-02	1.067459e-01	1.640398e-03	9.999361e-03	-8.358963e-03	9.179162e-03	-7.222147e-02	2.151411e-01	4.828694e-01	4.565758e-01	2.629356e-02
5             	6.495442e-02	-4.229782e-02	1.072522e-01	1.958480e-03	9.465624e-03	-7.507144e-03	8.486384e-03	-7.477503e-02	2.254292e-01	5.011251e-01	4.759917e-01	2.513337e-02
6             	4.964651e-02	-4.632626e-02	9.597277e-02	4.354305e-03	7.336570e-03	-2.982265e-03	5.159417e-03	-7.114952e-02	2.215490e-01	4.829546e-01	4.630263e-01	1.992828e-02
7             	2.963718e-02	-4.933612e-02	7.897330e-02	7.702981e-03	4.534262e-03	3.168720e-03	6.827710e-04	-6.415471e-02	2.090831e-01	4.442531e-01	4.312096e-01	1.304348e-02
8             	1.172107e-02	-5.077176e-02	6.249283e-02	1.096143e-02	2.018578e-03	8.942855e-03	-3.462138e-03	-5.663229e-02	1.938428e-01	4.014093e-01	3.945474e-01	6.861893e-03
9             	5.871057e-04	-5.044030e-02	5.102741e-02	1.343113e-02	4.580538e-04	1.297308e-02	-6.257513e-03	-5.073385e-02	1.806901e-01	3.673175e-01	3.643488e-01	2.968700e-03
10            	-2.259171e-03	-4.873413e-02	4.647496e-02	1.426060e-02	6.652793e-05	1.419407e-02	-7.063770e-03	-4.760455e-02	1.717119e-01	3.471944e-01	3.453091e-01	1.885247e-03
11            	1.924972e-03	-4.615950e-02	4.808447e-02	1.375556e-02	6.654374e-04	1.309012e-02	-6.212341e-03	-4.712199e-02	1.673332e-01	3.410596e-01	3.378630e-01	3.196595e-03
12            	1.020101e-02	-4.336903e-02	5.357004e-02	1.254430e-02	1.839477e-03	1.070483e-02	-4.432675e-03	-4.846954e-02	1.666820e-01	3.452515e-01	3.393077e-01	5.943774e-03
13            	1.928655e-02	-4.092880e-02	6.021534e-02	1.124823e-02	3.124993e-03	8.123233e-03	-2.499120e-03	-5.057207e-02	1.680676e-01	3.542591e-01	3.451972e-01	9.061938e-03
14            	2.671759e-02	-3.912889e-02	6.584648e-02	1.031409e-02	4.173842e-03	6.140243e-03	-9.832003e-04	-5.248769e-02	1.697064e-01	3.629005e-01	3.511567e-01	1.174384e-02
15            	3.131982e-02	-3.802003e-02	6.933984e-02	9.845395e-03	4.820676e-03	5.024720e-03	-1.020219e-04	-5.367994e-02	1.703622e-01	3.678944e-01	3.543094e-01	1.358501e-02
16            	3.305766e-02	-3.741876e-02	7.047642e-02	9.858485e-03	5.063361e-03	4.795124e-03	1.341185e-04	-5.394759e-02	1.694308e-01	3.679363e-01	3.533990e-01	1.453733e-02
17            	3.279313e-02	-3.706771e-02	6.986084e-02	1.006923e-02	5.022950e-03	5.046276e-03	-1.166294e-05	-5.346427e-02	1.668881e-01	3.634389e-01	3.486075e-01	1.483134e-02
18            	3.164882e-02	-3.667430e-02	6.832312e-02	1.035582e-02	4.857534e-03	5.498283e-03	-3.203745e-04	-5.249871e-02	1.631520e-01	3.558663e-01	3.410852e-01	1.478113e-02
19            	3.055404e-02	-3.614623e-02	6.670027e-02	1.049270e-02	4.700660e-03	5.792040e-03	-5.456900e-04	-5.142325e-02	1.590482e-01	3.473836e-01	3.327400e-01	1.464360e-02
20            	3.031696e-02	-3.541023e-02	6.572719e-02	1.018868e-02	4.666106e-03	5.522570e-03	-4.282324e-04	-5.056871e-02	1.550699e-01	3.394908e-01	3.248152e-01	1.467551e-02
21            	3.111710e-02	-3.448011e-02	6.559721e-02	9.561755e-03	4.779610e-03	4.782145e-03	-1.267363e-06	-5.003866e-02	1.516732e-01	3.332342e-01	3.182902e-01	1.494392e-02
22            	3.284249e-02	-3.340758e-02	6.625007e-02	8.759532e-03	5.025173e-03	3.734359e-03	6.454072e-04	-4.982882e-02	1.490175e-01	3.289059e-01	3.134704e-01	1.543548e-02
23            	3.499538e-02	-3.231948e-02	6.731486e-02	8.093853e-03	5.331632e-03	2.762221e-03	1.284706e-03	-4.981717e-02	1.472359e-01	3.265117e-01	3.104917e-01	1.601992e-02
24            	3.710945e-02	-3.132313e-02	6.843257e-02	7.737257e-03	5.632465e-03	2.104792e-03	1.763836e-03	-4.987785e-02	1.462369e-01	3.256339e-01	3.090539e-01	1.658006e-02
25            	3.887794e-02	-3.046917e-02	6.934711e-02	7.733563e-03	5.884003e-03	1.849560e-03	2.017222e-03	-4.990814e-02	1.457716e-01	3.256371e-01	3.085901e-01	1.704699e-02
26            	4.014210e-02	-2.978191e-02	6.992400e-02	8.027801e-03	6.063827e-03	1.963974e-03	2.049926e-03	-4.985296e-02	1.456220e-01	3.260191e-01	3.086315e-01	1.738759e-02
