# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	DILUPBiCGStab	6.947060e-02	2.898860e-04	2	9.299590e-02	3.020680e-04	2	2.902000e-01	9.572560e-04	2	false	DILUPBiCGStab	1.000000e+00	3.161790e-03	2	true	DILUPBiCGStab	4.566840e-03	1.288020e-05	2	true	GAMGPCG	2.163690e-01	6.576060e-04	4	true
2             	DILUPBiCGStab	5.312670e-02	2.353470e-04	2	4.351910e-02	1.885240e-04	2	1.785100e-01	1.771910e-03	2	false	DILUPBiCGStab	1.251150e-01	4.003410e-04	2	true	DILUPBiCGStab	1.772790e-03	8.582790e-06	2	true	GAMGPCG	2.617270e-01	2.265290e-03	3	true
3             	DILUPBiCGStab	4.624470e-02	1.678050e-04	3	2.433100e-02	1.149410e-04	2	1.195460e-01	4.266740e-04	2	false	DILUPBiCGStab	5.216990e-02	4.954960e-04	2	true	DILUPBiCGStab	2.052510e-03	7.638150e-06	2	true	GAMGPCG	2.541310e-01	9.385970e-04	4	true
4             	DILUPBiCGStab	4.420590e-02	3.939860e-04	2	1.810380e-02	9.842480e-05	3	8.439000e-02	3.702800e-04	2	false	DILUPBiCGStab	3.108280e-02	2.802930e-04	2	true	DILUPBiCGStab	2.198560e-03	6.952000e-06	2	true	GAMGPCG	1.858330e-01	1.337060e-03	3	true
5             	DILUPBiCGStab	4.187080e-02	3.357010e-04	2	1.866980e-02	1.060160e-04	3	6.809520e-02	1.347460e-04	3	false	DILUPBiCGStab	2.152590e-02	2.052360e-04	2	true	DILUPBiCGStab	2.277870e-03	6.297340e-06	2	true	GAMGPCG	1.570300e-01	1.426240e-03	3	true
6             	DILUPBiCGStab	3.630430e-02	2.341850e-04	2	1.750330e-02	8.518420e-05	2	5.893440e-02	4.340000e-04	2	false	DILUPBiCGStab	1.637260e-02	1.565260e-04	2	true	DILUPBiCGStab	2.363450e-03	5.976580e-06	2	true	GAMGPCG	1.556440e-01	9.163540e-04	3	true
7             	DILUPBiCGStab	2.957700e-02	1.427920e-04	2	1.470160e-02	6.255870e-05	2	5.037470e-02	9.867570e-05	3	false	DILUPBiCGStab	1.308680e-02	1.167300e-04	2	true	DILUPBiCGStab	2.387960e-03	5.710950e-06	2	true	GAMGPCG	1.635580e-01	6.515270e-04	4	true
8             	DILUPBiCGStab	2.464340e-02	1.044760e-04	2	1.183700e-02	4.993050e-05	2	4.210430e-02	7.223490e-05	3	false	DILUPBiCGStab	1.074060e-02	8.764300e-05	2	true	DILUPBiCGStab	2.296320e-03	2.281840e-05	2	true	GAMGPCG	1.732630e-01	1.234430e-03	3	true
9             	DILUPBiCGStab	2.352050e-02	1.169750e-04	2	1.054110e-02	4.855590e-05	2	3.499770e-02	5.407830e-05	3	false	DILUPBiCGStab	9.037060e-03	7.466520e-05	2	true	DILUPBiCGStab	2.154960e-03	2.094450e-05	2	true	GAMGPCG	1.826520e-01	6.883740e-04	4	true
10            	DILUPBiCGStab	2.370590e-02	1.357830e-04	2	1.108170e-02	6.773800e-05	3	3.037200e-02	4.821630e-05	3	false	DILUPBiCGStab	7.739080e-03	6.021200e-05	2	true	DILUPBiCGStab	1.995000e-03	1.863590e-05	2	true	GAMGPCG	1.915630e-01	9.685600e-04	3	true
11            	DILUPBiCGStab	2.309960e-02	1.064860e-04	2	1.157470e-02	2.972200e-05	3	2.716360e-02	2.314780e-04	2	false	DILUPBiCGStab	6.814670e-03	5.398490e-05	2	true	DILUPBiCGStab	1.843390e-03	1.731510e-05	2	true	GAMGPCG	1.968450e-01	1.519740e-03	3	true
