# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.688163e-02	1.667958e-02	2.020204e-02	2.475038e-02	2.048292e-02	4.267467e-03	8.107725e-03	-1.761230e-03	-1.043523e-03	4.554011e-03	1.233482e-03	3.320529e-03
2             	6.316886e-02	2.635961e-02	3.680926e-02	3.159885e-02	3.640636e-02	-4.807512e-03	2.060694e-02	-5.224824e-03	1.844193e-04	1.084889e-02	5.608863e-03	5.240025e-03
3             	8.309583e-02	3.331539e-02	4.978044e-02	3.611796e-02	4.860066e-02	-1.248270e-02	3.054168e-02	-8.232528e-03	1.368889e-03	1.618169e-02	9.459736e-03	6.721959e-03
4             	9.330218e-02	3.667245e-02	5.662974e-02	3.958757e-02	5.481547e-02	-1.522790e-02	3.502169e-02	-9.978645e-03	2.280712e-03	1.948468e-02	1.202305e-02	7.461629e-03
5             	9.239388e-02	3.576115e-02	5.663273e-02	4.099490e-02	5.421748e-02	-1.322258e-02	3.372003e-02	-1.043579e-02	2.886509e-03	2.054178e-02	1.315740e-02	7.384382e-03
6             	8.327349e-02	3.169371e-02	5.157978e-02	3.977779e-02	4.865445e-02	-8.876664e-03	2.876556e-02	-9.943032e-03	3.143057e-03	1.975112e-02	1.301862e-02	6.732501e-03
7             	7.073060e-02	2.642038e-02	4.431021e-02	3.644326e-02	4.106918e-02	-4.625925e-03	2.284756e-02	-8.944915e-03	3.076612e-03	1.786631e-02	1.200977e-02	5.856545e-03
8             	5.871374e-02	2.150035e-02	3.721339e-02	3.259214e-02	3.384397e-02	-1.251837e-03	1.754791e-02	-7.856519e-03	2.831592e-03	1.573978e-02	1.070148e-02	5.038300e-03
9             	4.926898e-02	1.764534e-02	3.162364e-02	2.897415e-02	2.823551e-02	7.386420e-04	1.374843e-02	-6.989147e-03	2.572374e-03	1.398307e-02	9.563907e-03	4.419159e-03
10            	4.312593e-02	1.514868e-02	2.797725e-02	2.671285e-02	2.464187e-02	2.070978e-03	1.128545e-02	-6.414285e-03	2.416805e-03	1.289379e-02	8.863700e-03	4.030089e-03
11            	4.001667e-02	1.394226e-02	2.607442e-02	2.567830e-02	2.290449e-02	2.773805e-03	1.006534e-02	-6.066081e-03	2.351670e-03	1.239151e-02	8.547427e-03	3.844087e-03
12            	3.907737e-02	1.367101e-02	2.540636e-02	2.562362e-02	2.247934e-02	3.144282e-03	9.667529e-03	-5.867676e-03	2.346581e-03	1.228680e-02	8.489980e-03	3.796818e-03
13            	3.937953e-02	1.398948e-02	2.539005e-02	2.634781e-02	2.276819e-02	3.579622e-03	9.594282e-03	-5.700281e-03	2.336209e-03	1.232252e-02	8.497466e-03	3.825049e-03
14            	4.012195e-02	1.457749e-02	2.554445e-02	2.746435e-02	2.327434e-02	4.190016e-03	9.542161e-03	-5.483481e-03	2.270217e-03	1.229207e-02	8.416253e-03	3.875820e-03
15            	4.066180e-02	1.515477e-02	2.550702e-02	2.863193e-02	2.360868e-02	5.023254e-03	9.292712e-03	-5.176124e-03	2.132572e-03	1.207876e-02	8.171950e-03	3.906805e-03
16            	4.075999e-02	1.560071e-02	2.515928e-02	2.960983e-02	2.363809e-02	5.971737e-03	8.833176e-03	-4.779284e-03	1.931653e-03	1.166158e-02	7.762443e-03	3.899138e-03
17            	4.041171e-02	1.589439e-02	2.451732e-02	3.030756e-02	2.337526e-02	6.932298e-03	8.221480e-03	-4.311462e-03	1.693853e-03	1.108345e-02	7.235579e-03	3.847873e-03
18            	3.971514e-02	1.605640e-02	2.365874e-02	3.093134e-02	2.288043e-02	8.050908e-03	7.414760e-03	-3.801172e-03	1.459761e-03	1.043416e-02	6.676842e-03	3.757320e-03
19            	3.890616e-02	1.616334e-02	2.274283e-02	3.163631e-02	2.230166e-02	9.334643e-03	6.483511e-03	-3.289743e-03	1.258372e-03	9.804856e-03	6.160800e-03	3.644056e-03
20            	3.817851e-02	1.626830e-02	2.191021e-02	3.256923e-02	2.175909e-02	1.081013e-02	5.474480e-03	-2.820957e-03	1.112198e-03	9.276892e-03	5.750644e-03	3.526248e-03
21            	3.761442e-02	1.638200e-02	2.123242e-02	3.379622e-02	2.130552e-02	1.249069e-02	4.407413e-03	-2.425211e-03	1.034135e-03	8.897503e-03	5.482887e-03	3.414616e-03
22            	3.719852e-02	1.648609e-02	2.071243e-02	3.528072e-02	2.093558e-02	1.434514e-02	3.295217e-03	-2.113171e-03	1.022600e-03	8.669197e-03	5.357199e-03	3.311999e-03
23            	3.687716e-02	1.655334e-02	2.032382e-02	3.687438e-02	2.062523e-02	1.624915e-02	2.188038e-03	-1.885242e-03	1.061775e-03	8.562974e-03	5.343262e-03	3.219712e-03
24            	3.659963e-02	1.655830e-02	2.004134e-02	3.838120e-02	2.035358e-02	1.802762e-02	1.162982e-03	-1.741521e-03	1.134205e-03	8.546626e-03	5.407518e-03	3.139108e-03
25            	3.630128e-02	1.648755e-02	1.981373e-02	3.969177e-02	2.008536e-02	1.960641e-02	2.394732e-04	-1.663089e-03	1.219932e-03	8.576644e-03	5.508254e-03	3.068390e-03
26            	3.595127e-02	1.634636e-02	1.960491e-02	4.075921e-02	1.980248e-02	2.095673e-02	-5.771271e-04	-1.629278e-03	1.301497e-03	8.615802e-03	5.609398e-03	3.006404e-03
27            	3.554604e-02	1.615001e-02	1.939604e-02	4.156345e-02	1.950336e-02	2.206009e-02	-1.278364e-03	-1.623015e-03	1.368459e-03	8.641631e-03	5.689274e-03	2.952357e-03
28            	3.510991e-02	1.593142e-02	1.917849e-02	4.212865e-02	1.920123e-02	2.292742e-02	-1.863097e-03	-1.623534e-03	1.414850e-03	8.636875e-03	5.733287e-03	2.903588e-03
29            	3.467824e-02	1.571783e-02	1.896041e-02	4.248359e-02	1.891630e-02	2.356729e-02	-2.325496e-03	-1.621290e-03	1.440308e-03	8.599930e-03	5.740273e-03	2.859657e-03
30            	3.427845e-02	1.552590e-02	1.875255e-02	4.267906e-02	1.866262e-02	2.401645e-02	-2.676915e-03	-1.613327e-03	1.448481e-03	8.538103e-03	5.717533e-03	2.820570e-03
31            	3.390631e-02	1.536188e-02	1.854443e-02	4.278765e-02	1.843279e-02	2.435486e-02	-2.961032e-03	-1.591272e-03	1.444302e-03	8.453297e-03	5.670950e-03	2.782346e-03
32            	3.357628e-02	1.523081e-02	1.834546e-02	4.286182e-02	1.823241e-02	2.462941e-02	-3.198503e-03	-1.557325e-03	1.432556e-03	8.356064e-03	5.610588e-03	2.745476e-03
33            	3.325532e-02	1.511691e-02	1.813840e-02	4.297130e-02	1.803612e-02	2.493517e-02	-3.449525e-03	-1.510744e-03	1.419683e-03	8.253445e-03	5.546406e-03	2.707040e-03
34            	3.291322e-02	1.500459e-02	1.790863e-02	4.316111e-02	1.782191e-02	2.533920e-02	-3.758648e-03	-1.452020e-03	1.410169e-03	8.151001e-03	5.485669e-03	2.665332e-03
35            	3.254024e-02	1.488177e-02	1.765847e-02	4.343055e-02	1.758340e-02	2.584715e-02	-4.131870e-03	-1.388348e-03	1.407301e-03	8.056611e-03	5.435606e-03	2.621005e-03
36            	3.213840e-02	1.474432e-02	1.739408e-02	4.375118e-02	1.732328e-02	2.642791e-02	-4.552314e-03	-1.324878e-03	1.410561e-03	7.971975e-03	5.396548e-03	2.575426e-03
37            	3.170852e-02	1.458929e-02	1.711923e-02	4.410125e-02	1.704324e-02	2.705801e-02	-5.007384e-03	-1.264965e-03	1.418765e-03	7.896841e-03	5.367185e-03	2.529655e-03
38            	3.125077e-02	1.441686e-02	1.683391e-02	4.446337e-02	1.674447e-02	2.771890e-02	-5.487213e-03	-1.208527e-03	1.430252e-03	7.828465e-03	5.344484e-03	2.483981e-03
39            	3.077336e-02	1.423387e-02	1.653949e-02	4.481960e-02	1.643335e-02	2.838626e-02	-5.976454e-03	-1.152809e-03	1.441605e-03	7.761047e-03	5.322129e-03	2.438918e-03
40            	3.029154e-02	1.404950e-02	1.624204e-02	4.514502e-02	1.612107e-02	2.902395e-02	-6.451436e-03	-1.096267e-03	1.450317e-03	7.690830e-03	5.295732e-03	2.395099e-03
41            	2.981227e-02	1.386983e-02	1.594245e-02	4.542810e-02	1.581284e-02	2.961526e-02	-6.901211e-03	-1.036311e-03	1.454271e-03	7.613712e-03	5.261127e-03	2.352585e-03
42            	2.934695e-02	1.370147e-02	1.564548e-02	4.564366e-02	1.551735e-02	3.012631e-02	-7.304479e-03	-9.720040e-04	1.451221e-03	7.526281e-03	5.214362e-03	2.311920e-03
43            	2.889768e-02	1.354720e-02	1.535048e-02	4.580091e-02	1.523539e-02	3.056552e-02	-7.665061e-03	-9.016421e-04	1.440817e-03	7.427463e-03	5.154548e-03	2.272915e-03
44            	2.846289e-02	1.340622e-02	1.505666e-02	4.591169e-02	1.496500e-02	3.094669e-02	-7.990847e-03	-8.252185e-04	1.423715e-03	7.318210e-03	5.082820e-03	2.235390e-03
45            	2.804096e-02	1.327688e-02	1.476408e-02	4.598585e-02	1.470472e-02	3.128113e-02	-8.288203e-03	-7.436011e-04	1.400874e-03	7.200541e-03	5.001144e-03	2.199397e-03
46            	2.762642e-02	1.315385e-02	1.447256e-02	4.602933e-02	1.445085e-02	3.157848e-02	-8.563817e-03	-6.593543e-04	1.374362e-03	7.078322e-03	4.913523e-03	2.164799e-03
47            	2.722735e-02	1.303774e-02	1.418961e-02	4.603845e-02	1.420884e-02	3.182961e-02	-8.810386e-03	-5.759375e-04	1.344712e-03	6.954887e-03	4.822156e-03	2.132731e-03
48            	2.684404e-02	1.292690e-02	1.391713e-02	4.600848e-02	1.397923e-02	3.202925e-02	-9.025012e-03	-4.951136e-04	1.312682e-03	6.831992e-03	4.728677e-03	2.103314e-03
49            	2.646925e-02	1.281759e-02	1.365166e-02	4.595440e-02	1.375688e-02	3.219753e-02	-9.220323e-03	-4.170356e-04	1.279719e-03	6.711224e-03	4.635331e-03	2.075893e-03
50            	2.610268e-02	1.270879e-02	1.339388e-02	4.587508e-02	1.354186e-02	3.233323e-02	-9.395685e-03	-3.425449e-04	1.246800e-03	6.594066e-03	4.543833e-03	2.050234e-03
51            	2.575143e-02	1.260290e-02	1.314854e-02	4.576223e-02	1.333895e-02	3.242328e-02	-9.542168e-03	-2.728191e-04	1.214368e-03	6.481813e-03	4.455274e-03	2.026539e-03
52            	2.542038e-02	1.250007e-02	1.292031e-02	4.560823e-02	1.315130e-02	3.245693e-02	-9.652818e-03	-2.101154e-04	1.183593e-03	6.376978e-03	4.372082e-03	2.004896e-03
53            	2.510963e-02	1.240089e-02	1.270875e-02	4.540965e-02	1.297928e-02	3.243036e-02	-9.725540e-03	-1.539291e-04	1.153798e-03	6.278269e-03	4.292933e-03	1.985336e-03
54            	2.481416e-02	1.230350e-02	1.251067e-02	4.518153e-02	1.281876e-02	3.236277e-02	-9.772003e-03	-1.035871e-04	1.125775e-03	6.186308e-03	4.218929e-03	1.967379e-03
55            	2.453223e-02	1.220693e-02	1.232530e-02	4.493258e-02	1.266812e-02	3.226446e-02	-9.798170e-03	-5.918555e-05	1.099955e-03	6.102039e-03	4.150974e-03	1.951065e-03
56            	2.426607e-02	1.211323e-02	1.215284e-02	4.466989e-02	1.252799e-02	3.214190e-02	-9.806956e-03	-1.980311e-05	1.075858e-03	6.024509e-03	4.088113e-03	1.936396e-03
57            	2.401605e-02	1.202303e-02	1.199301e-02	4.438866e-02	1.239879e-02	3.198987e-02	-9.795538e-03	1.501034e-05	1.052825e-03	5.952554e-03	4.029102e-03	1.923452e-03
58            	2.377870e-02	1.193580e-02	1.184290e-02	4.410142e-02	1.227746e-02	3.182396e-02	-9.773252e-03	4.645129e-05	1.030793e-03	5.885545e-03	3.973565e-03	1.911980e-03
59            	2.355518e-02	1.185253e-02	1.170266e-02	4.381212e-02	1.216439e-02	3.164773e-02	-9.741672e-03	7.493518e-05	1.009745e-03	5.823417e-03	3.921454e-03	1.901964e-03
60            	2.334204e-02	1.177240e-02	1.156964e-02	4.353356e-02	1.205674e-02	3.147682e-02	-9.710039e-03	1.013829e-04	9.898413e-04	5.765969e-03	3.872826e-03	1.893143e-03
61            	2.313851e-02	1.169537e-02	1.144313e-02	4.326419e-02	1.195411e-02	3.131008e-02	-9.677988e-03	1.261211e-04	9.707404e-04	5.712327e-03	3.826904e-03	1.885423e-03
62            	2.294063e-02	1.162032e-02	1.132030e-02	4.301164e-02	1.185372e-02	3.115792e-02	-9.652103e-03	1.500086e-04	9.527758e-04	5.662187e-03	3.783869e-03	1.878318e-03
63            	2.274923e-02	1.154767e-02	1.120155e-02	4.277552e-02	1.175608e-02	3.101944e-02	-9.631677e-03	1.730616e-04	9.356233e-04	5.615130e-03	3.743188e-03	1.871942e-03
64            	2.256349e-02	1.147704e-02	1.108645e-02	4.255839e-02	1.166055e-02	3.089784e-02	-9.618649e-03	1.952973e-04	9.192923e-04	5.571011e-03	3.704798e-03	1.866213e-03
65            	2.238608e-02	1.140930e-02	1.097678e-02	4.234642e-02	1.156948e-02	3.077694e-02	-9.603731e-03	2.162567e-04	9.030268e-04	5.528687e-03	3.667370e-03	1.861317e-03
66            	2.221932e-02	1.134474e-02	1.087458e-02	4.212919e-02	1.148510e-02	3.064408e-02	-9.579490e-03	2.350782e-04	8.868195e-04	5.488439e-03	3.631039e-03	1.857400e-03
67            	2.206672e-02	1.128369e-02	1.078303e-02	4.188772e-02	1.141081e-02	3.047691e-02	-9.533052e-03	2.503305e-04	8.702528e-04	5.450183e-03	3.595344e-03	1.854839e-03
68            	2.193170e-02	1.122832e-02	1.070338e-02	4.162504e-02	1.134857e-02	3.027647e-02	-9.463947e-03	2.624686e-04	8.528240e-04	5.413359e-03	3.559504e-03	1.853856e-03
69            	2.181384e-02	1.117881e-02	1.063503e-02	4.133906e-02	1.129817e-02	3.004088e-02	-9.371355e-03	2.718882e-04	8.341025e-04	5.377014e-03	3.522610e-03	1.854405e-03
70            	2.170996e-02	1.113490e-02	1.057507e-02	4.104238e-02	1.125685e-02	2.978553e-02	-9.264344e-03	2.799137e-04	8.142910e-04	5.340672e-03	3.484627e-03	1.856045e-03
71            	2.161910e-02	1.109601e-02	1.052309e-02	4.073780e-02	1.122376e-02	2.951404e-02	-9.145137e-03	2.864590e-04	7.941139e-04	5.305054e-03	3.446641e-03	1.858413e-03
72            	2.154415e-02	1.106320e-02	1.048095e-02	4.042828e-02	1.120059e-02	2.922770e-02	-9.013554e-03	2.911282e-04	7.744233e-04	5.271602e-03	3.410224e-03	1.861378e-03
73            	2.148758e-02	1.103741e-02	1.045017e-02	4.011827e-02	1.118860e-02	2.892966e-02	-8.870529e-03	2.936203e-04	7.561046e-04	5.241768e-03	3.376989e-03	1.864779e-03
74            	2.144928e-02	1.101885e-02	1.043043e-02	3.981328e-02	1.118748e-02	2.862580e-02	-8.719159e-03	2.942144e-04	7.397629e-04	5.216046e-03	3.347786e-03	1.868260e-03
75            	2.142754e-02	1.100702e-02	1.042052e-02	3.951963e-02	1.119585e-02	2.832378e-02	-8.563963e-03	2.932469e-04	7.260480e-04	5.194850e-03	3.323473e-03	1.871377e-03
76            	2.141830e-02	1.100100e-02	1.041729e-02	3.924624e-02	1.121065e-02	2.803559e-02	-8.412468e-03	2.918562e-04	7.150606e-04	5.177399e-03	3.303760e-03	1.873639e-03
77            	2.141788e-02	1.099948e-02	1.041841e-02	3.900070e-02	1.122911e-02	2.777159e-02	-8.271239e-03	2.905336e-04	7.072919e-04	5.163798e-03	3.289191e-03	1.874607e-03
78            	2.142040e-02	1.100074e-02	1.041965e-02	3.879113e-02	1.124700e-02	2.754413e-02	-8.148566e-03	2.905447e-04	7.026925e-04	5.152853e-03	3.279119e-03	1.873734e-03
79            	2.142369e-02	1.100453e-02	1.041916e-02	3.862217e-02	1.126264e-02	2.735953e-02	-8.048442e-03	2.926858e-04	7.008310e-04	5.143505e-03	3.272584e-03	1.870922e-03
80            	2.142313e-02	1.100899e-02	1.041414e-02	3.849571e-02	1.127294e-02	2.722277e-02	-7.974913e-03	2.974260e-04	7.014128e-04	5.134803e-03	3.268815e-03	1.865989e-03
