# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.750000e+01
# lRef        : 1.854000e+00
# Aref        : 6.650000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-4.556838e-03	-1.294561e-01	1.248992e-01	-4.561742e-01	-2.459055e-01	-2.102687e-01	-1.781838e-02	-1.271777e-01	6.875192e-02	7.874379e-02	1.081238e-01	-2.938003e-02
2             	4.765085e-02	-2.262469e-01	2.738977e-01	-3.795715e-01	-1.998153e-01	-1.797561e-01	-1.002961e-02	-2.500723e-01	1.260252e-01	3.685706e-01	3.103105e-01	5.826008e-02
3             	1.036989e-01	-3.107452e-01	4.144440e-01	-2.958462e-01	-1.578239e-01	-1.380224e-01	-9.900738e-03	-3.625946e-01	1.779925e-01	6.394974e-01	4.977412e-01	1.417562e-01
4             	1.374474e-01	-3.651644e-01	5.026118e-01	-2.226582e-01	-1.312620e-01	-9.139622e-02	-1.993289e-02	-4.338881e-01	2.119505e-01	8.170307e-01	6.204659e-01	1.965648e-01
5             	1.399744e-01	-3.845191e-01	5.244936e-01	-1.671906e-01	-1.219195e-01	-4.527109e-02	-3.832422e-02	-4.545063e-01	2.242223e-01	8.766466e-01	6.625456e-01	2.141010e-01
6             	1.161972e-01	-3.750769e-01	4.912741e-01	-1.285306e-01	-1.263340e-01	-2.196560e-03	-6.206873e-02	-4.331755e-01	2.185512e-01	8.372416e-01	6.371720e-01	2.000696e-01
7             	7.995438e-02	-3.481950e-01	4.281494e-01	-1.028143e-01	-1.378009e-01	3.498663e-02	-8.639378e-02	-3.881722e-01	2.023104e-01	7.407372e-01	5.726790e-01	1.680583e-01
8             	4.573793e-02	-3.162161e-01	3.619540e-01	-8.019523e-02	-1.504942e-01	7.029898e-02	-1.103966e-01	-3.390850e-01	1.836723e-01	6.339721e-01	5.006583e-01	1.333138e-01
9             	2.525921e-02	-2.882370e-01	3.134962e-01	-5.630192e-02	-1.585459e-01	1.022440e-01	-1.303949e-01	-3.008666e-01	1.688821e-01	5.525453e-01	4.451548e-01	1.073905e-01
10            	2.309790e-02	-2.699435e-01	2.930414e-01	-3.605276e-02	-1.591922e-01	1.231395e-01	-1.411659e-01	-2.814924e-01	1.611324e-01	5.139325e-01	4.180987e-01	9.583381e-02
11            	3.658138e-02	-2.620750e-01	2.986563e-01	-2.015376e-02	-1.532695e-01	1.331157e-01	-1.431926e-01	-2.803657e-01	1.602887e-01	5.165541e-01	4.185658e-01	9.798831e-02
12            	5.887233e-02	-2.623544e-01	3.212267e-01	-6.377081e-03	-1.427263e-01	1.363492e-01	-1.395378e-01	-2.917906e-01	1.642089e-01	5.476446e-01	4.380312e-01	1.096134e-01
13            	8.182034e-02	-2.673937e-01	3.492141e-01	4.695948e-03	-1.306697e-01	1.353656e-01	-1.330176e-01	-3.083039e-01	1.698850e-01	5.896771e-01	4.647235e-01	1.249536e-01
14            	9.889706e-02	-2.736500e-01	3.725471e-01	1.453160e-02	-1.175481e-01	1.320797e-01	-1.248139e-01	-3.230985e-01	1.746068e-01	6.269080e-01	4.880608e-01	1.388471e-01
15            	1.069739e-01	-2.785734e-01	3.855474e-01	2.335989e-02	-1.046287e-01	1.279886e-01	-1.163086e-01	-3.320604e-01	1.767413e-01	6.497856e-01	5.016341e-01	1.481516e-01
16            	1.063962e-01	-2.808542e-01	3.872503e-01	3.153346e-02	-9.268351e-02	1.242170e-01	-1.084502e-01	-3.340522e-01	1.758905e-01	6.558454e-01	5.038132e-01	1.520322e-01
17            	1.000109e-01	-2.804009e-01	3.804119e-01	3.870470e-02	-8.227516e-02	1.209799e-01	-1.016275e-01	-3.304064e-01	1.726871e-01	6.483866e-01	4.968804e-01	1.515063e-01
18            	9.138412e-02	-2.779533e-01	3.693374e-01	4.464746e-02	-7.383645e-02	1.184839e-01	-9.616018e-02	-3.236453e-01	1.682817e-01	6.335453e-01	4.850544e-01	1.484909e-01
19            	8.389988e-02	-2.743662e-01	3.582661e-01	5.007737e-02	-6.684343e-02	1.169208e-01	-9.188212e-02	-3.163162e-01	1.638259e-01	6.175894e-01	4.726206e-01	1.449688e-01
20            	7.977726e-02	-2.704409e-01	3.502182e-01	5.573437e-02	-6.033337e-02	1.160677e-01	-8.820055e-02	-3.103296e-01	1.601563e-01	6.051682e-01	4.627404e-01	1.424277e-01
21            	7.958440e-02	-2.667413e-01	3.463257e-01	6.240446e-02	-5.348625e-02	1.158907e-01	-8.468848e-02	-3.065335e-01	1.576165e-01	5.983149e-01	4.567740e-01	1.415409e-01
22            	8.268509e-02	-2.634575e-01	3.461426e-01	7.065224e-02	-4.591046e-02	1.165627e-01	-8.123658e-02	-3.048000e-01	1.561136e-01	5.966784e-01	4.544527e-01	1.422256e-01
23            	8.769731e-02	-2.605431e-01	3.482404e-01	8.107955e-02	-3.732321e-02	1.184028e-01	-7.786299e-02	-3.043917e-01	1.552837e-01	5.984901e-01	4.545287e-01	1.439614e-01
24            	9.317853e-02	-2.577681e-01	3.509467e-01	9.355606e-02	-2.802545e-02	1.215815e-01	-7.480348e-02	-3.043574e-01	1.546535e-01	6.013845e-01	4.553458e-01	1.460387e-01
25            	9.810695e-02	-2.548828e-01	3.529898e-01	1.075296e-01	-1.839102e-02	1.259207e-01	-7.215584e-02	-3.039363e-01	1.538461e-01	6.034135e-01	4.555528e-01	1.478607e-01
26            	1.018840e-01	-2.517511e-01	3.536351e-01	1.221426e-01	-9.062936e-03	1.312055e-01	-7.013422e-02	-3.026931e-01	1.526406e-01	6.034226e-01	4.543519e-01	1.490707e-01
27            	1.044893e-01	-2.483711e-01	3.528604e-01	1.362468e-01	-6.895935e-04	1.369364e-01	-6.881301e-02	-3.006157e-01	1.510256e-01	6.012445e-01	4.516478e-01	1.495967e-01
28            	1.063971e-01	-2.447664e-01	3.511635e-01	1.487503e-01	6.287104e-03	1.424632e-01	-6.808805e-02	-2.979649e-01	1.491083e-01	5.973717e-01	4.477942e-01	1.495775e-01
29            	1.081168e-01	-2.410701e-01	3.491869e-01	1.589836e-01	1.182343e-02	1.471601e-01	-6.766836e-02	-2.951285e-01	1.470774e-01	5.926479e-01	4.434013e-01	1.492466e-01
